Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més
250019,Abella de la Conca,9,70,23,14,55,17,23,125,40
080018,Abrera,934,4205,509,867,3771,554,1801,7976,1063
250024,Àger,24,183,95,15,154,84,39,337,179
250030,Agramunt,433,1989,423,336,1659,594,769,3648,1017
080023,Aguilar de Segarra,17,84,30,18,76,27,35,160,57
170010,Agullana,39,270,88,50,207,99,89,477,187
080142,Aiguafreda,169,782,193,182,762,287,351,1544,480
430017,Aiguamúrcia,53,331,76,65,268,71,118,599,147
170025,Aiguaviva,53,215,42,56,200,48,109,415,90
250387,Aitona,140,864,235,126,681,330,266,1545,565
250045,"Alamús, els",32,263,75,42,221,89,74,484,164
250058,Alàs i Cerc,23,141,46,21,112,53,44,253,99
250061,"Albagés, l'",33,160,67,30,132,68,63,292,135
170031,Albanyà,12,49,9,12,46,9,24,95,18
250077,Albatàrrec,143,619,109,113,523,132,256,1142,241
250083,Albesa,108,540,157,92,487,191,200,1027,348
250096,"Albi, l'",50,285,93,46,258,107,96,543,200
430022,Albinyana,171,775,173,178,708,195,349,1483,368
430038,"Albiol, l'",33,140,23,51,114,16,84,254,39
170046,Albons,48,229,50,39,201,58,87,430,108
430043,Alcanar,737,3561,839,579,3269,984,1316,6830,1823
250100,Alcanó,9,78,35,12,73,42,21,151,77
250117,Alcarràs,486,2390,469,450,2145,570,936,4535,1039
250122,Alcoletge,170,886,158,169,741,165,339,1627,323
430056,Alcover,387,1713,337,394,1490,410,781,3203,747
439044,"Aldea, l'",256,1451,376,226,1164,454,482,2615,830
430069,Aldover,56,301,104,57,294,134,113,595,238
430075,"Aleixar, l'",71,292,78,76,253,92,147,545,170
080039,Alella,718,3203,512,669,3281,615,1387,6484,1127
430081,Alfara de Carles,13,146,52,20,105,53,33,251,105
250138,Alfarràs,237,1138,301,221,958,373,458,2096,674
250143,Alfés,14,115,46,14,91,49,28,206,95
430094,Alforja,143,611,148,107,546,175,250,1157,323
250156,Algerri,19,149,76,12,131,90,31,280,166
250169,Alguaire,215,1103,272,182,947,336,397,2050,608
250175,Alins,8,87,36,11,69,46,19,156,82
430108,Alió,8,144,37,22,114,43,30,258,80
250194,Almacelles,420,2270,526,397,1857,661,817,4127,1187
250208,Almatret,12,143,66,16,94,93,28,237,159
250215,Almenar,242,1292,344,219,1076,423,461,2368,767
430115,Almoster,126,460,67,137,418,78,263,878,145
250220,Alòs de Balaguer,7,53,31,6,34,25,13,87,56
170062,Alp,100,648,75,112,553,88,212,1201,163
080044,Alpens,29,110,28,21,83,32,50,193,60
250236,Alpicat,499,2034,296,474,1954,391,973,3988,687
250241,Alt Àneu,30,176,50,23,128,43,53,304,93
430120,Altafulla,394,1590,226,380,1540,285,774,3130,511
170078,Amer,134,762,236,111,717,306,245,1479,542
430136,"Ametlla de Mar, l'",490,2497,643,491,2296,654,981,4793,1297
