Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més
250019,Abella de la Conca,11,64,25,8,51,22,19,115,47,
080018,Abrera,1214,4196,805,1124,3955,922,2338,8151,1727,
250024,Àger,29,200,93,22,160,98,51,360,191,
250030,Agramunt,429,1836,449,411,1698,567,840,3534,1016,
080023,Aguilar de Segarra,19,82,32,22,72,26,41,154,58,
170010,Agullana,55,274,90,73,251,98,128,525,188,
080142,Aiguafreda,169,781,222,185,784,326,354,1565,548,
430017,Aiguamúrcia,62,310,104,64,266,97,126,576,201,
170025,Aiguaviva,83,243,65,80,232,60,163,475,125,
250387,Aitona,199,845,256,179,718,326,378,1563,582,
250045,"Alamús, els",56,282,81,58,230,92,114,512,173,
250058,Alàs i Cerc,23,108,45,21,101,52,44,209,97,
250061,"Albagés, l'",15,136,61,18,111,62,33,247,123,
170031,Albanyà,17,54,11,13,42,10,30,96,21,
250077,Albatàrrec,192,877,124,159,796,143,351,1673,267,
250083,Albesa,130,569,162,100,441,194,230,1010,356,
250096,"Albi, l'",64,243,111,54,212,119,118,455,230,
430022,Albinyana,166,772,229,159,715,262,325,1487,491,
430038,"Albiol, l'",51,152,32,45,152,27,96,304,59,
170046,Albons,65,256,66,66,242,70,131,498,136,
430043,Alcanar,701,3165,919,623,3019,1067,1324,6184,1986,
250100,Alcanó,15,73,35,14,70,42,29,143,77,
250117,Alcarràs,878,3444,492,816,3027,640,1694,6471,1132,
250122,Alcoletge,288,1263,194,304,1123,203,592,2386,397,
430056,Alcover,442,1695,401,452,1641,464,894,3336,865,
439044,"Aldea, l'",337,1479,420,296,1255,463,633,2734,883,
430069,Aldover,56,258,122,44,237,146,100,495,268,
430075,"Aleixar, l'",71,313,72,72,270,89,143,583,161,
080039,Alella,816,3024,850,716,3254,972,1532,6278,1822,
430081,Alfara de Carles,17,127,55,23,90,59,40,217,114,
250138,Alfarràs,207,1044,293,197,831,351,404,1875,644,
250143,Alfés,19,109,41,17,92,48,36,201,89,
430094,Alforja,127,643,166,120,587,201,247,1230,367,
250156,Algerri,23,133,73,12,95,87,35,228,160,
250169,Alguaire,222,1080,274,227,875,328,449,1955,602,
250175,Alins,18,89,45,17,74,44,35,163,89,
430108,Alió,19,126,48,37,132,43,56,258,91,
250194,Almacelles,514,2467,588,488,2046,697,1002,4513,1285,
250208,Almatret,9,117,55,4,80,62,13,197,117,
250215,Almenar,242,1278,350,207,1007,418,449,2285,768,
430115,Almoster,113,492,96,112,489,99,225,981,195,
250220,Alòs de Balaguer,5,40,24,5,27,24,10,67,48,
170062,Alp,109,586,105,115,512,109,224,1098,214,
080044,Alpens,26,102,25,20,91,30,46,193,55,
250236,Alpicat,587,2148,373,605,2084,436,1192,4232,809,
250241,Alt Àneu,17,159,50,15,122,39,32,281,89,
430120,Altafulla,454,1647,371,435,1710,417,889,3357,788,
