Codi,Literal,% 0 a 15 anys,% 16 a 64 anys,% 65 anys i més,Índex d'envelliment,Índex de sobreenvelliment,Índex de dependència juvenil,Índex de dependència de la gent gran,Índex de dependència global
080155,Badalona,14.93,70.45,14.62,105.0,9.0,19.0,20.0,40.0,
080193,Barcelona,12.30,66.10,21.60,188.0,11.0,17.0,32.0,49.0,
080569,Castelldefels,17.20,72.64,10.16,63.0,9.0,22.0,14.0,36.0,
082665,Cerdanyola del Vallès,16.29,72.83,10.88,72.0,9.0,20.0,15.0,35.0,
080734,Cornellà de Llobregat,13.76,69.85,16.39,127.0,8.0,18.0,23.0,41.0,
080771,Esplugues de Llobregat,13.54,72.10,14.36,115.0,9.0,17.0,20.0,37.0,
170792,Girona,17.22,67.49,15.30,95.0,12.0,24.0,22.0,46.0,
080961,Granollers,16.23,69.40,14.37,95.0,10.0,22.0,20.0,42.0,
081017,"Hospitalet de Llobregat, l'",12.34,69.72,17.94,157.0,8.0,16.0,25.0,42.0,
251207,Lleida,15.75,67.17,17.08,116.0,10.0,22.0,25.0,47.0,
081136,Manresa,13.64,64.53,21.83,171.0,11.0,20.0,33.0,53.0,
081213,Mataró,15.87,69.07,15.06,102.0,10.0,21.0,21.0,42.0,
081249,Mollet del Vallès,16.93,71.98,11.09,69.0,9.0,22.0,15.0,37.0,
081691,"Prat de Llobregat, el",15.39,71.73,12.88,90.0,9.0,20.0,18.0,37.0,
431233,Reus,16.60,67.37,16.03,103.0,10.0,23.0,23.0,46.0,
081846,Rubí,16.71,71.24,12.05,77.0,9.0,22.0,17.0,38.0,
081878,Sabadell,15.39,67.42,17.19,120.0,10.0,21.0,25.0,46.0,
082009,Sant Boi de Llobregat,15.57,71.05,13.38,93.0,9.0,20.0,19.0,39.0,
082055,Sant Cugat del Vallès,21.23,68.54,10.24,51.0,11.0,29.0,15.0,44.0,
082457,Santa Coloma de Gramenet,13.24,71.79,14.97,122.0,9.0,17.0,21.0,37.0,
431482,Tarragona,15.85,68.45,15.70,106.0,10.0,21.0,23.0,44.0,
082798,Terrassa,16.15,67.75,16.09,107.0,10.0,22.0,23.0,45.0,
083015,Viladecans,16.94,72.53,10.53,66.0,8.0,22.0,14.0,36.0,
083073,Vilanova i la Geltrú,15.48,67.88,16.64,115.0,9.0,21.0,24.0,45.0,
,Catalunya,14.84,67.77,17.39,125.4,10.5,20.2,25.3,45.5,

