Codi,Literal,% 0 a 15 anys,% 16 a 64 anys,% 65 anys i més,Índex d'envelliment,Índex de sobreenvelliment,Índex de dependència juvenil,Índex de dependència de la gent gran,Índex de dependència global
080155,Badalona,16.37,68.24,15.40,99.0,11.0,22.0,22.0,45.0
080193,Barcelona,12.95,66.48,20.58,169.0,15.0,18.0,31.0,49.0
080569,Castelldefels,18.13,70.41,11.46,67.0,12.0,24.0,16.0,40.0
082665,Cerdanyola del Vallès,16.50,70.12,13.39,86.0,11.0,22.0,19.0,41.0
080734,Cornellà de Llobregat,15.87,66.54,17.59,117.0,10.0,22.0,26.0,48.0
080771,Esplugues de Llobregat,14.41,67.71,17.87,132.0,10.0,20.0,26.0,46.0
170792,Girona,17.94,68.64,13.42,79.0,15.0,24.0,19.0,44.0
080961,Granollers,16.61,68.70,14.69,94.0,13.0,22.0,21.0,44.0
081017,"Hospitalet de Llobregat, l'",14.29,67.18,18.52,138.0,11.0,20.0,27.0,47.0
251207,Lleida,16.61,68.04,15.35,98.0,14.0,23.0,22.0,45.0
081136,Manresa,16.13,65.13,18.74,122.0,16.0,23.0,28.0,52.0
081213,Mataró,16.81,68.27,14.92,94.0,13.0,23.0,22.0,45.0
081249,Mollet del Vallès,18.05,69.26,12.70,74.0,11.0,24.0,18.0,43.0
081691,"Prat de Llobregat, el",15.82,69.03,15.15,101.0,11.0,21.0,22.0,43.0
431233,Reus,18.53,67.05,14.42,82.0,14.0,26.0,21.0,47.0
081846,Rubí,18.03,69.58,12.39,73.0,11.0,24.0,18.0,42.0
081878,Sabadell,16.72,66.53,16.75,106.0,13.0,23.0,25.0,48.0
082009,Sant Boi de Llobregat,16.24,68.31,15.44,100.0,11.0,22.0,22.0,45.0
082055,Sant Cugat del Vallès,22.49,67.12,10.39,49.0,13.0,31.0,15.0,46.0
082457,Santa Coloma de Gramenet,15.71,67.60,16.69,112.0,10.0,22.0,24.0,46.0
431482,Tarragona,17.29,67.75,14.95,92.0,13.0,24.0,22.0,46.0
082798,Terrassa,18.06,67.20,14.74,86.0,13.0,25.0,22.0,47.0
083015,Viladecans,18.42,68.79,12.79,73.0,10.0,25.0,18.0,43.0
083073,Vilanova i la Geltrú,16.54,67.58,15.88,101.0,12.0,23.0,23.0,46.0
,Catalunya,16.25,67.25,16.50,107.4,13.7,22.6,24.2,46.8

