Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
250019,Abella de la Conca,1,6,-5,2,1,1,4,0,4,0,
080018,Abrera,568,499,69,58,55,3,110,42,68,140,
250024,Àger,25,30,-5,0,0,0,2,0,2,-3,
250030,Agramunt,101,146,-45,29,21,8,91,63,28,-9,
080023,Aguilar de Segarra,17,6,11,0,1,-1,0,0,0,10,
170010,Agullana,39,42,-3,4,7,-3,16,7,9,3,
080142,Aiguafreda,134,111,23,14,22,-8,13,9,4,19,
430017,Aiguamúrcia,46,51,-5,9,11,-2,9,2,7,0,
170025,Aiguaviva,26,41,-15,3,2,1,4,0,4,-10,
250387,Aitona,79,71,8,38,36,2,92,30,62,72,
250045,"Alamús, els",29,39,-10,8,2,6,30,3,27,23,
250058,Alàs i Cerc,14,23,-9,1,4,-3,3,1,2,-10,
250061,"Albagés, l'",7,9,-2,5,8,-3,3,0,3,-2,
170031,Albanyà,13,10,3,4,1,3,8,0,8,14,
250077,Albatàrrec,85,124,-39,14,27,-13,60,129,-69,-121,
250083,Albesa,32,46,-14,6,3,3,24,12,12,1,
250096,"Albi, l'",16,9,7,3,2,1,3,1,2,10,
430022,Albinyana,189,137,52,9,9,0,19,4,15,67,
430038,"Albiol, l'",45,21,24,3,3,0,3,14,-11,13,
170046,Albons,44,39,5,1,2,-1,15,3,12,16,
430043,Alcanar,226,206,20,119,124,-5,181,123,58,73,
250100,Alcanó,5,1,4,0,0,0,1,0,1,5,
250117,Alcarràs,346,276,70,118,91,27,323,197,126,223,
250122,Alcoletge,151,178,-27,22,25,-3,69,32,37,7,
430056,Alcover,147,178,-31,17,30,-13,38,35,3,-41,
439044,"Aldea, l'",125,125,0,22,28,-6,89,32,57,51,
430069,Aldover,46,18,28,6,6,0,17,0,17,45,
430075,"Aleixar, l'",28,30,-2,7,4,3,7,2,5,6,
080039,Alella,520,484,36,48,51,-3,117,68,49,82,
430081,Alfara de Carles,13,11,2,3,0,3,5,1,4,9,
250138,Alfarràs,64,62,2,20,24,-4,26,25,1,-1,
250143,Alfés,5,10,-5,1,0,1,1,0,1,-3,
430094,Alforja,111,88,23,8,5,3,9,2,7,33,
250156,Algerri,11,20,-9,1,1,0,0,0,0,-9,
250169,Alguaire,88,93,-5,25,19,6,47,35,12,13,
250175,Alins,7,10,-3,0,2,-2,1,0,1,-4,
430108,Alió,26,13,13,3,0,3,2,0,2,18,
250194,Almacelles,141,132,9,79,75,4,151,6,145,158,
250208,Almatret,12,8,4,0,1,-1,4,4,0,3,
250215,Almenar,82,106,-24,27,26,1,47,43,4,-19,
430115,Almoster,68,68,0,0,2,-2,5,0,5,3,
250220,Alòs de Balaguer,6,7,-1,5,1,4,0,0,0,3,
170062,Alp,102,99,3,23,9,14,20,6,14,31,
080044,Alpens,6,13,-7,0,0,0,2,0,2,-5,
250236,Alpicat,208,187,21,44,45,-1,55,28,27,47,
250241,Alt Àneu,24,24,0,2,2,0,3,1,2,2,
430120,Altafulla,307,228,79,16,31,-15,92,35,57,121,
170078,Amer,114,72,42,7,11,-4,20,27,-7,31,
430136,"Ametlla de Mar, l'",236,216,20,34,76,-42,142,25,117,95,
