Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
250019,Abella de la Conca,8,16,-8,0,1,-1,0,0,0,-9
080018,Abrera,465,363,102,30,71,-41,62,52,10,71
250024,Àger,32,17,15,5,3,2,3,1,2,19
250030,Agramunt,145,118,27,31,14,17,70,50,20,64
080023,Aguilar de Segarra,12,10,2,1,0,1,0,0,0,3
170010,Agullana,61,29,32,1,4,-3,11,5,6,35
080142,Aiguafreda,183,115,68,4,15,-11,23,8,15,72
430017,Aiguamúrcia,58,25,33,6,7,-1,5,2,3,35
170025,Aiguaviva,53,30,23,0,1,-1,0,0,0,22
250387,Aitona,28,51,-23,28,33,-5,78,74,4,-24
250045,"Alamús, els",47,55,-8,2,8,-6,2,2,0,-14
250058,Alàs i Cerc,8,6,2,1,1,0,10,5,5,7
250061,"Albagés, l'",1,4,-3,3,0,3,2,0,2,2
170031,Albanyà,22,2,20,0,0,0,0,0,0,20
250077,Albatàrrec,86,85,1,9,8,1,37,72,-35,-33
250083,Albesa,40,32,8,7,2,5,22,5,17,30
250096,"Albi, l'",18,12,6,1,0,1,1,0,1,8
430022,Albinyana,167,102,65,6,13,-7,1,1,0,58
430038,"Albiol, l'",43,26,17,1,0,1,0,0,0,18
170046,Albons,65,29,36,5,3,2,7,1,6,44
430043,Alcanar,340,178,162,120,98,22,127,145,-18,166
250100,Alcanó,2,3,-1,1,0,1,0,0,0,0
250117,Alcarràs,270,241,29,98,82,16,199,129,70,115
250122,Alcoletge,187,125,62,17,22,-5,34,43,-9,48
430056,Alcover,183,122,61,11,22,-11,25,18,7,57
439044,"Aldea, l'",95,104,-9,20,25,-5,78,31,47,33
430069,Aldover,28,30,-2,6,0,6,11,1,10,14
430075,"Aleixar, l'",45,27,18,2,0,2,2,3,-1,19
080039,Alella,545,385,160,40,46,-6,127,86,41,195
430081,Alfara de Carles,18,14,4,4,3,1,1,4,-3,2
250138,Alfarràs,51,65,-14,15,24,-9,46,19,27,4
250143,Alfés,13,9,4,0,1,-1,3,0,3,6
430094,Alforja,136,62,74,5,5,0,6,3,3,77
250156,Algerri,29,9,20,5,0,5,0,0,0,25
250169,Alguaire,106,83,23,28,15,13,31,23,8,44
250175,Alins,13,7,6,1,0,1,2,0,2,9
430108,Alió,27,12,15,3,0,3,1,0,1,19
250194,Almacelles,152,138,14,95,91,4,165,7,158,176
250208,Almatret,12,6,6,2,0,2,5,5,0,8
250215,Almenar,85,65,20,26,18,8,42,57,-15,13
430115,Almoster,47,60,-13,1,6,-5,5,2,3,-15
250220,Alòs de Balaguer,6,11,-5,0,2,-2,0,0,0,-7
170062,Alp,127,68,59,12,17,-5,11,28,-17,37
080044,Alpens,20,11,9,1,0,1,0,0,0,10
250236,Alpicat,203,172,31,22,33,-11,24,4,20,40
250241,Alt Àneu,25,10,15,0,0,0,3,0,3,18
430120,Altafulla,416,245,171,38,25,13,46,26,20,204
170078,Amer,115,67,48,10,7,3,22,6,16,67
430136,"Ametlla de Mar, l'",318,173,145,63,49,14,168,61,107,266
080057,"Ametlla del Vallès, l'",544,369,175,33,44,-11,44,27,17,181
439060,"Ampolla, l'",270,121,149,32,20,12,85,26,59,220
430141,Amposta,500,507,-7,115,131,-16,269,66,203,180
170084,Anglès,260,245,15,43,20,23,90,86,4,42
250273,Anglesola,49,49,0,10,1,9,9,1,8,17
250292,Arbeca,69,47,22,13,7,6,24,3,21,49
430167,"Arboç, l'",221,201,20,23,34,-11,73,57,16,25
430154,Arbolí,5,3,2,0,0,0,0,0,0,2
170097,Arbúcies,175,132,43,17,27,-10,54,118,-64,-31
