Codi,Municipi,2012,2013,2014,2015,2016,2017,2018,2019,2020
250019.0,Abella de la Conca,11.9,10.7,12.2,11.0,9.5,8.5,10.3,10.0,10.1
80018.0,Abrera,961.2,1029.5,934.1,831.8,713.8,604.8,563.6,518.3,650.2
250024.0,Àger,12.8,18.7,17.3,16.7,18.8,13.8,10.7,10.2,15.5
250030.0,Agramunt,372.0,368.9,331.3,298.1,278.9,237.2,227.0,216.9,256.8
80023.0,Aguilar de Segarra,9.1,14.6,10.4,8.1,8.4,9.4,10.2,8.8,11.9
170010.0,Agullana,41.0,40.8,41.5,39.8,37.5,33.4,31.6,28.1,35.2
80142.0,Aiguafreda,189.8,203.3,166.3,141.0,127.0,120.6,113.0,102.4,112.8
430017.0,Aiguamúrcia,72.8,79.6,81.0,71.5,68.8,69.3,59.0,55.5,70.3
170025.0,Aiguaviva,30.3,32.3,24.8,17.9,18.2,13.3,13.3,16.9,18.7
250387.0,Aitona,158.5,156.8,157.0,159.8,144.3,139.5,160.1,146.3,184.6
250045.0,"Alamús, els",36.6,37.0,31.7,26.2,21.1,21.7,24.2,21.9,21.8
250058.0,Alàs i Cerc,11.7,10.0,12.8,10.9,9.4,8.3,7.7,9.3,9.0
250061.0,"Albagés, l'",22.3,22.0,15.7,14.9,13.5,10.5,11.8,12.0,10.8
170031.0,Albanyà,10.3,12.2,12.8,13.2,10.8,6.7,10.6,8.6,11.5
250077.0,Albatàrrec,125.3,132.9,119.1,108.2,91.8,91.1,87.0,85.9,92.6
250083.0,Albesa,90.6,87.8,69.7,75.8,62.8,55.8,46.2,39.8,56.0
250096.0,"Albi, l'",62.3,70.3,59.3,47.2,39.3,35.0,31.9,26.3,31.5
430022.0,Albinyana,290.8,274.3,271.2,239.3,199.9,185.2,194.3,182.8,196.4
430038.0,"Albiol, l'",22.9,28.3,26.9,20.2,18.3,20.4,16.2,18.3,22.3
170046.0,Albons,43.4,41.0,39.6,34.0,30.1,26.6,27.8,25.9,36.2
430043.0,Alcanar,655.4,708.6,662.2,564.3,513.8,484.5,460.4,406.3,496.7
250100.0,Alcanó,5.6,7.5,6.3,5.3,6.1,5.0,4.8,5.8,8.4
250117.0,Alcarràs,779.1,791.7,805.2,749.1,687.5,581.3,609.0,568.3,685.7
250122.0,Alcoletge,240.0,236.3,215.5,204.2,189.0,162.3,161.3,151.3,181.3
430056.0,Alcover,442.8,441.6,443.5,370.1,312.7,288.4,297.1,277.4,343.5
439044.0,"Aldea, l'",350.4,328.0,311.7,281.5,224.7,200.8,184.2,192.3,233.3
430069.0,Aldover,59.8,61.9,57.6,47.1,38.1,40.7,41.5,39.7,45.4
430075.0,"Aleixar, l'",56.4,53.3,46.1,38.6,30.0,26.0,29.6,29.8,45.3
80039.0,Alella,485.2,455.2,442.6,382.6,334.6,276.8,258.5,250.5,292.7
430081.0,Alfara de Carles,31.5,30.3,29.6,26.8,21.0,21.8,21.8,21.9,23.3
250138.0,Alfarràs,246.2,239.0,240.2,236.2,219.2,216.8,225.2,212.5,241.8
250143.0,Alfés,11.0,15.8,13.2,13.7,8.8,8.3,6.4,7.0,9.3
430094.0,Alforja,171.5,153.7,142.6,136.2,134.9,112.2,99.9,103.6,117.6
