Municipi,2010,2011,2012,2013,2014,2015,2016,2017,2018
Abrera,195976,202283.0,194911.0,202147.0,206839.0,210280.0,210860.0,217630.0,217630.0
Agramunt,77467,76516.0,75618.0,74815.0,77051.0,76122.0,80246.0,80838.0,80838.0
Aiguafreda,43839,41568.0,38834.0,38974.0,39581.0,40685.0,43282.0,44810.0,44810.0
Aitona,27489,27112.0,28613.0,29406.0,30647.0,27429.0,29161.0,29028.0,29028.0
Albatàrrec,25295,25058.0,24474.0,24608.0,27069.0,25814.0,27056.0,28069.0,28069.0
Albesa,20502,20310.0,21727.0,21770.0,21567.0,20925.0,21967.0,22068.0,22068.0
Albinyana,29289,29524.0,29176.0,29398.0,31672.0,30500.0,31208.0,32604.0,32604.0
Alcanar,121567,119084.0,111458.0,108512.0,111940.0,110665.0,116799.0,123635.0,123635.0
Alcarràs,103918,106537.0,110643.0,109289.0,113266.0,108393.0,113946.0,120650.0,120650.0
Alcoletge,42058,41828.0,42681.0,41790.0,43927.0,43011.0,44523.0,46917.0,46917.0
Alcover,70396,71733.0,71237.0,73096.0,78771.0,77542.0,74338.0,78829.0,78829.0
"Aldea, l'",50655,50516.0,49412.0,48838.0,49602.0,48971.0,52025.0,53945.0,53945.0
Alella,226435,215094.0,205603.0,203973.0,216984.0,228263.0,259523.0,264712.0,264712.0
Alfarràs,38070,38149.0,36204.0,36267.0,35860.0,36032.0,36318.0,37978.0,37978.0
Alforja,23912,23503.0,22672.0,22469.0,23356.0,23029.0,22298.0,24893.0,24893.0
Alguaire,44387,43730.0,42189.0,41569.0,43016.0,40377.0,41023.0,41313.0,41313.0
Almacelles,82977,83653.0,81866.0,83207.0,86541.0,85460.0,89666.0,95486.0,95486.0
Almenar,46553,46235.0,45921.0,45080.0,46249.0,44996.0,45848.0,47446.0,47446.0
Almoster,26151,24832.0,24119.0,24603.0,25413.0,25712.0,26693.0,26867.0,26867.0
Alp,24587,22928.0,21098.0,20966.0,20344.0,21664.0,23083.0,24640.0,24640.0
Alpicat,110992,106064.0,101925.0,101261.0,105847.0,107336.0,109233.0,112158.0,112158.0
Altafulla,89549,86631.0,81400.0,81701.0,85176.0,85602.0,88309.0,101063.0,101063.0
Amer,37043,36938.0,33762.0,34723.0,35836.0,36815.0,37538.0,39362.0,39362.0
"Ametlla de Mar, l'",82789,82513.0,76977.0,75740.0,82166.0,82940.0,83440.0,88904.0,88904.0
"Ametlla del Vallès, l'",163804,163146.0,154923.0,157148.0,172395.0,176219.0,179848.0,196146.0,196146.0
"Ampolla, l'",42951,40409.0,38948.0,38627.0,39108.0,41294.0,42978.0,45997.0,45997.0
Amposta,266405,256981.0,240169.0,240256.0,250790.0,253560.0,258827.0,274280.0,274280.0
Anglès,81692,80677.0,75109.0,75572.0,77153.0,77548.0,79997.0,82214.0,82214.0
Anglesola,18617,19000.0,18636.0,18695.0,19060.0,18255.0,18715.0,19473.0,19473.0
Arbeca,30102,29847.0,29339.0,28968.0,29180.0,29094.0,28812.0,29697.0,29697.0
"Arboç, l'",70876,73234.0,66368.0,66576.0,67705.0,69535.0,70615.0,73354.0,73354.0
Arbúcies,87189,86662.0,81365.0,81384.0,82337.0,85361.0,88740.0,92696.0,92696.0
Arenys de Mar,243987,236536.0,226946.0,227323.0,237346.0,246215.0,256896.0,271949.0,271949.0
