Municipi,Total
Abella de la Conca,112.0
Abrera,8044.0
Agramunt,3669.0
Aguilar de Segarra,159.0
Agullana,519.0
Aiguafreda,1578.0
Aiguamúrcia,595.0
Aiguaviva,489.0
Aitona,1483.0
Albanyà,97.0
Albatàrrec,1473.0
Albesa,1066.0
Albinyana,1496.0
Albons,469.0
Alcanar,6941.0
Alcanó,142.0
Alcarràs,6064.0
Alcoletge,2267.0
Alcover,3365.0
Aldover,560.0
Alella,6416.0
Alfara de Carles,243.0
Alfarràs,1928.0
Alforja,1211.0
Alfés,213.0
Algerri,246.0
Alguaire,2036.0
Alins,182.0
Alió,257.0
Almacelles,4412.0
Almatret,205.0
Almenar,2355.0
Almoster,938.0
Alp,1255.0
Alpens,192.0
Alpicat,4173.0
Alt Àneu,308.0
Altafulla,3273.0
Alàs i Cerc,221.0
Alòs de Balaguer,73.0
Amer,1425.0
Amposta,14285.0
Anglesola,829.0
Anglès,3646.0
Arbeca,1507.0
Arbolí,81.0
Arbúcies,4358.0
Arenys de Mar,9708.0
Arenys de Munt,5633.0
Argelaguer,272.0
Argentona,7785.0
Argençola,173.0
Arnes,257.0
Arres,49.0
Arsèguel,59.0
Artesa de Lleida,926.0
Artesa de Segre,2391.0
Artés,3680.0
Ascó,1127.0
Aspa,119.0
Avinyonet de Puigventós,1025.0
Avinyonet del Penedès,1093.0
Avinyó,1441.0
Avià,1440.0
Badalona,147.18
Badia del Vallès,8910.0
Bagà,1560.0
Baix Pallars,222.0
Balaguer,11031.0
Balenyà,2478.0
Balsareny,2289.0
Banyeres del Penedès,1967.0
Banyoles,12355.0
Barbens,561.0
Barberà de la Conca,326.0
Barberà del Vallès,22341.0
Barcelona,1060.4209999999998
Bassella,151.0
Batea,1255.0
Bausen,29.0
Begues,4422.0
Begur,2760.0
Belianes,310.0
Bellaguarda,190.0
Bellmunt del Priorat,205.0
Bellprat,58.0
Bellpuig,3259.0
Bellvei,1345.0
Bellver de Cerdanya,1527.0
Bellvís,1514.0
Benavent de Segrià,1005.0
Benifallet,448.0
Benissanet,791.0
Berga,10780.0
Besalú,1515.0
Bescanó,3011.0
Beuda,106.0
Biosca,133.0
Biure,162.0
Blancafort,263.0
Blanes,26396.0
Boadella i les Escaules,177.0
Bolvir,281.0
Bonastre,437.0
Bordils,1132.0
Borrassà,448.0
Borredà,355.0
Bossòst,815.0
Bot,386.0
Botarell,762.0
Bovera,169.0
Breda,2418.0
Bràfim,425.0
Bàscara,584.0
Cabacés,205.0
Cabanabona,48.0
Cabanelles,155.0
Cabanes,2407.0
Cabra del Camp,732.0
Cabrera de Mar,3063.0
Cabrils,4726.0
Cabó,58.0
Cadaqués,1931.0
Calaf,2257.0
Calafell,16453.0
Calders,612.0
Caldes de Malavella,4682.0
Caldes de Montbui,11445.0
Calella,12071.0
Calldetenes,1683.0
Callús,1195.0
