,Municipi,Codi,Any,Total,Homes,Dones,0-14 Anys,15-64 Anys,64 o més,Índex d'envelliment,Índex de sobreenvelliment,Saldo migratori total,Immigracions,Emigracions,Aturats,Poblacio activa,Renda,Demanda,Habitatges familiars secundaris,Habitatges familiars vacants,Habitatges familiars altres,Habitatges familiars principals,De lloguer,De propietat,Serveis,Solar,Zones verdes,Equipament,Connectivitat,Densitat comercial,Hab Lloguer
0,Abella de la Conca,250019,2000,197.0,0.5380710659898477,0.4619289340101523,0.15736040609137056,0.6345177664974619,0.20812182741116753,,,,,,,,,,,,,,,,,,,,,,0.0
1,Abrera,80018,2000,8177.0,0.5140026904732787,0.48599730952672127,0.16203986792222086,0.753577106518283,0.08438302555949614,,,,,,,,,,,,,,,,,,,,,,0.0
2,Àger,250024,2000,528.0,0.5378787878787878,0.4621212121212121,0.07386363636363637,0.5662878787878788,0.35984848484848486,,,,,,,,,,,,,,,,,,,,,,0.0
3,Agramunt,250030,2000,4902.0,0.5112199102407181,0.48878008975928194,0.1415748674010608,0.6430028559771522,0.21542227662178703,,,,,,,,,,,,,,,,,,,,,,0.0
4,Aguilar de Segarra,80023,2000,213.0,0.49765258215962443,0.5023474178403756,0.12206572769953052,0.5352112676056338,0.3427230046948357,,,,,,,,,,,,,,,,,,,,,,0.0
5,Agullana,170010,2000,655.0,0.5068702290076336,0.49312977099236643,0.10381679389312977,0.5908396946564886,0.3053435114503817,,,,,,,,,,,,,,,,,,,,,,0.0
6,Aiguafreda,80142,2000,2147.0,0.49091755938518866,0.5090824406148113,0.12435957149510946,0.6846762925011645,0.19096413600372614,,,,,,,,,,,,,,,,,,,,,,0.0
7,Aiguamúrcia,430017,2000,652.0,0.5199386503067485,0.48006134969325154,0.1165644171779141,0.6365030674846626,0.2469325153374233,,,,,,,,,,,,,,,,,,,,,,0.0
8,Aiguaviva,170025,2000,515.0,0.5067961165048543,0.49320388349514566,0.1533980582524272,0.6815533980582524,0.1650485436893204,,,,,,,,,,,,,,,,,,,,,,0.0
9,Aitona,250387,2000,2186.0,0.4967978042086002,0.5032021957913998,0.11573650503202196,0.6495882891125343,0.23467520585544374,,,,,,,,,,,,,,,,,,,,,,0.0
10,Alàs i Cerc,250058,2000,400.0,0.5325,0.4675,0.1125,0.6125,0.275,,,,,,,,,,,,,,,,,,,,,,0.0
11,Albanyà,170031,2000,128.0,0.53125,0.46875,0.125,0.640625,0.234375,,,,,,,,,,,,,,,,,,,,,,0.0
12,Albatàrrec,250077,2000,1130.0,0.5017699115044247,0.4982300884955752,0.13097345132743363,0.6716814159292035,0.19734513274336282,,,,,,,,,,,,,,,,,,,,,,0.0
13,Albesa,250083,2000,1494.0,0.4939759036144578,0.5060240963855421,0.11579651941097724,0.6385542168674698,0.24564926372155288,,,,,,,,,,,,,,,,,,,,,,0.0
14,Albinyana,430022,2000,1380.0,0.5202898550724637,0.4797101449275362,0.1036231884057971,0.7137681159420289,0.1826086956521739,,,,,,,,,,,,,,,,,,,,,,0.0
15,Albons,170046,2000,572.0,0.5244755244755245,0.4755244755244755,0.1258741258741259,0.6381118881118881,0.23601398601398602,,,,,,,,,,,,,,,,,,,,,,0.0
16,Alcanar,430043,2000,7878.0,0.4972074130489972,0.5027925869510028,0.12972835745112973,0.6571464838791572,0.21312515866971313,,,,,,,,,,,,,,,,,,,,,,0.0
17,Alcanó,250100,2000,259.0,0.5135135135135135,0.4864864864864865,0.09266409266409266,0.5637065637065637,0.3436293436293436,,,,,,,,,,,,,,,,,,,,,,0.0
18,Alcarràs,250117,2000,4767.0,0.5019928676316342,0.49800713236836586,0.14096916299559473,0.6733794839521712,0.1856513530522341,,,,,,,,,,,,,,,,,,,,,,0.0
19,Alcoletge,250122,2000,1770.0,0.5192090395480226,0.4807909604519774,0.1401129943502825,0.6971751412429379,0.16271186440677965,,,,,,,,,,,,,,,,,,,,,,0.0
