Codi,Literal,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
01,Alt Camp,239,241,333,335,414,287,231,125,108,101,2414,
02,Alt Empordà,697,611,765,800,691,598,511,376,374,327,5750,
03,Alt Penedès,521,407,478,540,558,503,437,334,273,240,4291,
04,Alt Urgell,90,143,148,164,192,121,132,136,63,68,1257,
05,Alta Ribagorça,39,54,61,83,98,82,74,43,35,22,591,
06,Anoia,481,427,576,700,543,560,446,322,259,203,4517,
39,Aran,41,84,72,103,111,110,86,59,31,24,721,
07,Bages,370,426,612,672,524,526,394,274,210,139,4147,
08,Baix Camp,479,611,772,891,1082,593,489,246,183,143,5489,
09,Baix Ebre,174,168,207,228,283,250,210,137,177,86,1920,
10,Baix Empordà,776,857,838,1211,891,756,678,445,445,385,7282,
11,Baix Llobregat,1129,866,1072,1168,1111,952,951,666,498,485,8898,
12,Baix Penedès,512,551,667,667,693,445,453,178,132,93,4391,
13,Barcelonès,567,472,564,612,514,443,370,381,298,201,4422,
14,Berguedà,155,187,213,294,208,209,174,123,93,76,1732,
15,Cerdanya,152,162,125,216,103,140,106,87,78,71,1240,
16,Conca de Barberà,170,173,184,256,259,243,126,69,64,58,1602,
17,Garraf,411,350,382,494,355,451,330,248,232,175,3428,
18,Garrigues,66,103,109,124,149,99,84,71,35,46,886,
19,Garrotxa,189,201,240,249,211,244,186,124,102,117,1863,
20,Gironès,523,625,468,617,499,487,436,236,227,170,4288,
21,Maresme,1021,1141,1303,1386,1028,1097,898,550,358,328,9110,
22,Montsià,124,144,250,195,258,207,191,72,54,38,1533,
23,Noguera,74,87,149,160,142,127,107,78,63,50,1037,
24,Osona,448,491,634,834,683,598,542,349,305,226,5110,
25,Pallars Jussà,59,114,88,113,146,114,93,130,42,37,936,
26,Pallars Sobirà,83,110,90,142,142,128,114,90,67,40,1006,
27,Pla d'Urgell,98,170,202,246,314,257,150,119,47,45,1648,
28,Pla de l'Estany,91,114,130,162,124,118,106,56,60,46,1007,
29,Priorat,20,30,26,40,39,31,36,14,12,21,269,
30,Ribera d'Ebre,59,71,80,94,88,82,53,34,28,23,612,
31,Ripollès,146,105,101,155,103,104,119,45,54,55,987,
32,Segarra,102,100,109,179,103,92,96,97,77,42,997,
33,Segrià,374,664,591,640,752,643,486,346,196,200,4892,
34,Selva,808,844,973,1300,793,776,744,498,431,368,7535,
35,Solsonès,32,55,48,73,65,54,44,29,22,22,444,
36,Tarragonès,424,485,583,634,791,500,357,162,165,69,4170,
37,Terra Alta,15,11,15,15,30,16,17,3,13,5,140,
38,Urgell,137,192,199,244,260,231,209,154,117,106,1849,
40,Vallès Occidental,1454,1348,1694,1698,1511,1468,1282,918,820,703,12896,
41,Vallès Oriental,1228,1163,1568,1858,1453,1516,1055,785,550,436,11612,
