Codi,Literal,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
080018,Abrera,47,35,58,105,63,60,70,30,7,7,482,
250030,Agramunt,5,34,29,29,31,68,34,8,7,1,246,
080142,Aiguafreda,4,3,5,5,4,4,4,7,2,0,38,
250387,Aitona,8,18,20,13,8,8,11,8,1,1,96,
250077,Albatarrec,14,25,5,10,51,7,3,10,3,5,133,
430022,Albinyana,3,5,13,12,7,8,2,0,1,1,52,
430043,Alcanar,14,20,37,19,29,15,33,8,6,7,188,
250117,Alcarras,27,36,42,31,75,30,15,17,8,6,287,
250122,Alcoletge,16,101,54,56,73,52,52,21,21,11,457,
430056,Alcover,35,33,34,32,47,21,14,7,3,6,232,
439044,Aldea l',3,11,25,10,10,10,8,6,6,1,90,
080039,Alella,23,29,54,45,40,34,23,15,5,4,272,
250138,Alfarras,8,15,13,16,16,8,11,13,1,5,106,
250169,Alguaire,5,23,23,23,30,25,16,11,9,10,175,
250194,Almacelles,14,28,22,34,17,27,16,15,8,30,211,
250215,Almenar,2,7,7,7,10,8,1,1,2,4,49,
250236,Alpicat,17,25,18,27,35,24,15,9,4,8,182,
430120,Altafulla,8,13,30,17,11,14,5,1,1,1,101,
170078,Amer,27,7,11,13,7,30,8,3,3,5,114,
430136,Ametlla de Mar l',13,17,21,25,20,6,7,7,16,9,141,
080057,Ametlla del Vallès l',81,97,107,130,130,96,79,65,37,29,851,
439060,Ampolla l',4,4,21,22,36,30,19,6,7,3,152,
430141,Amposta,23,48,98,79,108,63,42,31,14,6,512,
170084,Anglès,9,4,5,23,8,18,21,12,9,1,110,
250292,Arbeca,10,23,17,26,22,11,10,8,5,5,137,
430167,Arboç l',8,4,27,9,15,5,15,4,1,0,88,
170097,Arbúcies,19,10,18,61,31,14,35,14,59,7,268,
080060,Arenys de Mar,29,83,66,32,26,58,21,43,5,5,368,
080076,Arenys de Munt,26,24,86,50,29,47,28,9,6,3,308,
080095,Argentona,57,75,102,57,55,51,39,14,14,6,470,
080109,Artés,19,17,16,23,16,24,13,7,6,7,148,
250349,Artesa de Segre,3,2,4,9,6,7,8,3,4,0,46,
080116,Avia,21,30,26,44,34,13,13,6,6,10,203,
080121,Avinyó,5,4,15,9,6,4,13,1,1,0,58,
080155,Badalona,137,108,124,160,101,120,86,68,54,28,986,
089045,Badia del Vallès,0,0,0,0,0,0,0,0,0,0,0,
080168,Baga,6,16,7,18,11,17,8,7,3,1,94,
250404,Balaguer,9,14,26,6,17,12,12,3,2,1,102,
080174,Balenya,5,10,13,26,8,7,10,5,0,1,85,
080180,Balsareny,0,6,2,17,8,8,6,10,4,3,64,
430206,Banyeres del Penedès,35,63,96,93,67,39,29,13,7,8,450,
170157,Banyoles,38,53,56,77,56,47,55,30,19,15,446,
082520,Barbera del Vallès,31,25,46,34,47,26,31,13,20,14,287,
080193,Barcelona,327,280,350,360,313,231,210,193,194,136,2594,
430228,Batea,2,2,3,4,3,2,4,0,2,0,22,
080207,Begues,38,21,33,31,40,33,28,19,14,10,267,
170139,Begur,39,51,57,80,59,45,37,23,17,21,429,
250485,Bell-lloc d'Urgell,4,2,2,3,14,19,5,9,1,0,59,
250501,Bellpuig,26,19,32,33,31,20,17,11,4,5,198,
430249,Bellvei,28,29,14,19,57,15,17,2,7,4,192,
250518,Bellver de Cerdanya,4,3,2,12,5,5,5,5,0,2,43,
250523,Bellvís,3,9,7,15,8,5,17,4,2,0,70,
080229,Berga,49,32,47,63,44,46,43,22,15,9,370,
170195,Besalú,10,11,13,12,15,11,5,5,3,0,85,
170209,Bescanó,50,43,33,61,16,16,19,6,6,7,257,
080235,Bigues i Riells del Fai,78,70,83,131,118,80,70,50,31,28,739,
170221,Bisbal d'Emporda la,31,38,32,49,53,42,46,26,23,8,348,
430287,Bisbal del Penedès la,26,15,28,20,33,15,24,5,9,6,181,
170237,Blanes,96,73,81,110,78,70,67,33,25,27,660,
250582,Borges Blanques les,20,19,22,38,38,39,25,9,12,8,230,
430311,Borges del Camp les,9,15,17,29,13,12,7,3,3,0,108,
170274,Breda,11,17,16,23,12,15,11,12,7,6,130,
080291,Cabrera de Mar,5,6,6,4,6,9,4,0,0,0,40,
080305,Cabrils,56,70,79,89,49,47,34,35,16,13,488,
170329,Cadaqués,2,1,3,3,2,2,1,0,0,1,15,
080312,Calaf,19,10,10,20,21,13,14,10,7,3,127,
430379,Calafell,112,158,178,180,180,116,153,49,15,10,1151,
080327,Caldes d'Estrac,25,12,7,12,8,7,9,2,2,0,84,
170335,Caldes de Malavella,74,114,139,141,76,94,98,63,16,14,829,
