Codi,Literal,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
25001,Abella de la Conca,-,-,-,-,-,-,-,-,-,-
08001,Abrera,23,34,41,50,55,29,34,34,3,2
25002,Àger,-,-,-,-,-,-,-,-,-,-
25003,Agramunt,2,3,4,9,8,3,2,2,-,1
08002,Aguilar de Segarra,-,-,-,-,-,-,-,-,-,-
17001,Agullana,3,-,-,2,1,14,-,-,-,-
08014,Aiguafreda,1,-,-,-,-,-,3,1,-,-
43001,Aiguamúrcia,-,1,2,-,2,-,-,-,-,-
17002,Aiguaviva,-,-,-,-,1,-,1,-,-,-
25038,Aitona,1,2,-,-,-,3,1,2,4,7
25004,"Alamús, els",-,-,-,-,1,-,-,-,-,-
25005,Alàs i Cerc,-,-,-,-,-,-,-,-,-,-
25006,"Albagés, l'",-,-,-,-,-,-,-,-,-,-
17003,Albanyà,-,-,-,-,-,-,-,-,-,-
25007,Albatàrrec,2,-,1,1,2,-,-,4,1,1
25008,Albesa,-,-,-,1,-,-,-,-,-,-
25009,"Albi, l'",-,-,-,-,-,-,-,-,-,-
43002,Albinyana,-,-,1,1,1,2,-,2,1,-
43003,"Albiol, l'",-,-,-,1,-,-,-,-,-,-
17004,Albons,-,-,-,-,-,-,-,-,-,-
43004,Alcanar,1,2,3,2,-,4,1,1,-,1
25010,Alcanó,-,-,-,-,-,-,-,-,-,-
25011,Alcarràs,10,6,19,14,18,12,2,7,1,17
25012,Alcoletge,4,13,6,17,22,11,15,9,2,7
43005,Alcover,1,4,3,4,2,3,2,8,2,-
43904,"Aldea, l'",-,3,2,2,1,3,-,1,2,2
43006,Aldover,-,-,-,-,-,-,-,-,-,-
43007,"Aleixar, l'",-,-,-,1,-,-,1,-,-,-
08003,Alella,23,27,26,32,16,12,5,2,7,1
43008,Alfara de Carles,-,-,-,-,-,-,-,-,-,-
25013,Alfarràs,1,-,1,2,3,2,-,-,1,-
25014,Alfés,-,-,-,-,-,-,-,-,-,-
43009,Alforja,1,-,1,-,1,2,-,-,-,-
25015,Algerri,-,-,-,-,-,-,-,-,-,-
25016,Alguaire,-,2,2,3,2,3,5,7,1,3
25017,Alins,-,-,-,-,-,-,-,1,-,-
43010,Alió,-,-,1,-,-,-,-,-,-,-
25019,Almacelles,6,5,3,3,1,2,1,2,3,3
25020,Almatret,-,-,-,-,-,-,-,-,-,-
25021,Almenar,-,2,1,-,1,1,-,-,-,-
43011,Almoster,-,-,1,-,-,-,1,-,1,-
