Comarques;2018;2017;2016;2015;2014;2013;2012;;;
Alt Camp;81;108;81;55;52;44;55;;;
Alt Empordà;164;128;193;169;153;212;290;;;
Alt Penedès;309;348;377;348;287;256;330;;;
Alt Urgell;27;25;37;23;37;40;42;;;
Alta Ribagorça;12;6;11;8;9;-;-;;;
Anoia;163;204;218;206;213;118;196;;;
Bages;396;402;337;330;185;187;90;;;
Baix Camp;430;474;557;525;590;413;605;;;
Baix Ebre;35;47;53;71;33;54;33;;;
Baix Empordà;213;199;317;249;150;197;194;;;
Baix Llobregat;3.530;3.406;2.826;2.300;1.248;975;2.558;;;
Baix Penedès;183;184;171;163;197;79;109;;;
Barcelonès;9.958;13.369;11.564;9.232;7.525;8.657;10.064;;;
Berguedà;10;25;48;29;26;41;48;;;
Cerdanya;24;28;23;23;13;13;52;;;
Conca de Barberà;35;19;21;30;17;6;22;;;
Garraf;484;460;501;362;290;217;349;;;
Garrigues;8;9;6;4;10;13;-;;;
Garrotxa;232;178;221;124;133;169;180;;;
Gironès;463;443;366;324;331;228;367;;;
Maresme;1.210;1.159;944;573;486;667;495;;;
Moianès;10;4;7;3;;;;;;
Montsià;103;74;76;89;120;114;83;;;
Noguera;54;75;105;112;83;51;6;;;
Osona;332;499;364;314;201;184;98;;;
Pallars Jussà;79;90;70;109;47;7;7;;;
Pallars Sobirà;44;32;29;27;18;84;5;;;
Pla de l'Estany;30;60;74;73;50;35;74;;;
Pla d'Urgell;97;99;85;123;128;74;104;;;
Priorat;5;3;5;1;-;1;2;;;
Ribera d'Ebre;23;29;37;44;29;3;22;;;
Ripollès;56;40;45;47;29;23;17;;;
Segarra;31;48;47;71;81;46;43;;;
Segrià;706;683;824;648;513;614;463;;;
Selva;165;143;210;188;139;178;202;;;
Solsonès;55;39;45;57;8;26;4;;;
Tarragonès;603;566;530;535;656;386;463;;;
Terra Alta;14;13;13;18;29;19;18;;;
Urgell;108;89;102;61;29;32;49;;;
Val d'Aran;27;22;19;19;30;26;-;;;
Vallès Occidental;4.771;4.266;4.650;3.027;1.945;2.141;3.247;;;
Vallès Oriental;752;874;720;555;376;223;280;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
