Comarca,1,2,3,4,5,6,>6,Total,
Alt Camp,2.559,3.376,2.699,2.754,874,272,121,12.655,
Alt Empordà,9.222,10.401,7.680,6.777,2.165,806,420,37.471,
Alt Penedès,5.151,7.758,6.272,5.967,2.002,707,362,28.219,
Alt Urgell,1.736,1.868,1.403,1.244,480,191,96,7.018,
Alta Ribagorça,421,337,262,222,84,28,13,1.367,
Anoia,5.972,8.865,7.255,7.225,2.383,686,339,32.725,
Bages,10.788,16.089,13.199,11.203,3.257,1.106,456,56.098,
Baix Camp,10.630,13.736,11.161,11.050,3.572,1.058,542,51.749,
Baix Ebre,4.491,6.429,5.070,4.612,1.741,673,276,23.292,
Baix Empordà,12.386,9.734,7.401,6.769,2.287,862,561,40.000,
Baix Llobregat,37.518,66.876,59.520,55.175,15.071,4.200,2.216,240.576,
Baix Penedès,5.593,6.885,4.531,4.229,1.372,426,220,23.256,
Barcelonès,191.934,236.763,177.289,141.655,39.826,10.871,6.278,804.616,
Berguedà,3.207,4.162,3.069,2.557,801,238,143,14.177,
Cerdanya,1.742,1.269,1.102,915,324,140,51,5.543,
Conca de Barberà,1.546,1.760,1.435,1.287,498,174,60,6.760,
Garraf,9.155,11.632,8.844,7.757,2.205,654,338,40.585,
Garrigues,1.465,1.885,1.370,1.245,542,224,71,6.802,
Garrotxa,3.628,4.963,4.155,3.136,999,373,213,17.467,
Gironès,13.227,12.675,10.199,9.905,3.178,1.023,593,50.800,
Maresme,23.334,34.244,28.535,27.370,8.315,2.476,1.348,125.622,
Montsià,3.808,5.702,4.549,4.209,1.407,503,217,20.395,
Noguera,2.612,3.049,2.533,2.329,978,431,172,12.104,
Osona,7.719,11.718,9.853,9.891,3.235,1.150,630,44.196,
Pallars Jussà,1.439,1.304,864,716,284,105,43,4.755,
Pallars Sobirà,837,611,439,375,135,60,33,2.490,
Pla d'Urgell,1.861,2.670,2.163,2.102,835,354,149,10.134,
Pla de l'Estany,5.496,1.827,1.462,1.324,555,223,129,11.016,
Priorat,1.009,950,653,590,240,87,28,3.557,
Ribera d'Ebre,1.651,2.033,1.619,1.538,582,212,87,7.722,
Ripollès,2.355,2.835,2.209,1.728,476,167,68,9.838,
Segarra,1.338,1.591,1.322,1.291,517,213,107,6.379,
Segrià,11.471,15.368,13.441,12.167,4.111,1.424,598,58.580,
Selva,9.021,11.287,9.246,8.820,2.656,846,499,42.375,
Solsonès,824,886,788,760,299,170,99,3.826,
Tarragonès,14.128,17.859,14.250,13.832,4.255,1.204,582,66.110,
Terra Alta,807,1.061,837,831,333,213,67,4.149,
Urgell,2.264,2.896,2.238,2.040,852,346,192,10.828,
Val d'Aran,808,631,580,517,192,71,50,2.849,
Vallès Occidental,41.638,71.565,60.858,59.203,16.619,4.670,2.265,256.818,
Vallès Oriental,17.833,30.022,26.538,25.672,7.507,2.243,1.122,110.937,
Catalunya,484.624,647.572,518.893,462.989,138.044,41.880,21.854,2.315.856,
Metropolità,326.563,458.860,367.856,322.799,91.545,25.821,13.929,1.607.373,
Comarques Gironines,55.335,53.722,42.352,38.459,12.316,4.300,2.483,208.967,
Camp de Tarragona,35.465,44.566,34.729,33.742,10.811,3.221,1.553,164.087,
Terres de l'Ebre,10.757,15.225,12.075,11.190,4.063,1.601,647,55.558,
Ponent,21.011,27.459,23.067,21.174,7.835,2.992,1.289,104.827,
Comarques Centrals,28.510,41.720,34.164,31.636,9.975,3.350,1.667,151.022,
Alt Pirineu i Aran,6.983,6.020,4.650,3.989,1.499,595,286,24.022,
Barcelona,354.160,499.646,401.191,353.650,101.205,28.992,15.488,1.754.332,
Girona,56.723,54.761,43.247,39.221,12.587,4.415,2.529,213.483,
Lleida,27.519,33.374,27.651,25.186,9.378,3.651,1.637,128.396,
Tarragona,46.222,59.791,46.804,44.932,14.874,4.822,2.200,219.645,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
