Comarca,1,2,3,4,5,>6,Total,
Alt Camp,3.829,5.649,3.762,2.783,950,395,17.368,
Alt Empordà,12.491,18.356,11.305,8.957,2.397,1.159,54.666,
Alt Penedès,8.841,12.699,8.359,8.154,1.722,685,40.459,
Alt Urgell,2.631,2.478,1.880,1.365,339,101,8.794,
Alta Ribagorça,563,585,343,243,72,..,1.810,
Anoia,9.816,13.164,10.180,9.174,2.075,675,45.084,
Bages,14.801,22.335,16.718,12.138,3.509,1.351,70.852,
Baix Camp,16.389,23.513,15.052,13.520,3.575,1.505,73.554,
Baix Ebre,6.484,9.259,6.932,5.331,1.913,743,30.662,
Baix Empordà,12.246,16.411,11.125,8.526,2.426,1.112,51.846,
Baix Llobregat,57.388,92.911,70.884,61.404,12.213,4.939,299.739,
Baix Penedès,8.741,13.655,8.292,6.881,1.568,601,39.738,
Barcelonès,249.997,308.382,182.573,133.709,36.652,15.270,926.583,
Berguedà,4.530,5.550,3.374,2.648,469,306,16.878,
Cerdanya,2.388,1.991,1.555,1.274,225,231,7.665,
Conca de Barberà,2.183,2.502,1.774,1.398,416,102,8.375,
Garraf,14.654,18.710,12.304,10.084,2.115,786,58.654,
Garrigues,1.771,2.421,1.665,1.408,417,113,7.795,
Garrotxa,4.846,6.953,4.364,3.769,1.055,422,21.409,
Gironès,16.515,20.970,13.539,12.588,3.860,1.923,69.395,
Maresme,36.501,51.352,36.947,31.326,7.166,2.906,166.198,
Montsià,5.830,8.423,6.761,4.982,936,521,27.453,
Noguera,3.475,4.576,3.396,2.784,733,325,15.288,
Osona,12.457,17.552,12.887,10.706,2.779,1.587,57.968,
Pallars Jussà,1.669,1.788,1.135,770,182,96,5.639,
Pallars Sobirà,1.082,923,594,445,107,..,3.183,
Pla d'Urgell,2.617,3.982,3.579,2.477,703,354,13.712,
Pla de l'Estany,1.981,3.176,2.762,2.461,631,203,11.214,
Priorat,1.054,1.229,875,604,205,54,4.021,
Ribera d'Ebre,1.871,3.148,2.009,1.384,369,246,9.027,
Ripollès,2.883,3.711,2.314,1.535,300,157,10.900,
Segarra,1.781,2.345,2.137,1.646,590,106,8.605,
Segrià,19.615,24.701,18.203,14.699,3.260,1.072,81.550,
Selva,15.005,21.527,14.161,11.650,3.363,960,66.666,
Solsonès,1.267,1.663,970,965,220,177,5.262,
Tarragonès,24.097,29.689,21.057,17.525,4.068,1.824,98.260,
Terra Alta,967,1.308,1.098,866,281,125,4.645,
Urgell,2.864,4.210,3.031,2.453,806,393,13.757,
Val d'Aran,929,1.475,649,715,86,..,3.973,
Vallès Occidental,69.864,102.998,76.091,66.767,15.861,6.007,337.589,
Vallès Oriental,27.895,45.411,34.999,30.530,7.088,2.786,148.710,
Catalunya,686.810,933.679,631.635,512.646,127.702,52.473,2.944.944,
Metropolità,441.646,601.054,401.494,323.737,78.980,31.907,1.878.818,
Comarques Gironines,65.967,91.103,59.570,49.487,14.032,5.936,286.095,
Camp de Tarragona,47.552,62.581,42.522,35.830,9.214,3.880,201.578,
Terres de l'Ebre,15.152,22.138,16.800,12.562,3.499,1.635,71.786,
Ponent,32.124,42.235,32.009,25.468,6.508,2.363,140.707,
Comarques Centrals,33.055,47.099,33.950,26.458,6.978,3.421,150.960,
Alt Pirineu i Aran,9.262,9.239,6.156,4.812,1.011,583,31.063,
Penedès,42.053,58.228,39.134,34.293,7.480,2.747,183.935,
Barcelona,506.687,691.013,465.342,376.601,91.663,37.300,2.168.607,
Girona,67.649,92.764,60.831,50.474,14.199,6.137,292.054,
Lleida,41.029,51.527,37.849,30.297,7.559,2.920,171.180,
Tarragona,71.444,98.375,67.613,55.273,14.281,6.116,313.103,
,,,,,,,,
,,,,,,,,
,,,,,,,,
