Codi,Literal,1,2,3,4,5,6 i més,Total llars
250019,Abella de la Conca,19,11,10,11,5,6,62
80018,Abrera,534,920,773,667,170,59,3123
250024,Àger,67,49,38,24,10,12,200
250030,Agramunt,264,384,302,297,131,137,1515
80023,Aguilar de Segarra,17,19,13,11,8,6,74
170010,Agullana,63,81,59,40,12,7,262
80142,Aiguafreda,159,254,153,158,52,15,791
430017,Aiguamúrcia,87,79,25,41,18,12,262
170025,Aiguaviva,17,27,35,39,11,16,145
250387,Aitona,119,150,141,142,62,56,670
250045,"Alamús, els",31,61,52,45,21,13,223
250058,Alàs i Cerc,38,30,29,18,17,9,141
250061,"Albagés, l'",46,53,24,36,18,9,186
170031,Albanyà,14,12,4,7,1,2,40
250077,Albatàrrec,86,95,90,88,39,21,419
250083,Albesa,84,125,112,99,55,24,499
250096,"Albi, l'",69,66,69,56,20,11,291
430022,Albinyana,144,160,122,109,45,22,602
430038,"Albiol, l'",26,16,13,17,4,1,77
170046,Albons,59,54,35,36,13,8,205
430043,Alcanar,544,785,613,571,225,102,2840
250100,Alcanó,13,23,17,11,10,8,82
250117,Alcarràs,232,401,395,370,124,70,1592
250122,Alcoletge,99,159,128,134,55,22,597
430056,Alcover,235,366,306,305,105,48,1365
439044,"Aldea, l'",244,373,260,255,79,40,1251
430069,Aldover,49,68,52,50,24,18,261
430075,"Aleixar, l'",63,74,46,49,19,13,264
80039,Alella,354,568,642,701,258,120,2643
430081,Alfara de Carles,27,28,24,15,15,9,118
250138,Alfarràs,168,280,258,199,74,45,1024
250143,Alfés,19,31,27,16,9,8,110
430094,Alforja,109,147,95,106,31,9,497
250156,Algerri,35,44,40,22,18,12,171
250169,Alguaire,183,244,221,217,69,28,962
250175,Alins,35,19,20,20,8,3,105
430108,Alió,31,40,28,19,5,12,135
250194,Almacelles,317,517,426,408,145,72,1885
250208,Almatret,53,57,27,26,11,9,183
250215,Almenar,194,300,273,268,88,48,1171
430115,Almoster,47,73,64,101,17,11,313
