Comarca,1,2,3,4,5,>6,Total
Alt Camp,3829,5649,3762,2783,950,395,17368
Alt Emporda,12491,18356,11305,8957,2397,1159,54666
Alt Penedes,8841,12699,8359,8154,1722,685,40459
Alt Urgell,2631,2478,1880,1365,339,101,8794
Alta Ribagorça,563,585,343,243,72,0,1810
Anoia,9816,13164,10180,9174,2075,675,45084
Bages,14801,22335,16718,12138,3509,1351,70852
Baix Camp,16389,23513,15052,13520,3575,1505,73554
Baix Ebre,6484,9259,6932,5331,1913,743,30662
Baix Emporda,12246,16411,11125,8526,2426,1112,51846
Baix Llobregat,57388,92911,70884,61404,12213,4939,299739
Baix Penedes,8741,13655,8292,6881,1568,601,39738
Barcelones,249997,308382,182573,133709,36652,15270,926583
Bergueda,4530,5550,3374,2648,469,306,16878
Cerdanya,2388,1991,1555,1274,225,231,7665
Conca de Barbera,2183,2502,1774,1398,416,102,8375
Garraf,14654,18710,12304,10084,2115,786,58654
Garrigues,1771,2421,1665,1408,417,113,7795
Garrotxa,4846,6953,4364,3769,1055,422,21409
Girones,16515,20970,13539,12588,3860,1923,69395
Maresme,36501,51352,36947,31326,7166,2906,166198
Montsia,5830,8423,6761,4982,936,521,27453
Noguera,3475,4576,3396,2784,733,325,15288
Osona,12457,17552,12887,10706,2779,1587,57968
Pallars Jussa,1669,1788,1135,770,182,96,5639
Pallars Sobira,1082,923,594,445,107,0,3183
Pla d'Urgell,2617,3982,3579,2477,703,354,13712
Pla de l'Estany,1981,3176,2762,2461,631,203,11214
Priorat,1054,1229,875,604,205,54,4021
Ribera d'Ebre,1871,3148,2009,1384,369,246,9027
Ripolles,2883,3711,2314,1535,300,157,10900
Segarra,1781,2345,2137,1646,590,106,8605
Segria,19615,24701,18203,14699,3260,1072,81550
Selva,15005,21527,14161,11650,3363,960,66666
Solsones,1267,1663,970,965,220,177,5262
Tarragones,24097,29689,21057,17525,4068,1824,98260
Terra Alta,967,1308,1098,866,281,125,4645
Urgell,2864,4210,3031,2453,806,393,13757
Val d'Aran,929,1475,649,715,86,0,3973
Valles Occidental,69864,102998,76091,66767,15861,6007,337589
Valles Oriental,27895,45411,34999,30530,7088,2786,148710
