comarques,principals,secundaris,buits,total,Total,Habitatges col�lectius
Alt Camp,17368,4055,3338,7393,24761,10
Alt Empordà,54666,52715,9612,62327,116993,69
Alt Penedès,40459,5830,7002,12832,53291,33
Alt Urgell,8794,2640,2704,5344,14138,17
Alta Ribagorça,1810,1881632,2513,432322,434132
Anoia,45084,6428,10911,17339,62423,28
Bages,70852,6010,18955,24965,95817,81
Baix Camp,73554,26805,17922,44727,118281,51
Baix Ebre,30662,8354,7620,15974,46636,13
Baix Empordà,51846,46469,11840,58309,110155,35
Baix Llobregat,299739,19769,31381,51150,350889,183
Baix Penedès,39738,38031,10034,48065,87803,27
Barcelonès,926583,42990,109679,152669,1079252,490
Berguedà,16878,3596,4905,8501,25379,23
Cerdanya,7665,11353,2168,13521,21186,12
Conca de Barberà,8375,2798,2455,5253,13628,8
Garraf,58654,13036,8877,21913,80567,25
Garrigues,7795,1855,2887,4742,12537,6
Garrotxa,21409,2151,4662,6813,28222,39
Gironès,69395,4834,10071,14905,84300,65
Maresme,166198,24500,22704,47204,213402,125
Montsià,27453,6579,7999,14578,42031,13
Noguera,15288,3638,4391,8029,23317,20
Osona,57968,5061,8568,13629,71597,45
Pallars Jussà,5639,3786,1541,5327,10966,18
Pallars Sobirà,3183,3397923,4320,750330,753513
Pla d'Urgell,13712474,2398,2872,1658413,15370887
Pla de l'Estany,11214700,2762,3462,1467619,12682319
Priorat,4021,2511,1294,3805,7826,11
Ribera d'Ebre,9027,1547,2998,4545,13572,10
Ripollès,10900,5660,3380,9040,19940,41
Segarra,8605,1243,1899,3142,11747,8
Segrià,81550,5799,12502,18301,99851,63
Selva,66666,20038,11391,31429,98095,28
Solsonès,5262,1904,1459,3363,8625,13
Tarragonès,98260,48609,17258,65867,164127,25
Terra Alta,4645,1259,1660,2919,7564,2
Urgell,13757,1993,4444,6437,20194,15
Val d'Aran,3973,5446714,6160,1013332,1017305
Vallès Occidental,337589,13148,43929,57077,394666,157
Vallès Oriental,148710,11187,16489,27676,176386,84
