Codi,Literal,De propietat. Per compra pagada,De propietat. Per compra amb pagaments pendents,De propietat. Per herència o donació,De lloguer,Cedit gratis o a baix preu,Altres formes,Total
01,Alt Camp,5656,6309,1578,2758,308,760,17368,
02,Alt Empordà,16938,16823,4142,12689,1433,2639,54666,
03,Alt Penedès,12449,15996,3645,5747,662,1960,40459,
04,Alt Urgell,2875,1744,1367,1990,277,541,8794,
05,Alta Ribagorça,590,587,234,227,..,101,1810,
06,Anoia,14474,18000,3077,6516,1017,1999,45084,
39,Aran,897,1050,353,1266,..,268,3973,
07,Bages,24053,24128,5145,12768,1268,3491,70852,
08,Baix Camp,23154,29500,3888,12274,1578,3161,73554,
09,Baix Ebre,9349,8858,4820,4584,791,2261,30662,
10,Baix Empordà,17268,16692,3788,10002,1606,2490,51846,
11,Baix Llobregat,109301,123619,9405,42467,4349,10598,299739,
12,Baix Penedès,12074,18150,1931,5025,796,1763,39738,
13,Barcelonès,359325,231071,34492,251347,15810,34538,926583,
14,Berguedà,5745,3955,1639,3950,624,966,16878,
15,Cerdanya,2184,1545,780,2287,400,469,7665,
16,Conca de Barberà,2600,2382,1463,1229,182,520,8375,
17,Garraf,18062,23980,2425,10078,1761,2349,58654,
18,Garrigues,2465,1824,1971,831,184,520,7795,
19,Garrotxa,7947,5304,2097,4652,537,871,21409,
20,Gironès,21782,24128,3401,16285,1249,2550,69395,
21,Maresme,53517,64479,8515,28580,3300,7807,166198,
22,Montsià,7162,9758,4282,4271,541,1439,27453,
23,Noguera,4531,4188,2586,2558,375,1049,15288,
24,Osona,19873,18826,4342,10996,1333,2599,57968,
25,Pallars Jussà,2141,1200,917,927,196,257,5639,
26,Pallars Sobirà,941,798,479,621,75,269,3183,
27,Pla d'Urgell,4128,4967,2047,1386,367,815,13712,
28,Pla de l'Estany,4359,3484,1037,1526,317,491,11214,
29,Priorat,1032,827,1206,521,160,274,4021,
30,Ribera d'Ebre,2742,2292,2000,1175,262,556,9027,
31,Ripollès,4007,2523,1040,2505,359,466,10900,
32,Segarra,2203,2266,1348,2084,243,460,8605,
33,Segrià,26746,28733,6183,14978,1791,3119,81550,
34,Selva,20640,23759,3654,14783,1237,2595,66666,
35,Solsonès,1441,1308,578,1428,180,328,5262,
36,Tarragonès,31154,42277,3551,16383,1423,3471,98260,
37,Terra Alta,1356,751,1797,356,109,275,4645,
38,Urgell,3894,4047,2058,2727,238,793,13757,
40,Vallès Occidental,118081,146031,12774,44646,4339,11718,337589,
41,Vallès Oriental,47654,64920,6753,21277,2393,5713,148710,
,Catalunya,1026791,1003080,158786,582701,54279,119307,2944944,
