Codi,Literal,De propietat. Per compra pagada,De propietat. Per compra amb pagaments pendents,De propietat. Per herència o donació,De lloguer,Cedit gratis o a baix preu,Altres formes,Total
250019,Abella de la Conca,6,1,36,5,2,12,62
080018,Abrera,1183,1599,84,150,14,93,3123
250024,Àger,49,8,112,22,3,6,200
250030,Agramunt,580,338,273,194,31,99,1515
080023,Aguilar de Segarra,18,7,33,10,2,4,74
170010,Agullana,119,28,59,33,4,19,262
080142,Aiguafreda,335,165,65,163,40,23,791
430017,Aiguamúrcia,122,34,44,25,25,12,262
170025,Aiguaviva,43,45,20,21,8,8,145
250387,Aitona,394,30,123,37,83,3,670
250045,"Alamús, els",110,23,59,14,15,2,223
250058,Alàs i Cerc,51,8,67,10,3,2,141
250061,"Albagés, l'",62,28,74,12,3,7,186
170031,Albanyà,11,3,8,12,2,4,40
250077,Albatàrrec,73,108,155,50,5,28,419
250083,Albesa,175,79,173,17,15,40,499
250096,"Albi, l'",81,27,124,22,3,34,291
430022,Albinyana,354,138,35,28,13,33,601
430038,"Albiol, l'",42,25,6,0,2,2,77
170046,Albons,80,27,54,21,12,11,205
430043,Alcanar,1269,475,648,271,62,115,2840
250100,Alcanó,20,1,44,1,4,12,82
250117,Alcarràs,547,288,403,81,48,225,1592
250122,Alcoletge,320,95,105,45,19,13,597
430056,Alcover,550,366,188,170,37,54,1365
439044,"Aldea, l'",660,142,274,98,6,71,1251
430069,Aldover,54,28,153,9,10,7,261
430075,"Aleixar, l'",100,46,80,22,5,11,264
080039,Alella,1035,966,177,309,48,108,2643
430081,Alfara de Carles,63,6,38,3,4,4,118
250138,Alfarràs,503,226,114,100,50,31,1024
250143,Alfés,31,4,65,6,0,4,110
430094,Alforja,214,75,127,49,26,6,497
250156,Algerri,34,12,83,4,5,33,171
250169,Alguaire,343,144,218,69,24,164,962
250175,Alins,28,1,64,2,2,8,105
430108,Alió,65,18,32,9,5,6,135
250194,Almacelles,844,482,267,154,59,79,1885
250208,Almatret,53,10,106,3,6,5,183
250215,Almenar,540,126,250,112,56,87,1171
430115,Almoster,106,145,40,8,8,6,313
250220,Alòs de Balaguer,29,3,28,4,1,2,67
170062,Alp,174,105,40,111,22,48,500
080044,Alpens,44,14,18,14,3,8,101
250236,Alpicat,520,649,93,59,28,26,1375
250241,Alt Àneu,47,25,69,12,6,7,166
430120,Altafulla,396,580,71,91,31,46,1215
170078,Amer,373,127,118,113,19,28,778
430136,"Ametlla de Mar, l'",751,449,399,151,65,135,1950
080057,"Ametlla del Vallès, l'",696,883,98,213,37,70,1997
439060,"Ampolla, l'",418,126,120,63,37,43,807
430141,Amposta,2524,1764,749,578,151,145,5911
170084,Anglès,989,336,107,200,20,32,1684
250273,Anglesola,160,47,166,30,7,17,427
250292,Arbeca,182,57,245,38,30,243,795
430167,"Arboç, l'",466,364,121,212,80,43,1286
430154,Arbolí,36,1,1,2,1,2,43
170097,Arbúcies,832,413,111,346,46,56,1804
080060,Arenys de Mar,1811,1426,335,774,98,147,4591
080076,Arenys de Munt,835,876,237,246,54,108,2356
170101,Argelaguer,71,5,35,21,0,6,138
080082,Argençola,21,5,17,8,2,8,61
430173,"Argentera, l'",19,2,25,3,5,10,64
080095,Argentona,1304,1202,161,382,131,97,3277
170118,"Armentera, l'",126,29,70,36,9,23,293
430189,Arnes,51,7,103,5,1,10,177
250313,Arres,5,3,10,0,2,2,22
250328,Arsèguel,16,0,12,3,2,0,33
080109,Artés,633,429,188,189,23,71,1533
250334,Artesa de Lleida,118,118,159,26,5,20,446
250349,Artesa de Segre,394,130,332,175,29,98,1158
430192,Ascó,286,28,200,38,34,20,606
250365,Aspa,20,2,62,3,17,2,106
250371,"Avellanes i Santa Linya, les",102,4,57,4,3,3,173
080116,Avià,314,74,76,131,73,1,669
080121,Avinyó,305,136,90,111,5,41,688
170123,Avinyonet de Puigventós,80,145,34,20,6,16,301
080137,Avinyonet del Penedès,176,71,98,43,8,28,424
080155,Badalona,37337,20851,2146,8822,706,1882,71744
089045,Badia del Vallès,3659,1210,52,31,13,80,5045
080168,Bagà,328,137,78,151,68,14,776
250390,Baix Pallars,108,6,9,19,4,1,147
250404,Balaguer,2401,1158,241,658,109,150,4717
080174,Balenyà,450,250,87,162,17,66,1032
080180,Balsareny,477,325,119,112,55,58,1146
430206,Banyeres del Penedès,179,138,86,100,79,24,606
170157,Banyoles,4582,1605,529,624,143,355,7838
250411,Barbens,123,6,86,12,20,4,251
430213,Barberà de la Conca,57,14,64,22,13,3,173
082520,Barberà del Vallès,4195,3706,204,507,84,172,8868
080193,Barcelona,271693,117543,15854,169137,8075,12149,594451
250426,"Baronia de Rialb, la",25,2,54,9,2,3,95
170160,Bàscara,176,20,33,27,4,15,275
250447,Bassella,11,1,49,6,4,8,79
430228,Batea,234,28,340,34,13,8,657
250450,Bausen,5,0,21,0,0,0,26
080207,Begues,417,739,124,174,22,65,1541
170139,Begur,675,354,74,108,46,65,1322
250463,Belianes,72,15,92,15,31,1,226
251706,Bellaguarda,25,6,76,0,15,0,122
170182,Bellcaire d'Empordà,83,15,45,35,4,21,203
250479,Bellcaire d'Urgell,157,72,167,12,21,21,450
250485,Bell-lloc d'Urgell,513,112,35,36,7,19,722
250498,Bellmunt d'Urgell,25,6,38,1,3,6,79
430234,Bellmunt del Priorat,53,6,56,5,13,1,134
080214,Bellprat,3,3,18,1,3,1,29
250501,Bellpuig,521,374,262,145,16,74,1392
430249,Bellvei,170,150,79,51,18,22,490
250518,Bellver de Cerdanya,215,112,120,146,26,30,649
250523,Bellvís,298,64,320,30,12,55,779
250539,Benavent de Segrià,129,134,41,25,11,2,342
430252,Benifallet,108,22,122,4,4,13,273
430265,Benissanet,98,29,200,46,2,4,379
080229,Berga,2766,1073,227,1330,96,126,5618
170195,Besalú,391,98,128,108,15,22,762
170209,Bescanó,571,338,73,115,14,34,1145
170216,Beuda,9,4,10,22,0,2,47
080235,Bigues i Riells del Fai,653,1024,89,99,22,92,1979
250557,Biosca,16,3,47,7,4,4,81
170221,"Bisbal d'Empordà, la",1485,651,113,497,55,79,2880
430271,"Bisbal de Falset, la",14,0,63,3,1,0,81
430287,"Bisbal del Penedès, la",365,170,149,55,28,48,815
172348,Biure,30,17,34,7,9,2,99
430290,Blancafort,34,11,76,12,16,1,150
170237,Blanes,5402,3473,494,1238,227,352,11186
170293,Boadella i les Escaules,21,13,35,3,7,2,81
170242,Bolvir,52,18,13,19,1,7,110
430304,Bonastre,40,26,47,22,5,14,154
250576,"Bòrdes, Es",16,13,35,10,0,3,77
170255,Bordils,183,84,70,89,9,28,463
250582,"Borges Blanques, les",893,380,258,132,51,117,1831
430311,"Borges del Camp, les",263,127,86,72,25,14,587
170268,Borrassà,132,22,0,16,7,1,178
080240,Borredà,70,12,28,48,17,6,181
250595,Bossòst,90,84,85,55,18,16,348
430326,Bot,80,37,136,9,8,5,275
430332,Botarell,74,106,48,10,9,9,256
250560,Bovera,133,1,1,2,0,0,137
430347,Bràfim,54,20,94,23,15,19,225
170274,Breda,548,264,76,234,20,58,1200
080253,"Bruc, el",150,150,91,47,11,12,461
080266,"Brull, el",23,5,11,7,9,2,57
170280,Brunyola i Sant Martí Sapresa,66,12,3,23,2,3,109
430350,Cabacés,28,6,78,1,2,3,118
250609,Cabanabona,7,0,23,3,0,2,35
170314,Cabanelles,49,3,0,30,1,4,87
170307,Cabanes,112,36,69,33,22,1,273
080272,"Cabanyes, les",58,72,29,10,2,12,183
250616,Cabó,5,2,32,0,3,0,42
430363,Cabra del Camp,78,70,61,20,12,18,259
080288,Cabrera d'Anoia,113,97,22,9,2,10,253
080291,Cabrera de Mar,444,466,94,151,34,54,1243
080305,Cabrils,533,720,86,212,44,58,1653
170329,Cadaqués,278,140,117,183,43,65,826
080312,Calaf,731,84,45,157,11,22,1050
430379,Calafell,2373,1934,263,585,123,140,5418
080348,Calders,117,70,29,47,9,16,288
080327,Caldes d'Estrac,300,244,50,127,16,28,765
170335,Caldes de Malavella,706,424,108,141,24,70,1473
080333,Caldes de Montbui,1937,1530,231,853,85,142,4778
080351,Calella,2101,1357,454,920,104,251,5187
080370,Calldetenes,421,80,18,55,18,28,620
080386,Callús,221,85,28,122,7,8,471
080364,Calonge de Segarra,20,4,28,0,1,5,58
170340,Calonge i Sant Antoni,1810,1000,347,453,87,328,4025
250621,Camarasa,104,10,142,19,18,21,314
439039,Camarles,451,100,247,56,45,98,997
430385,Cambrils,3189,2863,211,1017,235,154,7669
170353,Camós,119,22,18,11,3,17,190
170366,Campdevànol,685,258,43,186,61,22,1255
170372,Campelles,17,6,13,5,1,5,47
080399,Campins,33,29,13,26,10,7,118
170388,Campllong,45,15,18,22,0,6,106
170391,Camprodon,400,129,140,162,46,22,899
250637,Canejan,12,4,26,3,1,0,46
170405,Canet d'Adri,86,16,43,42,1,1,189
080403,Canet de Mar,1543,1282,278,484,87,233,3907
080410,Canovelles,2238,1266,61,532,37,80,4214
080425,Cànoves i Samalús,295,224,44,37,17,34,651
170412,Cantallops,28,12,43,12,4,4,103
080431,Canyelles,333,366,36,36,10,22,803
430398,Capafonts,19,6,24,3,0,3,55
