Codi,Literal,Habitatges familiars  principals  convencionals,Habitatges familiars  principals  allotjaments,Habitatges familiars  no principals  secundaris,Habitatges familiars  no principals  vacants,Habitatges familiars  no principals  altres,Habitatges familiars    total,Establiments col·lectius
250019,Abella de la Conca,62,0,7,9,2,80,0
080018,Abrera,3123,0,597,423,21,4164,3
250024,Àger,200,0,256,3,0,459,1
250030,Agramunt,1515,0,188,274,26,2003,0
080023,Aguilar de Segarra,74,0,3,5,0,82,0
170010,Agullana,262,0,126,62,3,453,0
080142,Aiguafreda,791,0,218,232,0,1241,2
430017,Aiguamúrcia,262,0,360,65,0,687,0
170025,Aiguaviva,145,0,7,38,0,190,0
250387,Aitona,670,0,41,156,0,867,2
250045,"Alamús, els",223,0,0,41,1,265,0
250058,Alàs i Cerc,141,0,110,75,0,326,0
250061,"Albagés, l'",186,0,70,0,4,260,0
170031,Albanyà,40,0,9,1,4,54,0
250077,Albatàrrec,419,0,3,93,2,517,0
250083,Albesa,499,0,41,94,16,650,0
250096,"Albi, l'",291,0,112,49,3,455,0
430022,Albinyana,601,1,834,39,2,1477,0
430038,"Albiol, l'",77,0,102,6,0,185,0
170046,Albons,205,0,150,28,1,384,0
430043,Alcanar,2840,0,2211,995,39,6085,0
250100,Alcanó,82,0,13,24,0,119,0
250117,Alcarràs,1592,0,144,340,6,2082,1
250122,Alcoletge,597,0,11,203,2,813,1
430056,Alcover,1365,0,238,233,6,1842,1
439044,"Aldea, l'",1251,0,125,199,6,1581,1
430069,Aldover,261,0,41,57,0,359,0
430075,"Aleixar, l'",264,0,13,105,3,385,0
080039,Alella,2643,0,391,206,10,3250,5
430081,Alfara de Carles,118,0,129,1,8,256,0
250138,Alfarràs,1024,0,61,140,2,1227,0
250143,Alfés,110,0,32,42,0,184,0
430094,Alforja,497,0,275,125,0,897,1
250156,Algerri,171,0,36,38,3,248,0
250169,Alguaire,962,0,62,126,1,1151,0
250175,Alins,105,0,56,29,1,191,0
430108,Alió,135,0,42,21,1,199,0
250194,Almacelles,1885,0,81,239,10,2215,2
250208,Almatret,183,0,120,1,0,304,0
250215,Almenar,1171,0,76,247,1,1495,2
430115,Almoster,313,0,57,59,0,429,0
250220,Alòs de Balaguer,67,0,97,2,0,166,0
170062,Alp,500,0,2041,54,0,2595,1
080044,Alpens,101,0,86,21,1,209,0
250236,Alpicat,1375,0,296,90,5,1766,2
250241,Alt Àneu,166,0,36,0,1,203,0
430120,Altafulla,1215,0,2318,277,3,3813,0
170078,Amer,778,0,141,161,17,1097,1
430136,"Ametlla de Mar, l'",1950,0,3140,912,69,6071,0
080057,"Ametlla del Vallès, l'",1997,0,231,126,1,2355,3
439060,"Ampolla, l'",807,0,1993,61,2,2863,0
430141,Amposta,5911,0,623,1682,18,8234,2
170084,Anglès,1684,0,53,362,1,2100,1
250273,Anglesola,427,0,8,92,0,527,0
250292,Arbeca,795,0,179,143,1,1118,0
430167,"Arboç, l'",1286,0,66,370,4,1726,1
430154,Arbolí,43,0,54,1,0,98,0
170097,Arbúcies,1804,0,433,362,4,2603,5
080060,Arenys de Mar,4591,0,2347,429,109,7476,11
080076,Arenys de Munt,2356,0,248,597,0,3201,2
170101,Argelaguer,138,0,44,21,0,203,0
080082,Argençola,61,0,2,1,0,64,0
430173,"Argentera, l'",64,0,64,8,25,161,0
080095,Argentona,3277,3,815,525,10,4630,2
170118,"Armentera, l'",293,0,148,65,0,506,0
430189,Arnes,177,0,0,249,0,426,0
250313,Arres,22,0,2,1,0,25,0
250328,Arsèguel,33,0,35,3,0,71,0
080109,Artés,1533,0,91,356,31,2011,1
250334,Artesa de Lleida,446,0,29,58,2,535,0
250349,Artesa de Segre,1158,0,558,348,8,2072,1
430192,Ascó,606,0,31,178,0,815,0
250365,Aspa,106,0,35,5,0,146,0
250371,"Avellanes i Santa Linya, les",173,0,120,48,0,341,1
080116,Avià,669,0,106,182,0,957,0
080121,Avinyó,688,0,4,96,0,788,0
170123,Avinyonet de Puigventós,301,0,44,45,0,390,0
080137,Avinyonet del Penedès,424,0,63,78,0,565,0
080155,Badalona,71744,0,812,11300,112,83968,22
089045,Badia del Vallès,5045,0,213,549,2,5809,5
080168,Bagà,776,0,346,293,11,1426,1
250390,Baix Pallars,147,0,3,116,0,266,0
250404,Balaguer,4717,0,308,1308,4,6337,7
080174,Balenyà,1032,0,164,254,8,1458,1
080180,Balsareny,1146,0,171,247,0,1564,1
430206,Banyeres del Penedès,606,0,263,204,2,1075,0
170157,Banyoles,7838,0,712,2088,50,10688,22
250411,Barbens,251,0,68,35,3,357,2
430213,Barberà de la Conca,173,0,221,47,0,441,0
082520,Barberà del Vallès,8868,0,131,1069,40,10108,1
080193,Barcelona,594451,1,57719,100771,4986,757928,534
250426,"Baronia de Rialb, la",95,0,63,30,0,188,0
170160,Bàscara,275,0,8,73,0,356,0
250447,Bassella,79,1,17,12,0,109,0
430228,Batea,657,0,212,149,0,1018,0
250450,Bausen,26,0,0,4,0,30,0
080207,Begues,1541,0,623,69,1,2234,1
170139,Begur,1322,0,3142,0,1,4465,0
250463,Belianes,226,0,188,4,4,422,0
251706,Bellaguarda,122,0,40,35,1,198,0
170182,Bellcaire d'Empordà,203,0,105,23,0,331,0
250479,Bellcaire d'Urgell,450,0,66,53,0,569,0
250485,Bell-lloc d'Urgell,722,0,16,44,0,782,1
250498,Bellmunt d'Urgell,79,0,24,25,0,128,0
430234,Bellmunt del Priorat,134,0,167,13,0,314,0
080214,Bellprat,29,0,27,3,0,59,0
250501,Bellpuig,1392,0,220,259,1,1872,2
430249,Bellvei,490,0,518,83,6,1097,0
250518,Bellver de Cerdanya,649,0,941,165,38,1793,2
250523,Bellvís,779,1,8,70,7,865,0
250539,Benavent de Segrià,342,0,4,67,0,413,0
430252,Benifallet,273,0,128,12,15,428,0
430265,Benissanet,379,0,1,221,1,602,0
080229,Berga,5618,0,884,1265,37,7804,13
170195,Besalú,762,0,113,121,0,996,0
170209,Bescanó,1145,0,142,107,0,1394,0
170216,Beuda,47,0,1,30,0,78,0
080235,Bigues i Riells del Fai,1979,1,1194,22,0,3196,1
250557,Biosca,81,0,33,23,0,137,0
170221,"Bisbal d'Empordà, la",2880,0,384,670,21,3955,1
430271,"Bisbal de Falset, la",81,0,79,21,0,181,0
430287,"Bisbal del Penedès, la",815,0,1441,171,0,2427,1
172348,Biure,99,0,65,16,0,180,0
430290,Blancafort,150,0,87,69,0,306,0
170237,Blanes,11186,0,9356,2335,110,22987,5
170293,Boadella i les Escaules,81,0,54,27,2,164,0
170242,Bolvir,110,0,338,2,0,450,0
430304,Bonastre,154,0,211,31,0,396,0
250576,"Bòrdes, Es",77,0,50,0,1,128,0
170255,Bordils,463,0,38,89,0,590,0
250582,"Borges Blanques, les",1831,0,97,931,4,2863,0
430311,"Borges del Camp, les",587,0,39,183,0,809,1
170268,Borrassà,178,0,0,14,1,193,0
080240,Borredà,181,0,218,3,1,403,2
250595,Bossòst,348,0,16,145,0,509,0
430326,Bot,275,0,83,83,2,443,0
430332,Botarell,256,0,72,76,2,406,0
250560,Bovera,137,0,37,37,4,215,0
430347,Bràfim,225,0,67,69,1,362,0
170274,Breda,1200,0,181,180,2,1563,0
080253,"Bruc, el",461,0,0,257,0,718,0
080266,"Brull, el",57,0,0,44,0,101,1
170280,Brunyola i Sant Martí Sapresa,109,0,1,10,0,120,0
430350,Cabacés,118,0,73,23,0,214,0
250609,Cabanabona,35,0,17,27,0,79,0
170314,Cabanelles,87,0,12,3,0,102,0
170307,Cabanes,273,0,46,30,0,349,0
080272,"Cabanyes, les",183,0,18,31,0,232,1
250616,Cabó,42,0,6,0,0,48,0
430363,Cabra del Camp,259,0,448,6,1,714,0
080288,Cabrera d'Anoia,253,0,360,0,0,613,0
080291,Cabrera de Mar,1243,0,617,60,1,1921,0
080305,Cabrils,1653,0,759,88,0,2500,2
170329,Cadaqués,826,0,1722,74,0,2622,2
080312,Calaf,1050,0,260,446,2,1758,0
430379,Calafell,5418,0,16478,2001,86,23983,2
080348,Calders,288,0,202,30,1,521,0
080327,Caldes d'Estrac,765,0,545,405,2,1717,3
170335,Caldes de Malavella,1473,0,477,125,3,2078,3
080333,Caldes de Montbui,4778,0,970,836,23,6607,5
080351,Calella,5187,0,2502,1135,142,8966,7
080370,Calldetenes,620,0,1,75,1,697,1
080386,Callús,471,0,67,65,0,603,0
080364,Calonge de Segarra,58,0,86,0,0,144,0
170340,Calonge i Sant Antoni,4025,0,6637,303,18,10983,2
250621,Camarasa,314,0,185,66,14,579,1
439039,Camarles,997,0,49,140,14,1200,0
430385,Cambrils,7669,2,14987,2474,243,25375,6
170353,Camós,190,0,34,32,0,256,0
170366,Campdevànol,1255,0,66,199,3,1523,1
170372,Campelles,47,0,101,4,0,152,0
080399,Campins,118,0,1,21,0,140,0
170388,Campllong,106,0,21,13,0,140,0
170391,Camprodon,899,0,1085,275,4,2263,2
250637,Canejan,46,0,11,41,5,103,0
170405,Canet d'Adri,189,0,19,5,0,213,0
080403,Canet de Mar,3907,1,1353,840,1,6102,4
080410,Canovelles,4214,0,39,921,0,5174,6
080425,Cànoves i Samalús,651,0,474,12,0,1137,1
170412,Cantallops,103,0,73,50,0,226,0
080431,Canyelles,803,0,1236,2,84,2125,0
430398,Capafonts,55,0,77,9,0,141,0
430402,Capçanes,154,0,63,46,0,263,0
080446,Capellades,1639,0,131,100,3,1873,1
170427,Capmany,179,0,0,101,0,280,0
080459,Capolat,24,0,14,11,0,49,0
080462,Cardedeu,4413,0,950,433,1,5797,4
080478,Cardona,1946,0,280,477,0,2703,3
080484,Carme,231,0,102,44,5,382,0
