Codi,Literal,Habitatges familiars    principals,Habitatges familiars  no principals  secundaris,Habitatges familiars  no principals  buits,Habitatges familiars  no principals  total,Habitatges familiars    total,Habitatges col·lectius
250019,Abella de la Conca,62,28,0,28,90,0
080018,Abrera,4450,503,269,772,5222,1
250024,Àger,259,0,0,454,713,5
250030,Agramunt,2040,0,671,789,2829,2
080023,Aguilar de Segarra,163,0,0,0,163,0
170010,Agullana,324,146,0,190,514,0
080142,Aiguafreda,930,0,390,408,1338,2
430017,Aiguamúrcia,355,380,119,499,854,3
170025,Aiguaviva,256,0,0,13,269,0
250387,Aitona,832,129,108,237,1069,2
250045,"Alamús, els",281,0,130,138,419,0
250058,Alàs i Cerc,132,120,47,167,299,0
250061,"Albagés, l'",152,53,35,88,240,0
170031,Albanyà,49,37,13,50,99,0
250077,Albatàrrec,816,0,79,91,907,1
250083,Albesa,639,0,0,443,1082,0
250096,"Albi, l'",313,97,80,177,490,0
430022,Albinyana,899,617,254,871,1770,1
430038,"Albiol, l'",160,76,0,93,253,0
170046,Albons,273,156,35,191,464,0
430043,Alcanar,4084,2099,1180,3279,7363,1
250100,Alcanó,89,28,0,47,136,0
250117,Alcarràs,3318,0,977,1011,4329,1
250122,Alcoletge,1224,222,0,329,1553,1
430056,Alcover,1988,220,271,491,2479,1
439044,"Aldea, l'",1631,111,151,262,1893,1
430069,Aldover,342,123,64,187,529,0
430075,"Aleixar, l'",352,231,54,285,637,0
080039,Alella,3324,178,370,548,3872,7
430081,Alfara de Carles,161,43,30,73,234,0
250138,Alfarràs,1205,0,154,234,1439,1
250143,Alfés,124,41,31,72,196,0
430094,Alforja,707,309,135,444,1151,2
250156,Algerri,175,48,62,110,285,0
250169,Alguaire,1106,0,266,358,1464,0
250175,Alins,117,122,62,184,301,0
430108,Alió,150,42,41,83,233,0
250194,Almacelles,2432,171,497,668,3100,3
250208,Almatret,152,112,64,176,328,0
250215,Almenar,1284,0,548,611,1895,1
430115,Almoster,480,0,126,187,667,0
250220,Alòs de Balaguer,64,65,32,97,161,0
170062,Alp,768,2620,220,2840,3608,1
080044,Alpens,122,117,0,128,250,0
250236,Alpicat,2129,199,272,471,2600,3
250241,Alt Àneu,199,461,58,519,718,3
430120,Altafulla,1861,2131,593,2724,4585,1
170078,Amer,949,181,197,378,1327,0
430136,"Ametlla de Mar, l'",2979,3729,1266,4995,7974,0
080057,"Ametlla del Vallès, l'",2726,452,208,660,3386,3
439060,"Ampolla, l'",1422,1103,1106,2209,3631,1
430141,Amposta,8170,328,2381,2709,10879,4
170084,Anglès,2152,0,313,372,2524,0
250273,Anglesola,538,110,120,230,768,0
250292,Arbeca,956,150,233,383,1339,0
430167,"Arboç, l'",1991,0,388,470,2461,2
430154,Arbolí,49,61,0,70,119,0
170097,Arbúcies,2503,260,476,736,3239,1
080060,Arenys de Mar,5995,1128,1352,2480,8475,9
080076,Arenys de Munt,3192,242,898,1140,4332,9
170101,Argelaguer,173,47,33,80,253,0
080082,Argençola,93,63,0,69,162,0
430173,"Argentera, l'",64,42,26,68,132,0
080095,Argentona,4102,549,760,1309,5411,4
170118,"Armentera, l'",351,284,119,403,754,0
430189,Arnes,201,106,163,269,470,0
250313,Arres,37,16,0,18,55,0
250328,Arsèguel,41,62,25,87,128,0
080109,Artés,2093,0,497,542,2635,2
250334,Artesa de Lleida,547,0,0,83,630,0
250349,Artesa de Segre,1418,572,613,1185,2603,1
430192,Ascó,613,0,270,331,944,1
250365,Aspa,89,74,0,92,181,0
250371,"Avellanes i Santa Linya, les",195,176,0,196,391,0
080116,Avià,862,0,247,314,1176,0
080121,Avinyó,873,0,210,255,1128,1
170123,Avinyonet de Puigventós,483,0,0,64,547,1
080137,Avinyonet del Penedès,648,192,98,290,938,0
080155,Badalona,81793,2199,8881,11080,92873,21
089045,Badia del Vallès,5277,0,0,402,5679,0
080168,Bagà,988,552,222,774,1762,1
250390,Baix Pallars,151,181,37,218,369,0
250404,Balaguer,6304,371,1586,1957,8261,5
080174,Balenyà,1392,0,191,300,1692,0
080180,Balsareny,1374,0,333,375,1749,1
430206,Banyeres del Penedès,1128,298,174,472,1600,0
170157,Banyoles,7003,362,2231,2593,9596,13
250411,Barbens,298,0,56,82,380,3
430213,Barberà de la Conca,221,199,48,247,468,0
082520,Barberà del Vallès,12147,0,906,1086,13233,1
080193,Barcelona,684078,38769,88259,127028,811106,414
250426,"Baronia de Rialb, la",95,58,21,79,174,0
170160,Bàscara,362,83,64,147,509,0
250447,Bassella,91,5,11,16,107,0
430228,Batea,765,158,237,395,1160,0
250450,Bausen,37,17,9,26,63,0
080207,Begues,2263,382,261,643,2906,1
170139,Begur,1680,3327,218,3545,5225,7
250463,Belianes,240,168,0,211,451,0
251706,Bellaguarda,137,76,0,109,246,0
170182,Bellcaire d'Empordà,274,175,0,205,479,0
250479,Bellcaire d'Urgell,549,0,121,135,684,0
250485,Bell-lloc d'Urgell,873,0,71,71,944,1
250498,Bellmunt d'Urgell,68,34,40,74,142,0
430234,Bellmunt del Priorat,142,99,111,210,352,3
080214,Bellprat,36,36,0,42,78,0
250501,Bellpuig,1760,0,514,563,2323,6
430249,Bellvei,813,394,0,453,1266,0
250518,Bellver de Cerdanya,1047,1116,437,1553,2600,3
250523,Bellvís,958,0,45,87,1045,0
250539,Benavent de Segrià,512,0,76,105,617,1
430252,Benifallet,272,125,95,220,492,2
430265,Benissanet,463,48,65,113,576,1
080229,Berga,7038,551,1531,2082,9120,7
170195,Besalú,967,0,206,250,1217,11
170209,Bescanó,1652,0,196,559,2211,1
170216,Beuda,58,14,10,24,82,0
080235,Bigues i Riells del Fai,3218,1026,147,1173,4391,0
250557,Biosca,89,0,44,60,149,0
170221,"Bisbal d'Empordà, la",4129,315,661,976,5105,2
430271,"Bisbal de Falset, la",89,41,49,90,179,0
430287,"Bisbal del Penedès, la",1259,1120,466,1586,2845,1
172348,Biure,102,36,0,42,144,0
430290,Blancafort,170,94,70,164,334,0
170237,Blanes,15957,7062,2238,9300,25257,6
170293,Boadella i les Escaules,102,54,0,68,170,0
170242,Bolvir,166,578,28,606,772,0
430304,Bonastre,264,232,56,288,552,0
