,Any,Literal,Codi,Connectivitat
0,2012,Igualada,081022,144.8569
1,2012,Cardona,080478,15.8741
2,2012,la Llacuna,081043,9.6753
3,2012,Castellcir,080556,5.0652
4,2012,Castellbisbal,080543,137.4469
5,2012,Castellbell i el Vilar,080538,19.274700000000003
6,2012,Castellar de n'Hug,080522,2.7015000000000002
7,2012,Castellar del Vallès,080517,101.00150000000001
8,2012,Castellar del Riu,080500,0.0
9,2012,Castell de l'Areny,080575,0.2928
10,2012,Carme,080484,4.9968
11,2012,Castellet i la Gornal,080581,35.944
12,2012,Cardedeu,080462,72.24940000000001
13,2012,Capolat,080459,0.0
14,2012,Capellades,080446,12.6643
15,2012,Canyelles,080431,32.5177
16,2012,Cànoves i Samalús,080425,23.141399999999997
17,2012,Canovelles,080410,35.6437
18,2012,Canet de Mar,080403,30.6087
19,2012,Casserres,080497,11.3112
20,2012,Castellví de Rosanes,080667,16.4533
21,2012,Dosrius,080752,61.808600000000006
22,2012,Cubelles,080749,61.9066
23,2012,Cornellà de Llobregat,080734,149.3425
24,2012,Corbera de Llobregat,080728,123.2436
25,2012,Copons,080713,1.6791
26,2012,Collsuspina,080706,4.912100000000001
27,2012,Collbató,080692,23.8943
28,2012,Castelldefels,080569,260.2407
29,2012,Centelles,080673,26.244
30,2012,Calldetenes,080370,12.694700000000001
31,2012,Castellví de la Marca,080654,7.3797
32,2012,Castellterçol,080641,16.4861
33,2012,Castellolí,080636,6.2896
34,2012,Castellnou de Bages,080620,15.869299999999999
35,2012,Castellgalí,080615,17.2032
36,2012,Castellfollit de Riubregós,080608,0.7602
37,2012,Castellfollit del Boix,080594,2.0962
38,2012,Cervelló,080689,70.5807
39,2012,Argençola,080082,1.6032
40,2012,Balenyà,080174,22.4236
41,2012,Bagà,080168,9.0307
42,2012,Badalona,080155,380.8911
43,2012,Aiguafreda,080142,17.493299999999998
44,2012,Avinyonet del Penedès,080137,19.0089
45,2012,Avinyó,080121,12.537700000000001
46,2012,Avià,080116,9.2416
47,2012,Campins,080399,2.3447
48,2012,Argentona,080095,51.0944
49,2012,Begues,080207,64.1241
50,2012,Arenys de Munt,080076,41.4478
51,2012,Arenys de Mar,080060,49.432
52,2012,l'Ametlla del Vallès,080057,69.69369999999999
53,2012,Alpens,080044,4.6377
54,2012,Alella,080039,44.9486
55,2012,Aguilar de Segarra,080023,2.8564000000000003
56,2012,Abrera,080018,39.0177
57,2012,Artés,080109,29.0051
58,2012,Cabrera d'Anoia,080288,32.3874
59,2012,l'Espunyola,080787,0.5382
60,2012,Calonge de Segarra,080364,1.8849
61,2012,Calella,080351,37.5157
62,2012,Calders,080348,15.4552
63,2012,Caldes de Montbui,080333,77.2174
64,2012,Caldes d'Estrac,080327,13.014
65,2012,Calaf,080312,25.066499999999998
66,2012,Balsareny,080180,19.6004
67,2012,Cabrera de Mar,080291,22.3829
68,2012,Barcelona,080193,2208.7348
69,2012,les Cabanyes,080272,5.6386
70,2012,el Brull,080266,2.4885
71,2012,el Bruc,080253,20.4543
72,2012,Borredà,080240,4.2999
73,2012,Bigues i Riells,080235,96.4117
74,2012,Berga,080229,48.2428
75,2012,Bellprat,080214,0.7772
76,2012,Callús,080386,6.9633
77,2012,Cabrils,080305,49.6327
78,2012,Montgat,081265,53.9055
79,2012,Montmeló,081350,47.0021
80,2012,Figaró-Montmany,081347,10.0035
81,2012,Montmaneu,081332,6.8289
82,2012,Montmajor,081326,4.7837
83,2012,Montesquiu,081311,6.1535
84,2012,Montclar,081304,0.2752
85,2012,Muntanyola,081290,12.077499999999999
86,2012,el Masnou,081189,71.5419
87,2012,Monistrol de Montserrat,081271,17.8054
88,2012,Moià,081385,34.0916
89,2012,Montcada i Reixac,081252,185.2849
90,2012,Mollet del Vallès,081249,143.461
91,2012,Molins de Rei,081234,89.41329999999999
92,2012,Mediona,081228,32.0858
93,2012,Mataró,081213,188.2808
94,2012,Matadepera,081206,101.1007
95,2012,Esparreguera,080765,84.0283
96,2012,Monistrol de Calders,081287,7.0044
97,2012,Olesa de Bonesvalls,081461,10.5815
98,2012,Palafolls,081555,47.7416
99,2012,Pacs del Penedès,081542,11.6012
100,2012,Òrrius,081537,7.0118
101,2012,Orpí,081521,1.6566
102,2012,Oristà,081516,5.448
103,2012,Orís,081509,3.1044
104,2012,Olost,081496,12.991599999999998
105,2012,Montornès del Vallès,081363,32.424
106,2012,Olesa de Montserrat,081477,42.940799999999996
107,2012,Montseny,081379,0.9103
108,2012,Olèrdola,081458,46.798300000000005
109,2012,Olvan,081445,8.8442
110,2012,Òdena,081430,33.8532
111,2012,la Nou de Berguedà,081424,1.5742
112,2012,Navàs,081419,28.6117
113,2012,Navarcles,081402,30.5422
114,2012,Mura,081398,5.2761000000000005
115,2012,les Masies de Voltregà,081173,20.003
116,2012,Olivella,081483,56.64
117,2012,Font-rubí,080850,11.1917
118,2012,la Granada,080945,10.1417
119,2012,Gisclareny,080930,0.0
120,2012,Gironella,080924,30.6448
121,2012,Gelida,080919,40.3095
122,2012,Gaià,080902,0.7914000000000001
123,2012,Gavà,080898,152.96359999999999
124,2012,la Garriga,080885,72.7622
125,2012,Masquefa,081192,54.6424
126,2012,les Franqueses del Vallès,080863,76.6682
127,2012,Gualba,080977,6.7472
128,2012,Fonollosa,080847,15.7918
129,2012,Folgueroles,080832,10.9659
130,2012,Fogars de la Selva,080826,16.1509
131,2012,Fogars de Montclús,080811,4.2679
132,2012,Fígols,080804,0.3759
133,2012,l'Estany,080790,6.9658
134,2012,Palau-solità i Plegamans,081568,35.655
135,2012,Gallifa,080879,4.2203
136,2012,Lliçà d'Amunt,081075,118.1038
137,2012,les Masies de Roda,081167,5.5097000000000005
138,2012,Martorelles,081154,33.9875
