,Codi,Literal,Abans de 1900,De 1900 a 1920,De 1921 a 1940,De 1941 a 1950,De 1951 a 1960,De 1961 a 1970,De 1971 a 1980,De 1981 a 1990,De 1991 a 2001,De 2002 a 2011
0,080018,Abrera,29,23,4,6,33,110,404,759,1172,482
1,250030,Agramunt,114,70,68,123,106,139,227,150,181,246
2,080142,Aiguafreda,33,15,29,36,66,123,159,105,107,38
3,250387,Aitona,69,112,134,36,98,77,101,46,18,96
4,250077,Albatàrrec,32,18,27,25,68,35,33,36,85,133
5,430022,Albinyana,160,18,6,22,35,72,689,296,338,52
6,430043,Alcanar,261,217,258,238,445,428,1042,839,545,188
7,250117,Alcarràs,121,54,91,63,126,183,223,179,229,287
8,250122,Alcoletge,109,15,14,16,20,40,72,76,78,457
9,430056,Alcover,210,48,31,29,53,212,344,233,220,232
10,439044,"Aldea, l'",5,13,17,65,147,168,180,183,266,90
11,080039,Alella,90,15,31,144,111,192,710,705,333,272
12,250138,Alfarràs,73,30,40,27,69,158,99,64,96,106
13,250169,Alguaire,260,41,34,38,51,88,138,77,73,175
14,250194,Almacelles,66,11,30,89,165,218,214,242,249,211
15,250215,Almenar,238,70,100,120,135,163,145,74,104,49
16,250236,Alpicat,230,33,45,75,93,133,227,340,549,182
17,430120,Altafulla,217,16,4,9,12,27,169,722,507,101
18,170078,Amer,141,14,27,15,55,164,220,87,72,114
19,430136,"Ametlla de Mar, l'",486,66,126,322,518,567,1090,390,485,141
20,080057,"Ametlla del Vallès, l'",101,45,45,60,71,115,358,724,520,851
21,439060,"Ampolla, l'",5,5,35,78,72,130,324,176,162,152
22,430141,Amposta,122,170,210,245,497,786,691,562,685,512
23,170084,Anglès,152,55,65,91,177,142,189,137,126,110
24,250292,Arbeca,221,47,57,111,96,81,155,130,103,137
25,430167,"Arboç, l'",94,34,30,19,20,66,165,81,284,88
26,170097,Arbúcies,98,89,74,96,144,152,267,316,163,268
27,080060,Arenys de Mar,157,212,115,67,215,357,404,416,242,368
28,080076,Arenys de Munt,205,63,74,75,141,137,330,427,491,308
29,080095,Argentona,116,239,117,79,122,276,698,437,595,470
30,080109,Artés,385,11,26,23,75,113,300,129,201,148
31,250349,Artesa de Segre,835,38,46,93,92,82,110,121,103,46
32,080116,Avià,67,20,37,15,40,69,57,60,130,203
33,080121,Avinyó,198,51,45,11,36,51,103,78,89,58
34,080155,Badalona,1066,901,1169,929,2204,2744,2024,962,1736,986
35,089045,Badia del Vallès,5,3,5,7,2,11,163,3,3,0
36,080168,Bagà,145,29,16,9,49,54,46,76,117,94
37,250404,Balaguer,212,94,107,294,304,387,284,193,262,102
38,080174,Balenyà,69,1,11,19,47,134,273,173,128,85
39,080180,Balsareny,110,63,85,42,126,113,140,106,138,64
40,430206,Banyeres del Penedès,44,49,4,5,6,32,339,181,167,450
41,170157,Banyoles,527,120,83,115,565,469,628,510,431,446
42,082520,Barberà del Vallès,44,14,24,50,258,390,708,729,649,287
43,080193,Barcelona,7253,7240,9565,5378,8839,12590,8947,3312,4112,2594
44,430228,Batea,339,92,41,44,97,95,121,108,67,22
45,080207,Begues,171,36,48,53,195,196,260,308,477,267
46,170139,Begur,193,110,86,89,184,305,1163,803,296,429
47,250485,Bell-lloc d'Urgell,48,51,89,81,125,108,71,49,76,59
48,250501,Bellpuig,109,80,142,87,88,157,104,114,169,198
49,430249,Bellvei,29,6,17,16,16,29,204,198,222,192
50,250518,Bellver de Cerdanya,467,82,69,80,77,97,181,174,210,43
51,250523,Bellvís,154,137,69,66,84,52,52,51,71,70
52,080229,Berga,396,79,106,106,146,262,440,336,385,370
53,170195,Besalú,257,3,3,6,75,251,109,52,53,85
54,170209,Bescanó,198,27,43,39,178,224,235,158,221,257
55,080235,Bigues i Riells del Fai,23,50,46,24,45,218,854,812,1043,739
56,170221,"Bisbal d'Empordà, la",715,43,61,52,69,187,406,265,277,348
57,430287,"Bisbal del Penedès, la",251,97,35,31,82,79,822,667,321,181
58,170237,Blanes,83,59,140,221,666,1038,1506,757,714,660
59,250582,"Borges Blanques, les",312,97,108,217,217,302,262,169,184,230
60,430311,"Borges del Camp, les",87,19,16,18,15,36,118,155,109,108
61,170274,Breda,67,21,16,35,137,283,241,151,153,130
62,080291,Cabrera de Mar,40,69,35,20,90,124,206,355,228,40
63,080305,Cabrils,79,19,15,18,145,313,534,446,418,488
64,170329,Cadaqués,373,112,114,139,331,253,238,183,117,15
65,080312,Calaf,93,23,15,19,70,114,150,83,137,127
66,430379,Calafell,110,43,54,52,147,501,2005,1762,1296,1151
67,080327,Caldes d'Estrac,14,171,24,29,46,113,80,29,122,84
68,170335,Caldes de Malavella,94,45,71,66,54,145,336,739,749,829
69,080333,Caldes de Montbui,207,107,204,159,265,300,906,628,693,659
70,080351,Calella,100,172,253,107,259,347,336,231,327,245
71,080370,Calldetenes,42,8,5,6,13,69,107,105,94,136
72,170340,Calonge i Sant Antoni,131,64,56,144,299,413,1202,1098,739,940
73,439039,Camarles,5,26,49,85,147,206,187,143,187,63
74,430385,Cambrils,88,22,24,35,120,757,1605,1255,1224,1641
75,170366,Campdevànol,124,50,23,38,162,100,122,53,143,100
76,170391,Camprodon,98,45,30,35,48,77,226,206,169,179
77,080403,Canet de Mar,340,232,136,101,213,332,485,280,493,314
78,439076,"Canonja, la",10,71,25,11,17,137,205,31,64,118
79,080410,Canovelles,26,10,11,40,245,303,444,307,291,368
80,080425,Cànoves i Samalús,6,7,23,11,19,13,137,218,76,861
81,080431,Canyelles,58,13,20,19,62,91,508,517,606,389
82,080446,Capellades,202,62,45,42,129,113,154,70,80,64
83,080462,Cardedeu,88,43,54,129,209,386,609,698,663,263
84,080478,Cardona,156,195,136,113,111,84,201,156,91,47
85,170448,Cassà de la Selva,349,118,182,195,345,338,524,274,335,210
86,080517,Castellar del Vallès,629,113,93,45,285,643,1041,1030,1129,833
87,080538,Castellbell i el Vilar,43,56,36,48,112,189,428,240,159,128
88,080543,Castellbisbal,201,36,16,24,57,135,642,709,777,258
89,080569,Castelldefels,152,8,26,108,752,1902,1574,889,1239,450
90,080581,Castellet i la Gornal,141,77,26,12,20,129,130,278,167,303
91,170470,Castelló d'Empúries,212,56,62,70,183,233,1980,3738,554,601
92,170486,Castell-Platja d'Aro,208,22,9,35,131,345,903,1019,608,631
93,080641,Castellterçol,131,31,63,45,134,114,116,103,104,82
94,430424,Castellvell del Camp,73,11,25,21,39,83,158,144,450,125
95,430430,"Catllar, el",79,43,19,29,43,99,663,700,353,170
96,171899,"Cellera de Ter, la",191,24,24,12,38,119,101,44,56,55
97,170499,Celrà,258,11,41,17,51,65,71,74,80,275
98,080673,Centelles,57,29,87,99,152,253,315,183,168,302
99,082665,Cerdanyola del Vallès,510,130,258,279,939,720,1179,1310,1232,477
100,080689,Cervelló,27,13,16,15,58,148,736,888,656,339
101,250729,Cervera,537,64,78,65,82,231,177,238,430,306
102,080692,Collbató,205,3,5,6,97,93,326,410,393,374
103,430477,Constantí,63,31,49,63,47,113,204,73,144,69
104,080728,Corbera de Llobregat,74,32,56,109,296,351,1119,1072,1115,441
105,080734,Cornellà de Llobregat,136,124,214,183,664,962,823,218,410,192
106,170561,Cornellà del Terri,300,7,5,7,29,53,135,95,79,41
107,430509,Creixell,106,15,4,3,3,42,340,1066,470,249
108,080749,Cubelles,291,35,56,28,390,228,642,936,1149,334
109,430516,Cunit,43,2,8,9,31,162,1043,1415,973,434
110,439018,Deltebre,127,169,292,284,309,418,566,878,655,549
111,080752,Dosrius,55,17,5,10,57,97,411,567,242,475
112,170622,"Escala, l'",472,194,46,128,385,829,3383,1858,663,391
113,080765,Esparreguera,291,262,113,83,150,195,2407,516,1031,398
114,430542,"Espluga de Francolí, l'",270,41,33,66,100,152,238,163,141,232
115,080771,Esplugues de Llobregat,82,27,121,111,213,459,580,225,160,113
116,082541,"Esquirol, l'",87,133,49,42,33,72,90,154,106,112
117,430555,Falset,34,8,8,48,66,163,251,167,183,112
118,170669,Figueres,113,123,199,266,567,639,771,607,418,700
119,430607,Flix,191,224,52,101,219,143,188,139,59,52
120,080832,Folgueroles,103,10,5,11,11,46,118,83,193,105
121,170736,Fornells de la Selva,79,17,12,7,25,39,67,104,110,213
122,080863,"Franqueses del Vallès, les",156,18,32,33,109,270,450,462,660,271
123,430640,Gandesa,262,115,72,49,43,79,90,80,90,77
124,080885,"Garriga, la",63,111,136,110,178,326,494,509,542,389
125,080898,Gavà,180,75,189,195,784,965,997,427,941,241
126,080919,Gelida,162,99,92,65,187,197,421,259,354,157
127,170792,Girona,747,221,303,570,1040,1062,1423,1441,1683,1343
128,080924,Gironella,210,178,104,89,112,130,161,135,176,111
129,080961,Granollers,404,246,346,339,583,607,642,611,864,451
130,251109,Guissona,122,78,85,41,49,104,84,113,264,276
131,081000,Gurb,89,3,1,4,14,46,107,100,196,155
132,081017,"Hospitalet de Llobregat, l'",263,349,854,859,1922,2695,1344,230,553,554
133,081629,"Hostalets de Pierola, els",28,68,7,3,1,108,265,167,296,206
134,170834,Hostalric,289,1,4,12,24,98,154,106,78,215
135,081022,Igualada,298,212,270,210,435,674,827,543,912,540
136,170865,"Jonquera, la",81,16,21,24,43,71,114,81,50,91
137,251193,Juneda,144,95,115,101,115,107,117,85,95,179
138,251229,Linyola,289,42,52,54,65,53,114,82,103,72
139,081056,"Llagosta, la",18,10,24,13,28,168,93,25,109,28
140,170890,Llagostera,155,98,147,134,223,245,604,449,142,215
141,170926,Llançà,84,52,19,53,121,343,884,515,274,213
142,251207,Lleida,264,141,391,895,1389,1800,1884,1264,1711,1121
143,081075,Lliçà d'Amunt,105,24,15,30,113,566,1652,1463,1362,670
144,081081,Lliçà de Vall,13,8,7,13,36,90,508,813,523,259
145,081069,Llinars del Vallès,115,31,33,62,231,283,414,565,419,461
146,430748,Llorenç del Penedès,8,17,59,43,28,35,128,141,159,211
147,170950,Lloret de Mar,166,29,52,142,288,634,1765,1568,590,1355
148,171030,Maçanet de la Selva,177,9,17,38,150,259,845,689,475,533
149,081108,Malgrat de Mar,72,46,133,90,297,670,516,347,602,481
150,081120,Manlleu,382,123,94,216,406,804,858,628,536,361
151,081136,Manresa,995,443,395,356,1351,885,693,838,928,707
152,081141,Martorell,224,169,123,105,204,204,231,129,815,156
153,081154,Martorelles,52,54,45,32,54,80,271,147,109,55
154,081173,"Masies de Voltregà, les",30,13,23,22,60,84,245,161,246,75
155,081189,"Masnou, el",397,289,221,190,385,652,632,607,392,197
156,081192,Masquefa,100,28,41,21,116,581,1049,216,759,416
157,081206,Matadepera,45,20,58,98,187,252,637,516,495,264
158,081213,Mataró,794,490,437,383,1367,2226,1817,859,1555,1147
159,081228,Mediona,371,68,11,11,15,39,366,481,283,141
160,081385,Moià,289,111,65,60,142,141,325,262,373,317
161,081234,Molins de Rei,91,109,234,119,346,316,450,442,372,333
162,251370,Mollerussa,84,43,84,121,192,213,274,199,450,387
163,081249,Mollet del Vallès,82,97,228,170,307,503,631,492,805,270
164,081271,Monistrol de Montserrat,71,93,102,52,35,100,132,55,25,47
165,430862,Montblanc,536,53,38,60,84,270,351,272,280,538
166,430884,Montbrió del Camp,271,8,14,16,26,77,128,53,107,50
167,081252,Montcada i Reixac,104,150,226,225,493,690,655,357,720,260
168,081265,Montgat,30,47,60,63,131,168,78,118,86,217
169,081350,Montmeló,20,30,62,25,91,182,141,159,212,55
170,081363,Montornès del Vallès,35,27,35,32,59,250,339,189,350,264
171,430923,Mont-roig del Camp,542,61,18,82,121,270,1391,1460,867,772
172,430939,Móra d'Ebre,260,94,75,96,64,121,290,202,205,186
173,430944,Móra la Nova,66,76,57,40,40,159,139,96,127,133
174,430957,"Morell, el",85,58,43,53,57,71,91,37,133,197
175,081402,Navarcles,173,23,83,102,107,148,543,323,323,61
176,081419,Navàs,106,58,135,63,119,165,226,192,175,165
177,081430,Òdena,64,27,30,25,38,205,145,69,143,231
178,081458,Olèrdola,240,28,14,10,11,106,236,130,219,555
179,081477,Olesa de Montserrat,566,100,133,136,383,273,496,797,609,261
