,Literal,Codi,Any,Evolucio atur
0,Abella de la Conca,250019,2013,-1.200000000000001
1,Abrera,080018,2013,68.29999999999995
2,Àger,250024,2013,5.899999999999999
3,Agramunt,250030,2013,-3.1000000000000227
4,Aguilar de Segarra,080023,2013,5.5
5,Agullana,170010,2013,-0.2000000000000028
6,Aiguafreda,080142,2013,13.5
7,Aiguamúrcia,430017,2013,6.799999999999997
8,Aiguaviva,170025,2013,1.9999999999999964
9,Aitona,250387,2013,-1.6999999999999886
10,"Alamús, els",250045,2013,0.3999999999999986
11,Alàs i Cerc,250058,2013,-1.6999999999999993
12,"Albagés, l'",250061,2013,-0.3000000000000007
13,Albanyà,170031,2013,1.8999999999999984
14,Albatàrrec,250077,2013,7.600000000000008
15,Albesa,250083,2013,-2.799999999999997
16,"Albi, l'",250096,2013,8.0
17,Albinyana,430022,2013,-16.5
18,"Albiol, l'",430038,2013,5.400000000000002
19,Albons,170046,2013,-2.3999999999999986
20,Alcanar,430043,2013,53.200000000000045
21,Alcanó,250100,2013,1.9000000000000004
22,Alcarràs,250117,2013,12.600000000000025
23,Alcoletge,250122,2013,-3.6999999999999886
24,Alcover,430056,2013,-1.1999999999999886
25,"Aldea, l'",439044,2013,-22.399999999999977
26,Aldover,430069,2013,2.1000000000000014
27,"Aleixar, l'",430075,2013,-3.1000000000000014
28,Alella,080039,2013,-30.0
29,Alfara de Carles,430081,2013,-1.1999999999999993
30,Alfarràs,250138,2013,-7.199999999999989
31,Alfés,250143,2013,4.800000000000001
32,Alforja,430094,2013,-17.80000000000001
33,Algerri,250156,2013,-0.6000000000000014
34,Alguaire,250169,2013,0.0
35,Alins,250175,2013,0.7000000000000002
36,Alió,430108,2013,2.8999999999999986
37,Almacelles,250194,2013,-25.80000000000001
38,Almatret,250208,2013,0.7999999999999989
39,Almenar,250215,2013,-10.200000000000044
40,Almoster,430115,2013,1.6999999999999955
41,Alòs de Balaguer,250220,2013,1.1999999999999993
42,Alp,170062,2013,6.400000000000006
43,Alpens,080044,2013,0.8000000000000007
44,Alpicat,250236,2013,-9.5
45,Alt Àneu,250241,2013,1.0
46,Altafulla,430120,2013,-3.6999999999999886
47,Amer,170078,2013,3.0999999999999943
48,"Ametlla de Mar, l'",430136,2013,0.7999999999999545
49,"Ametlla del Vallès, l'",080057,2013,-13.199999999999989
50,"Ampolla, l'",439060,2013,-14.899999999999975
51,Amposta,430141,2013,117.89999999999964
52,Anglès,170084,2013,-14.0
53,Anglesola,250273,2013,12.5
54,Arbeca,250292,2013,-9.599999999999994
55,"Arboç, l'",430167,2013,21.299999999999955
56,Arbolí,430154,2013,0.7000000000000002
57,Arbúcies,170097,2013,-0.8999999999999773
58,Arenys de Mar,080060,2013,13.5
59,Arenys de Munt,080076,2013,-9.699999999999932
60,Argelaguer,170101,2013,-2.3000000000000007
61,Argençola,080082,2013,1.2999999999999998
62,"Argentera, l'",430173,2013,-4.1000000000000005
63,Argentona,080095,2013,41.29999999999996
64,"Armentera, l'",170118,2013,5.599999999999994
65,Arnes,430189,2013,0.3000000000000007
66,Arres,250313,2013,2.7
67,Arsèguel,250328,2013,0.5
68,Artés,080109,2013,1.3999999999999773
69,Artesa de Lleida,250334,2013,-8.5
70,Artesa de Segre,250349,2013,-8.399999999999977
71,Ascó,430192,2013,6.400000000000006
72,Aspa,250365,2013,4.6000000000000005
73,"Avellanes i Santa Linya, les",250371,2013,2.3000000000000007
74,Avià,080116,2013,3.0
75,Avinyó,080121,2013,-12.400000000000006
76,Avinyonet de Puigventós,170123,2013,-8.100000000000009
77,Avinyonet del Penedès,080137,2013,0.7999999999999972
78,Badalona,080155,2013,-96.60000000000218
79,Badia del Vallès,089045,2013,-20.799999999999955
80,Bagà,080168,2013,4.5
81,Baix Pallars,250390,2013,1.099999999999998
82,Balaguer,250404,2013,-43.09999999999991
83,Balenyà,080174,2013,10.199999999999989
84,Balsareny,080180,2013,4.100000000000023
85,Banyeres del Penedès,430206,2013,13.899999999999975
86,Banyoles,170157,2013,37.59999999999991
87,Barbens,250411,2013,-3.0
88,Barberà de la Conca,430213,2013,7.199999999999999
89,Barberà del Vallès,082520,2013,50.59999999999991
90,Barcelona,080193,2013,-1536.7000000000116
91,"Baronia de Rialb, la",250426,2013,0.2000000000000001
92,Bàscara,170160,2013,14.099999999999994
93,Bassella,250447,2013,2.0
94,Batea,430228,2013,-16.19999999999999
95,Bausen,250450,2013,0.7999999999999998
96,Begues,080207,2013,36.5
97,Begur,170139,2013,-22.599999999999994
98,Belianes,250463,2013,-1.1999999999999993
99,Bellaguarda,251706,2013,1.0
100,Bellcaire d'Empordà,170182,2013,-1.1999999999999955
101,Bellcaire d'Urgell,250479,2013,-0.5999999999999943
102,Bell-lloc d'Urgell,250485,2013,3.700000000000003
103,Bellmunt d'Urgell,250498,2013,-1.200000000000001
104,Bellmunt del Priorat,430234,2013,-4.400000000000002
105,Bellprat,080214,2013,2.2
106,Bellpuig,250501,2013,16.69999999999999
107,Bellvei,430249,2013,14.099999999999994
108,Bellver de Cerdanya,250518,2013,-13.200000000000005
109,Bellvís,250523,2013,-3.1000000000000227
110,Benavent de Segrià,250539,2013,-1.9000000000000057
111,Benifallet,430252,2013,-0.2000000000000028
112,Benissanet,430265,2013,-1.8999999999999917
113,Berga,080229,2013,46.200000000000045
114,Besalú,170195,2013,3.0
115,Bescanó,170209,2013,9.0
116,Beuda,170216,2013,0.5999999999999996
117,Bigues i Riells del Fai,080235,2013,27.0
118,Biosca,250557,2013,-1.1999999999999995
119,"Bisbal d'Empordà, la",170221,2013,-15.0
120,"Bisbal de Falset, la",430271,2013,1.5
121,"Bisbal del Penedès, la",430287,2013,11.199999999999989
122,Biure,172348,2013,-0.3000000000000007
123,Blancafort,430290,2013,-4.5
124,Blanes,170237,2013,-22.800000000000185
125,Boadella i les Escaules,170293,2013,-4.4
126,Bolvir,170242,2013,0.1999999999999993
127,Bonastre,430304,2013,-10.599999999999994
128,"Bòrdes, Es",250576,2013,-0.9000000000000004
129,Bordils,170255,2013,-3.9000000000000057
130,"Borges Blanques, les",250582,2013,0.3999999999999772
131,"Borges del Camp, les",430311,2013,-8.200000000000017
132,Borrassà,170268,2013,6.699999999999999
133,Borredà,080240,2013,3.6000000000000014
134,Bossòst,250595,2013,-5.600000000000001
135,Bot,430326,2013,-6.0
136,Botarell,430332,2013,3.1000000000000085
137,Bovera,250560,2013,0.7999999999999998
138,Bràfim,430347,2013,-5.399999999999999
139,Breda,170274,2013,11.399999999999975
140,"Bruc, el",080253,2013,6.899999999999977
141,"Brull, el",080266,2013,2.0
