,Codi,Literal,1,2,3,4,5,6 i més,Any
0,250019,Abella de la Conca,19,11,10,11,5,6,2001
1,080018,Abrera,534,920,773,667,170,59,2001
2,250024,Àger,67,49,38,24,10,12,2001
3,250030,Agramunt,264,384,302,297,131,137,2001
4,080023,Aguilar de Segarra,17,19,13,11,8,6,2001
5,170010,Agullana,63,81,59,40,12,7,2001
6,080142,Aiguafreda,159,254,153,158,52,15,2001
7,430017,Aiguamúrcia,87,79,25,41,18,12,2001
8,170025,Aiguaviva,17,27,35,39,11,16,2001
9,250387,Aitona,119,150,141,142,62,56,2001
10,250045,"Alamús, els",31,61,52,45,21,13,2001
11,250058,Alàs i Cerc,38,30,29,18,17,9,2001
12,250061,"Albagés, l'",46,53,24,36,18,9,2001
13,170031,Albanyà,14,12,4,7,1,2,2001
14,250077,Albatàrrec,86,95,90,88,39,21,2001
15,250083,Albesa,84,125,112,99,55,24,2001
16,250096,"Albi, l'",69,66,69,56,20,11,2001
17,430022,Albinyana,144,160,122,109,45,22,2001
18,430038,"Albiol, l'",26,16,13,17,4,1,2001
19,170046,Albons,59,54,35,36,13,8,2001
20,430043,Alcanar,544,785,613,571,225,102,2001
21,250100,Alcanó,13,23,17,11,10,8,2001
22,250117,Alcarràs,232,401,395,370,124,70,2001
23,250122,Alcoletge,99,159,128,134,55,22,2001
24,430056,Alcover,235,366,306,305,105,48,2001
25,439044,"Aldea, l'",244,373,260,255,79,40,2001
26,430069,Aldover,49,68,52,50,24,18,2001
27,430075,"Aleixar, l'",63,74,46,49,19,13,2001
28,080039,Alella,354,568,642,701,258,120,2001
29,430081,Alfara de Carles,27,28,24,15,15,9,2001
30,250138,Alfarràs,168,280,258,199,74,45,2001
31,250143,Alfés,19,31,27,16,9,8,2001
32,430094,Alforja,109,147,95,106,31,9,2001
33,250156,Algerri,35,44,40,22,18,12,2001
34,250169,Alguaire,183,244,221,217,69,28,2001
35,250175,Alins,35,19,20,20,8,3,2001
36,430108,Alió,31,40,28,19,5,12,2001
37,250194,Almacelles,317,517,426,408,145,72,2001
38,250208,Almatret,53,57,27,26,11,9,2001
39,250215,Almenar,194,300,273,268,88,48,2001
40,430115,Almoster,47,73,64,101,17,11,2001
41,250220,Alòs de Balaguer,24,15,12,9,3,4,2001
42,170062,Alp,185,101,92,78,29,15,2001
43,080044,Alpens,23,26,20,23,4,5,2001
44,250236,Alpicat,171,312,317,385,138,52,2001
45,250241,Alt Àneu,60,39,25,27,8,7,2001
