,Codi,Literal,Índex d'envelliment,Índex de sobreenvelliment,Any
0,080155,Badalona,99.0,9.0,2000
1,080193,Barcelona,190.0,11.0,2000
3,082665,Cerdanyola del Vallès,66.0,9.0,2000
4,080734,Cornellà de Llobregat,121.0,8.0,2000
5,080771,Esplugues de Llobregat,106.0,10.0,2000
6,170792,Girona,94.0,10.0,2000
7,080961,Granollers,89.0,9.0,2000
8,081017,"Hospitalet de Llobregat, l'",152.0,8.0,2000
9,251207,Lleida,115.0,9.0,2000
10,081136,Manresa,173.0,11.0,2000
11,081213,Mataró,100.0,11.0,2000
13,081691,"Prat de Llobregat, el",81.0,9.0,2000
14,431233,Reus,102.0,10.0,2000
15,081846,Rubí,74.0,9.0,2000
16,081878,Sabadell,117.0,9.0,2000
17,082009,Sant Boi de Llobregat,85.0,9.0,2000
18,082055,Sant Cugat del Vallès,55.0,12.0,2000
19,082457,Santa Coloma de Gramenet,110.0,9.0,2000
20,431482,Tarragona,102.0,9.0,2000
21,082798,Terrassa,107.0,10.0,2000
22,083015,Viladecans,60.0,8.0,2000
23,083073,Vilanova i la Geltrú,115.0,9.0,2000
0,080155,Badalona,102.0,9.0,2001
1,080193,Barcelona,190.0,11.0,2001
3,082665,Cerdanyola del Vallès,70.0,9.0,2001
4,080734,Cornellà de Llobregat,125.0,8.0,2001
5,080771,Esplugues de Llobregat,112.0,9.0,2001
6,170792,Girona,95.0,11.0,2001
7,080961,Granollers,92.0,10.0,2001
8,081017,"Hospitalet de Llobregat, l'",156.0,8.0,2001
9,251207,Lleida,117.0,9.0,2001
10,081136,Manresa,174.0,11.0,2001
11,081213,Mataró,101.0,11.0,2001
13,081691,"Prat de Llobregat, el",86.0,9.0,2001
14,431233,Reus,103.0,10.0,2001
15,081846,Rubí,75.0,9.0,2001
16,081878,Sabadell,120.0,10.0,2001
17,082009,Sant Boi de Llobregat,89.0,9.0,2001
18,082055,Sant Cugat del Vallès,53.0,12.0,2001
19,082457,Santa Coloma de Gramenet,116.0,9.0,2001
20,431482,Tarragona,105.0,9.0,2001
21,082798,Terrassa,108.0,10.0,2001
22,083015,Viladecans,63.0,8.0,2001
23,083073,Vilanova i la Geltrú,116.0,9.0,2001
0,080155,Badalona,105.0,9.0,2002
1,080193,Barcelona,188.0,11.0,2002
2,080569,Castelldefels,63.0,9.0,2002
3,082665,Cerdanyola del Vallès,72.0,9.0,2002
4,080734,Cornellà de Llobregat,127.0,8.0,2002
5,080771,Esplugues de Llobregat,115.0,9.0,2002
6,170792,Girona,95.0,12.0,2002
7,080961,Granollers,95.0,10.0,2002
8,081017,"Hospitalet de Llobregat, l'",157.0,8.0,2002
9,251207,Lleida,116.0,10.0,2002
10,081136,Manresa,171.0,11.0,2002
11,081213,Mataró,102.0,10.0,2002
12,081249,Mollet del Vallès,69.0,9.0,2002
13,081691,"Prat de Llobregat, el",90.0,9.0,2002
14,431233,Reus,103.0,10.0,2002
15,081846,Rubí,77.0,9.0,2002
16,081878,Sabadell,120.0,10.0,2002
17,082009,Sant Boi de Llobregat,93.0,9.0,2002
18,082055,Sant Cugat del Vallès,51.0,11.0,2002
19,082457,Santa Coloma de Gramenet,122.0,9.0,2002
20,431482,Tarragona,106.0,10.0,2002
21,082798,Terrassa,107.0,10.0,2002
22,083015,Viladecans,66.0,8.0,2002
23,083073,Vilanova i la Geltrú,115.0,9.0,2002
0,080155,Badalona,107.0,9.0,2003
1,080193,Barcelona,183.0,11.0,2003
2,080569,Castelldefels,62.0,9.0,2003
3,082665,Cerdanyola del Vallès,74.0,9.0,2003
4,080734,Cornellà de Llobregat,128.0,9.0,2003
5,080771,Esplugues de Llobregat,119.0,9.0,2003
6,170792,Girona,91.0,12.0,2003
7,080961,Granollers,95.0,10.0,2003
8,081017,"Hospitalet de Llobregat, l'",155.0,8.0,2003
9,251207,Lleida,114.0,10.0,2003
10,081136,Manresa,166.0,11.0,2003
11,081213,Mataró,102.0,10.0,2003
12,081249,Mollet del Vallès,71.0,10.0,2003
13,081691,"Prat de Llobregat, el",94.0,9.0,2003
14,431233,Reus,102.0,10.0,2003
15,081846,Rubí,78.0,10.0,2003
16,081878,Sabadell,120.0,10.0,2003
17,082009,Sant Boi de Llobregat,96.0,9.0,2003
18,082055,Sant Cugat del Vallès,49.0,12.0,2003
19,082457,Santa Coloma de Gramenet,124.0,9.0,2003
20,431482,Tarragona,106.0,10.0,2003
21,082798,Terrassa,105.0,10.0,2003
22,083015,Viladecans,68.0,8.0,2003
23,083073,Vilanova i la Geltrú,114.0,9.0,2003
0,080155,Badalona,106.0,9.0,2004
1,080193,Barcelona,179.0,12.0,2004
2,080569,Castelldefels,62.0,10.0,2004
3,082665,Cerdanyola del Vallès,75.0,10.0,2004
4,080734,Cornellà de Llobregat,126.0,9.0,2004
5,080771,Esplugues de Llobregat,120.0,9.0,2004
6,170792,Girona,88.0,12.0,2004
7,080961,Granollers,94.0,10.0,2004
8,081017,"Hospitalet de Llobregat, l'",150.0,8.0,2004
9,251207,Lleida,111.0,11.0,2004
10,081136,Manresa,157.0,11.0,2004
11,081213,Mataró,100.0,10.0,2004
12,081249,Mollet del Vallès,70.0,9.0,2004
13,081691,"Prat de Llobregat, el",95.0,9.0,2004
14,431233,Reus,99.0,11.0,2004
15,081846,Rubí,77.0,10.0,2004
16,081878,Sabadell,117.0,10.0,2004
17,082009,Sant Boi de Llobregat,96.0,9.0,2004
18,082055,Sant Cugat del Vallès,48.0,12.0,2004
19,082457,Santa Coloma de Gramenet,123.0,9.0,2004
20,431482,Tarragona,105.0,10.0,2004
21,082798,Terrassa,103.0,10.0,2004
22,083015,Viladecans,69.0,8.0,2004
23,083073,Vilanova i la Geltrú,109.0,9.0,2004
0,080155,Badalona,104.0,9.0,2005
1,080193,Barcelona,177.0,12.0,2005
2,080569,Castelldefels,61.0,10.0,2005
3,082665,Cerdanyola del Vallès,76.0,10.0,2005
4,080734,Cornellà de Llobregat,125.0,9.0,2005
5,080771,Esplugues de Llobregat,119.0,9.0,2005
6,170792,Girona,85.0,13.0,2005
7,080961,Granollers,92.0,10.0,2005
8,081017,"Hospitalet de Llobregat, l'",148.0,9.0,2005
9,251207,Lleida,107.0,11.0,2005
10,081136,Manresa,148.0,12.0,2005
11,081213,Mataró,98.0,11.0,2005
12,081249,Mollet del Vallès,69.0,10.0,2005
13,081691,"Prat de Llobregat, el",96.0,9.0,2005
14,431233,Reus,95.0,11.0,2005
15,081846,Rubí,75.0,10.0,2005
16,081878,Sabadell,114.0,10.0,2005
17,082009,Sant Boi de Llobregat,95.0,9.0,2005
18,082055,Sant Cugat del Vallès,47.0,13.0,2005
19,082457,Santa Coloma de Gramenet,119.0,9.0,2005
20,431482,Tarragona,99.0,10.0,2005
21,082798,Terrassa,98.0,10.0,2005
22,083015,Viladecans,69.0,8.0,2005
23,083073,Vilanova i la Geltrú,105.0,9.0,2005
0,080155,Badalona,104.0,9.0,2006
1,080193,Barcelona,176.0,13.0,2006
2,080569,Castelldefels,62.0,9.0,2006
3,082665,Cerdanyola del Vallès,79.0,10.0,2006
4,080734,Cornellà de Llobregat,124.0,9.0,2006
5,080771,Esplugues de Llobregat,122.0,9.0,2006
6,170792,Girona,83.0,14.0,2006
7,080961,Granollers,93.0,11.0,2006
8,081017,"Hospitalet de Llobregat, l'",148.0,9.0,2006
9,251207,Lleida,105.0,12.0,2006
10,081136,Manresa,141.0,12.0,2006
11,081213,Mataró,99.0,11.0,2006
12,081249,Mollet del Vallès,72.0,10.0,2006
13,081691,"Prat de Llobregat, el",99.0,9.0,2006
14,431233,Reus,92.0,12.0,2006
15,081846,Rubí,75.0,10.0,2006
16,081878,Sabadell,113.0,11.0,2006
17,082009,Sant Boi de Llobregat,99.0,9.0,2006
18,082055,Sant Cugat del Vallès,47.0,13.0,2006
19,082457,Santa Coloma de Gramenet,120.0,9.0,2006
20,431482,Tarragona,96.0,11.0,2006
21,082798,Terrassa,96.0,11.0,2006
22,083015,Viladecans,71.0,8.0,2006
23,083073,Vilanova i la Geltrú,105.0,10.0,2006
0,080155,Badalona,103.0,10.0,2007
1,080193,Barcelona,174.0,13.0,2007
2,080569,Castelldefels,62.0,9.0,2007
3,082665,Cerdanyola del Vallès,79.0,11.0,2007
4,080734,Cornellà de Llobregat,121.0,9.0,2007
5,080771,Esplugues de Llobregat,124.0,9.0,2007
6,170792,Girona,81.0,14.0,2007
7,080961,Granollers,92.0,11.0,2007
8,081017,"Hospitalet de Llobregat, l'",144.0,9.0,2007
9,251207,Lleida,102.0,12.0,2007
10,081136,Manresa,135.0,13.0,2007
11,081213,Mataró,98.0,11.0,2007
12,081249,Mollet del Vallès,71.0,10.0,2007
13,081691,"Prat de Llobregat, el",98.0,10.0,2007
14,431233,Reus,88.0,13.0,2007
15,081846,Rubí,74.0,10.0,2007
16,081878,Sabadell,111.0,11.0,2007
17,082009,Sant Boi de Llobregat,100.0,10.0,2007
18,082055,Sant Cugat del Vallès,47.0,13.0,2007
19,082457,Santa Coloma de Gramenet,118.0,9.0,2007
20,431482,Tarragona,93.0,11.0,2007
21,082798,Terrassa,93.0,11.0,2007
22,083015,Viladecans,71.0,9.0,2007
23,083073,Vilanova i la Geltrú,103.0,11.0,2007
0,080155,Badalona,102.0,11.0,2008
1,080193,Barcelona,171.0,14.0,2008
2,080569,Castelldefels,63.0,10.0,2008
3,082665,Cerdanyola del Vallès,81.0,11.0,2008
4,080734,Cornellà de Llobregat,121.0,10.0,2008
5,080771,Esplugues de Llobregat,125.0,10.0,2008
6,170792,Girona,80.0,15.0,2008
7,080961,Granollers,91.0,12.0,2008
8,081017,"Hospitalet de Llobregat, l'",140.0,10.0,2008
9,251207,Lleida,100.0,13.0,2008
10,081136,Manresa,129.0,14.0,2008
11,081213,Mataró,97.0,12.0,2008
12,081249,Mollet del Vallès,72.0,10.0,2008
13,081691,"Prat de Llobregat, el",99.0,10.0,2008
14,431233,Reus,85.0,13.0,2008
15,081846,Rubí,72.0,11.0,2008
16,081878,Sabadell,108.0,12.0,2008
17,082009,Sant Boi de Llobregat,99.0,10.0,2008
18,082055,Sant Cugat del Vallès,47.0,13.0,2008
19,082457,Santa Coloma de Gramenet,115.0,9.0,2008
20,431482,Tarragona,93.0,12.0,2008
21,082798,Terrassa,90.0,12.0,2008
22,083015,Viladecans,72.0,9.0,2008
23,083073,Vilanova i la Geltrú,102.0,11.0,2008
0,080155,Badalona,100.0,11.0,2009
1,080193,Barcelona,169.0,15.0,2009
2,080569,Castelldefels,64.0,11.0,2009
3,082665,Cerdanyola del Vallès,83.0,11.0,2009
4,080734,Cornellà de Llobregat,118.0,10.0,2009
5,080771,Esplugues de Llobregat,125.0,10.0,2009
6,170792,Girona,79.0,15.0,2009
7,080961,Granollers,92.0,12.0,2009
8,081017,"Hospitalet de Llobregat, l'",139.0,10.0,2009
9,251207,Lleida,98.0,13.0,2009
10,081136,Manresa,124.0,15.0,2009
11,081213,Mataró,94.0,12.0,2009
12,081249,Mollet del Vallès,73.0,11.0,2009
13,081691,"Prat de Llobregat, el",100.0,11.0,2009
14,431233,Reus,84.0,13.0,2009
15,081846,Rubí,72.0,11.0,2009
16,081878,Sabadell,107.0,13.0,2009
17,082009,Sant Boi de Llobregat,99.0,11.0,2009
18,082055,Sant Cugat del Vallès,47.0,13.0,2009
19,082457,Santa Coloma de Gramenet,115.0,9.0,2009
20,431482,Tarragona,91.0,12.0,2009
21,082798,Terrassa,87.0,13.0,2009
22,083015,Viladecans,73.0,10.0,2009
23,083073,Vilanova i la Geltrú,102.0,11.0,2009
0,080155,Badalona,99.0,11.0,2010
1,080193,Barcelona,169.0,15.0,2010
2,080569,Castelldefels,67.0,12.0,2010
3,082665,Cerdanyola del Vallès,86.0,11.0,2010
4,080734,Cornellà de Llobregat,117.0,10.0,2010
5,080771,Esplugues de Llobregat,132.0,10.0,2010
6,170792,Girona,79.0,15.0,2010
7,080961,Granollers,94.0,13.0,2010
8,081017,"Hospitalet de Llobregat, l'",138.0,11.0,2010
9,251207,Lleida,98.0,14.0,2010
10,081136,Manresa,122.0,16.0,2010
11,081213,Mataró,94.0,13.0,2010
12,081249,Mollet del Vallès,74.0,11.0,2010
13,081691,"Prat de Llobregat, el",101.0,11.0,2010
14,431233,Reus,82.0,14.0,2010
15,081846,Rubí,73.0,11.0,2010
16,081878,Sabadell,106.0,13.0,2010
17,082009,Sant Boi de Llobregat,100.0,11.0,2010
18,082055,Sant Cugat del Vallès,49.0,13.0,2010
