,Literal,Poblacio activa,Codi,Any
0,Abella de la Conca,112.0,250019,2011
1,Abrera,8044.0,080018,2011
2,Agramunt,3669.0,250030,2011
3,Aguilar de Segarra,159.0,080023,2011
4,Agullana,519.0,170010,2011
5,Aiguafreda,1578.0,080142,2011
6,Aiguamúrcia,595.0,430017,2011
7,Aiguaviva,489.0,170025,2011
8,Aitona,1483.0,250387,2011
9,Albanyà,97.0,170031,2011
10,Albatàrrec,1473.0,250077,2011
11,Albesa,1066.0,250083,2011
12,Albinyana,1496.0,430022,2011
13,Albons,469.0,170046,2011
14,Alcanar,6941.0,430043,2011
15,Alcanó,142.0,250100,2011
16,Alcarràs,6064.0,250117,2011
17,Alcoletge,2267.0,250122,2011
18,Alcover,3365.0,430056,2011
19,Aldover,560.0,430069,2011
20,Alella,6416.0,080039,2011
21,Alfara de Carles,243.0,430081,2011
22,Alfarràs,1928.0,250138,2011
23,Alforja,1211.0,430094,2011
24,Alfés,213.0,250143,2011
25,Algerri,246.0,250156,2011
26,Alguaire,2036.0,250169,2011
27,Alins,182.0,250175,2011
28,Alió,257.0,430108,2011
29,Almacelles,4412.0,250194,2011
30,Almatret,205.0,250208,2011
31,Almenar,2355.0,250215,2011
32,Almoster,938.0,430115,2011
33,Alp,1255.0,170062,2011
34,Alpens,192.0,080044,2011
35,Alpicat,4173.0,250236,2011
36,Alt Àneu,308.0,250241,2011
37,Altafulla,3273.0,430120,2011
38,Alàs i Cerc,221.0,250058,2011
39,Alòs de Balaguer,73.0,250220,2011
40,Amer,1425.0,170078,2011
41,Amposta,14285.0,430141,2011
42,Anglesola,829.0,250273,2011
43,Anglès,3646.0,170084,2011
44,Arbeca,1507.0,250292,2011
45,Arbolí,81.0,430154,2011
46,Arbúcies,4358.0,170097,2011
47,Arenys de Mar,9708.0,080060,2011
48,Arenys de Munt,5633.0,080076,2011
49,Argelaguer,272.0,170101,2011
50,Argentona,7785.0,080095,2011
51,Argençola,173.0,080082,2011
52,Arnes,257.0,430189,2011
53,Arres,49.0,250313,2011
54,Arsèguel,59.0,250328,2011
55,Artesa de Lleida,926.0,250334,2011
56,Artesa de Segre,2391.0,250349,2011
57,Artés,3680.0,080109,2011
58,Ascó,1127.0,430192,2011
59,Aspa,119.0,250365,2011
60,Avinyonet de Puigventós,1025.0,170123,2011
61,Avinyonet del Penedès,1093.0,080137,2011
62,Avinyó,1441.0,080121,2011
63,Avià,1440.0,080116,2011
64,Badalona,147.18,080155,2011
65,Badia del Vallès,8910.0,089045,2011
66,Bagà,1560.0,080168,2011
67,Baix Pallars,222.0,250390,2011
68,Balaguer,11031.0,250404,2011
69,Balenyà,2478.0,080174,2011
70,Balsareny,2289.0,080180,2011
71,Banyeres del Penedès,1967.0,430206,2011
72,Banyoles,12355.0,170157,2011
73,Barbens,561.0,250411,2011
74,Barberà de la Conca,326.0,430213,2011
75,Barberà del Vallès,22341.0,082520,2011
76,Barcelona,1060.4209999999998,080193,2011
77,Bassella,151.0,250447,2011
78,Batea,1255.0,430228,2011
79,Bausen,29.0,250450,2011
80,Begues,4422.0,080207,2011
81,Begur,2760.0,170139,2011
82,Belianes,310.0,250463,2011
83,Bellaguarda,190.0,251706,2011
84,Bellmunt del Priorat,205.0,430234,2011
85,Bellprat,58.0,080214,2011
86,Bellpuig,3259.0,250501,2011
87,Bellvei,1345.0,430249,2011
88,Bellver de Cerdanya,1527.0,250518,2011
89,Bellvís,1514.0,250523,2011
90,Benavent de Segrià,1005.0,250539,2011
91,Benifallet,448.0,430252,2011
92,Benissanet,791.0,430265,2011
93,Berga,10780.0,080229,2011
94,Besalú,1515.0,170195,2011
95,Bescanó,3011.0,170209,2011
96,Beuda,106.0,170216,2011
97,Biosca,133.0,250557,2011
98,Biure,162.0,172348,2011
99,Blancafort,263.0,430290,2011
100,Blanes,26396.0,170237,2011
101,Boadella i les Escaules,177.0,170293,2011
102,Bolvir,281.0,170242,2011
103,Bonastre,437.0,430304,2011
104,Bordils,1132.0,170255,2011
105,Borrassà,448.0,170268,2011
106,Borredà,355.0,080240,2011
107,Bossòst,815.0,250595,2011
108,Bot,386.0,430326,2011
109,Botarell,762.0,430332,2011
110,Bovera,169.0,250560,2011
111,Breda,2418.0,170274,2011
112,Bràfim,425.0,430347,2011
113,Bàscara,584.0,170160,2011
114,Cabacés,205.0,430350,2011
115,Cabanabona,48.0,250609,2011
116,Cabanelles,155.0,170314,2011
117,Cabanes,2407.0,170307,2011
118,Cabra del Camp,732.0,430363,2011
119,Cabrera de Mar,3063.0,080291,2011
120,Cabrils,4726.0,080305,2011
121,Cabó,58.0,250616,2011
122,Cadaqués,1931.0,170329,2011
123,Calaf,2257.0,080312,2011
124,Calafell,16453.0,430379,2011
125,Calders,612.0,080348,2011
126,Caldes de Malavella,4682.0,170335,2011
127,Caldes de Montbui,11445.0,080333,2011
128,Calella,12071.0,080351,2011
129,Calldetenes,1683.0,080370,2011
130,Callús,1195.0,080386,2011
131,Calonge de Segarra,117.0,170340,2011
132,Camarasa,585.0,250621,2011
133,Camarles,2231.0,439039,2011
134,Cambrils,22683.0,430385,2011
135,Campdevànol,2105.0,170366,2011
136,Campelles,88.0,170372,2011
137,Campins,336.0,080399,2011
138,Campllong,326.0,170388,2011
139,Camprodon,1533.0,170391,2011
140,Camós,418.0,170353,2011
141,Canejan,70.0,250637,2011
142,Canet de Mar,9143.0,080403,2011
143,Canovelles,10740.0,080410,2011
144,Cantallops,199.0,170412,2011
145,Canyelles,2925.0,080431,2011
146,Capafonts,74.0,430398,2011
147,Capellades,3532.0,080446,2011
148,Capmany,381.0,170427,2011
149,Capolat,54.0,080459,2011
150,Capçanes,266.0,430402,2011
151,Cardedeu,11617.0,080462,2011
152,Cardona,3136.0,080478,2011
153,Carme,553.0,080484,2011
154,Caseres,164.0,430419,2011
155,Casserres,1000.0,080497,2011
156,Cassà de la Selva,6500.0,170448,2011
157,Castell de Mur,102.0,259046,2011
158,Castellar de la Ribera,92.0,250642,2011
159,Castellar del Riu,112.0,080500,2011
160,Castellar del Vallès,15670.0,080517,2011
161,Castellbell i el Vilar,2399.0,080538,2011
162,Castellbisbal,8286.0,080543,2011
163,Castellcir,411.0,080556,2011
164,Castelldans,645.0,250674,2011
165,Castelldefels,22396.585,080569,2011
166,Castellet i la Gornal,1454.0,080581,2011
167,Castellfollit de Riubregós,121.0,080608,2011
168,Castellfollit de la Roca,608.0,170464,2011
169,Castellfollit del Boix,256.0,080594,2011
170,Castellgalí,1310.0,080615,2011
171,Castellnou de Bages,797.0,080620,2011
172,Castellnou de Seana,462.0,250680,2011
173,Castellolí,363.0,080636,2011
174,Castellserà,647.0,250707,2011
175,Castellterçol,1500.0,080641,2011
176,Castellvell del Camp,1913.0,430424,2011
177,Castellví de Rosanes,1171.0,080667,2011
178,Castellví de la Marca,1029.0,080654,2011
179,Castelló de Farfanya,327.0,250693,2011
180,Cava,40.0,250714,2011
181,Celrà,3298.0,170499,2011
182,Centelles,4736.0,080673,2011
183,Cercs,796.0,082687,2011
184,Cerdanyola del Vallès,33597.083,082665,2011
185,Cervelló,5946.0,080689,2011
186,Cervera,6113.0,250729,2011
187,Cervià de Ter,561.0,170502,2011
188,Cervià de les Garrigues,448.0,250735,2011
189,Cistella,173.0,170519,2011
190,Ciutadilla,127.0,250740,2011
