,Codi,Literal,De lloguer,Any,De propietat
0,250019,Abella de la Conca,5,2001,43
1,080018,Abrera,150,2001,2866
2,250024,Àger,22,2001,169
3,250030,Agramunt,194,2001,1191
4,080023,Aguilar de Segarra,10,2001,58
5,170010,Agullana,33,2001,206
6,080142,Aiguafreda,163,2001,565
7,430017,Aiguamúrcia,25,2001,200
8,170025,Aiguaviva,21,2001,108
9,250387,Aitona,37,2001,547
10,250045,"Alamús, els",14,2001,192
11,250058,Alàs i Cerc,10,2001,126
12,250061,"Albagés, l'",12,2001,164
13,170031,Albanyà,12,2001,22
14,250077,Albatàrrec,50,2001,336
15,250083,Albesa,17,2001,427
16,250096,"Albi, l'",22,2001,232
17,430022,Albinyana,28,2001,527
18,430038,"Albiol, l'",0,2001,73
19,170046,Albons,21,2001,161
20,430043,Alcanar,271,2001,2392
21,250100,Alcanó,1,2001,65
22,250117,Alcarràs,81,2001,1238
23,250122,Alcoletge,45,2001,520
24,430056,Alcover,170,2001,1104
25,439044,"Aldea, l'",98,2001,1076
26,430069,Aldover,9,2001,235
27,430075,"Aleixar, l'",22,2001,226
28,080039,Alella,309,2001,2178
29,430081,Alfara de Carles,3,2001,107
30,250138,Alfarràs,100,2001,843
31,250143,Alfés,6,2001,100
32,430094,Alforja,49,2001,416
33,250156,Algerri,4,2001,129
34,250169,Alguaire,69,2001,705
35,250175,Alins,2,2001,93
36,430108,Alió,9,2001,115
37,250194,Almacelles,154,2001,1593
38,250208,Almatret,3,2001,169
39,250215,Almenar,112,2001,916
40,430115,Almoster,8,2001,291
41,250220,Alòs de Balaguer,4,2001,60
42,170062,Alp,111,2001,319
43,080044,Alpens,14,2001,76
44,250236,Alpicat,59,2001,1262
45,250241,Alt Àneu,12,2001,141
46,430120,Altafulla,91,2001,1047
47,170078,Amer,113,2001,618
48,430136,"Ametlla de Mar, l'",151,2001,1599
49,080057,"Ametlla del Vallès, l'",213,2001,1677
50,439060,"Ampolla, l'",63,2001,664
51,430141,Amposta,578,2001,5037
52,170084,Anglès,200,2001,1432
53,250273,Anglesola,30,2001,373
54,250292,Arbeca,38,2001,484
55,430167,"Arboç, l'",212,2001,951
56,430154,Arbolí,2,2001,38
57,170097,Arbúcies,346,2001,1356
58,080060,Arenys de Mar,774,2001,3572
59,080076,Arenys de Munt,246,2001,1948
60,170101,Argelaguer,21,2001,111
61,080082,Argençola,8,2001,43
62,430173,"Argentera, l'",3,2001,46
63,080095,Argentona,382,2001,2667
64,170118,"Armentera, l'",36,2001,225
65,430189,Arnes,5,2001,161
66,250313,Arres,0,2001,18
67,250328,Arsèguel,3,2001,28
68,080109,Artés,189,2001,1250
69,250334,Artesa de Lleida,26,2001,395
70,250349,Artesa de Segre,175,2001,856
71,430192,Ascó,38,2001,514
72,250365,Aspa,3,2001,84
73,250371,"Avellanes i Santa Linya, les",4,2001,163
74,080116,Avià,131,2001,464
75,080121,Avinyó,111,2001,531
76,170123,Avinyonet de Puigventós,20,2001,259
77,080137,Avinyonet del Penedès,43,2001,345
78,080155,Badalona,8822,2001,60334
79,089045,Badia del Vallès,31,2001,4921
80,080168,Bagà,151,2001,543
81,250390,Baix Pallars,19,2001,123
82,250404,Balaguer,658,2001,3800
83,080174,Balenyà,162,2001,787
84,080180,Balsareny,112,2001,921
85,430206,Banyeres del Penedès,100,2001,403
86,170157,Banyoles,624,2001,6716
87,250411,Barbens,12,2001,215
88,430213,Barberà de la Conca,22,2001,135
89,082520,Barberà del Vallès,507,2001,8105
90,080193,Barcelona,169137,2001,405090
91,250426,"Baronia de Rialb, la",9,2001,81
92,170160,Bàscara,27,2001,229
93,250447,Bassella,6,2001,61
94,430228,Batea,34,2001,602
95,250450,Bausen,0,2001,26
96,080207,Begues,174,2001,1280
97,170139,Begur,108,2001,1103
98,250463,Belianes,15,2001,179
99,251706,Bellaguarda,0,2001,107
100,170182,Bellcaire d'Empordà,35,2001,143
101,250479,Bellcaire d'Urgell,12,2001,396
102,250485,Bell-lloc d'Urgell,36,2001,660
103,250498,Bellmunt d'Urgell,1,2001,69
104,430234,Bellmunt del Priorat,5,2001,115
105,080214,Bellprat,1,2001,24
106,250501,Bellpuig,145,2001,1157
107,430249,Bellvei,51,2001,399
108,250518,Bellver de Cerdanya,146,2001,447
109,250523,Bellvís,30,2001,682
110,250539,Benavent de Segrià,25,2001,304
111,430252,Benifallet,4,2001,252
112,430265,Benissanet,46,2001,327
113,080229,Berga,1330,2001,4066
114,170195,Besalú,108,2001,617
115,170209,Bescanó,115,2001,982
116,170216,Beuda,22,2001,23
117,080235,Bigues i Riells del Fai,99,2001,1766
118,250557,Biosca,7,2001,66
119,170221,"Bisbal d'Empordà, la",497,2001,2249
120,430271,"Bisbal de Falset, la",3,2001,77
121,430287,"Bisbal del Penedès, la",55,2001,684
122,172348,Biure,7,2001,81
123,430290,Blancafort,12,2001,121
124,170237,Blanes,1238,2001,9369
125,170293,Boadella i les Escaules,3,2001,69
126,170242,Bolvir,19,2001,83
127,430304,Bonastre,22,2001,113
128,250576,"Bòrdes, Es",10,2001,64
129,170255,Bordils,89,2001,337
130,250582,"Borges Blanques, les",132,2001,1531
131,430311,"Borges del Camp, les",72,2001,476
132,170268,Borrassà,16,2001,154
133,080240,Borredà,48,2001,110
134,250595,Bossòst,55,2001,259
135,430326,Bot,9,2001,253
136,430332,Botarell,10,2001,228
137,250560,Bovera,2,2001,135
138,430347,Bràfim,23,2001,168
139,170274,Breda,234,2001,888
140,080253,"Bruc, el",47,2001,391
141,080266,"Brull, el",7,2001,39
142,170280,Brunyola i Sant Martí Sapresa,23,2001,81
143,430350,Cabacés,1,2001,112
144,250609,Cabanabona,3,2001,30
145,170314,Cabanelles,30,2001,52
146,170307,Cabanes,33,2001,217
147,080272,"Cabanyes, les",10,2001,159
148,250616,Cabó,0,2001,39
149,430363,Cabra del Camp,20,2001,209
150,080288,Cabrera d'Anoia,9,2001,232
