,Literal,Codi,Any,Renda
0,Abrera,080018,2010,17.1
1,Agramunt,250030,2010,13.8
2,Aiguafreda,080142,2010,17.7
3,Aitona,250387,2010,11.5
4,Albatàrrec,250077,2010,12.7
5,Albesa,250083,2010,12.4
6,Albinyana,430022,2010,12.7
7,Alcanar,430043,2010,11.7
8,Alcarràs,250117,2010,12.8
9,Alcoletge,250122,2010,14.5
10,Alcover,430056,2010,13.8
11,"Aldea, l'",439044,2010,11.5
12,Alella,080039,2010,23.8
13,Alfarràs,250138,2010,12.2
14,Alforja,430094,2010,12.8
15,Alguaire,250169,2010,14.3
16,Almacelles,250194,2010,12.6
17,Almenar,250215,2010,13.0
18,Almoster,430115,2010,19.1
19,Alp,170062,2010,14.3
20,Alpicat,250236,2010,18.2
21,Altafulla,430120,2010,19.1
22,Amer,170078,2010,16.4
23,"Ametlla de Mar, l'",430136,2010,11.0
24,"Ametlla del Vallès, l'",080057,2010,20.3
25,"Ampolla, l'",439060,2010,12.3
26,Amposta,430141,2010,12.6
27,Anglès,170084,2010,14.8
28,Anglesola,250273,2010,13.7
29,Arbeca,250292,2010,12.2
30,"Arboç, l'",430167,2010,13.0
31,Arbúcies,170097,2010,13.3
32,Arenys de Mar,080060,2010,16.6
33,Arenys de Munt,080076,2010,16.4
34,Argentona,080095,2010,17.4
35,Artés,080109,2010,15.5
36,Artesa de Lleida,250334,2010,13.8
37,Artesa de Segre,250349,2010,12.2
38,Ascó,430192,2010,16.0
39,Avià,080116,2010,15.5
40,Avinyó,080121,2010,14.5
41,Avinyonet de Puigventós,170123,2010,15.7
42,Avinyonet del Penedès,080137,2010,17.7
43,Badalona,080155,2010,15.6
44,Badia del Vallès,089045,2010,11.7
45,Bagà,080168,2010,15.9
46,Balaguer,250404,2010,13.2
47,Balenyà,080174,2010,15.4
48,Balsareny,080180,2010,15.2
49,Banyeres del Penedès,430206,2010,15.8
50,Banyoles,170157,2010,15.6
51,Barberà del Vallès,082520,2010,16.9
52,Barcelona,080193,2010,20.6
53,Batea,430228,2010,12.0
54,Begues,080207,2010,20.8
55,Begur,170139,2010,14.8
56,Bellcaire d'Urgell,250479,2010,13.9
57,Bell-lloc d'Urgell,250485,2010,14.4
58,Bellpuig,250501,2010,13.5
59,Bellvei,430249,2010,12.6
60,Bellver de Cerdanya,250518,2010,15.0
61,Bellvís,250523,2010,13.6
62,Benavent de Segrià,250539,2010,14.8
63,Benissanet,430265,2010,11.6
64,Berga,080229,2010,15.5
65,Besalú,170195,2010,16.0
66,Bescanó,170209,2010,16.6
67,"Bisbal d'Empordà, la",170221,2010,13.5
68,"Bisbal del Penedès, la",430287,2010,13.7
69,Blanes,170237,2010,13.1
70,Bordils,170255,2010,16.1
71,"Borges Blanques, les",250582,2010,14.7
72,"Borges del Camp, les",430311,2010,14.0
73,Bossòst,250595,2010,15.1
74,Botarell,430332,2010,15.0
75,Breda,170274,2010,14.7
76,"Bruc, el",080253,2010,17.4
77,Cabra del Camp,430363,2010,12.3
78,Cabrera d'Anoia,080288,2010,13.9
79,Cabrera de Mar,080291,2010,21.2
80,Cabrils,080305,2010,23.4
81,Cadaqués,170329,2010,11.4
82,Calaf,080312,2010,14.7
83,Calafell,430379,2010,14.4
84,Caldes d'Estrac,080327,2010,17.6
85,Caldes de Malavella,170335,2010,15.0
86,Caldes de Montbui,080333,2010,17.1
87,Calella,080351,2010,13.6
88,Calldetenes,080370,2010,15.9
89,Callús,080386,2010,15.0
90,Camarles,439039,2010,11.0
91,Cambrils,430385,2010,15.1
92,Campdevànol,170366,2010,16.1
93,Camprodon,170391,2010,15.9
94,Canet de Mar,080403,2010,15.8
95,"Canonja, la",439076,2010,0.0
96,Canovelles,080410,2010,13.8
97,Cànoves i Samalús,080425,2010,17.0
98,Canyelles,080431,2010,16.6
99,Capellades,080446,2010,15.8
100,Cardedeu,080462,2010,17.5
101,Cardona,080478,2010,16.2
102,Cassà de la Selva,170448,2010,15.8
103,Casserres,080497,2010,15.4
104,Castellar del Vallès,080517,2010,17.1
105,Castellbell i el Vilar,080538,2010,14.8
