,Any,Solar,Literal,Codi
0,2012,289.6733,Igualada,081022
1,2012,38.7941,Cardona,080478
2,2012,13.1967,"Llacuna, la",081043
3,2012,6.0954,Castellcir,080556
4,2012,402.8976,Castellbisbal,080543
5,2012,71.4223,Castellbell i el Vilar,080538
6,2012,4.9955,Castellar de n'Hug,080522
7,2012,289.685,Castellar del Vallès,080517
8,2012,0.0,Castellar del Riu,080500
9,2012,0.9704,Castell de l'Areny,080575
10,2012,7.4839,Carme,080484
11,2012,73.801,Castellet i la Gornal,080581
12,2012,106.3286,Cardedeu,080462
13,2012,0.0,Capolat,080459
14,2012,19.5586,Capellades,080446
15,2012,81.9403,Canyelles,080431
16,2012,55.688,Cànoves i Samalús,080425
17,2012,58.4505,Canovelles,080410
18,2012,45.8668,Canet de Mar,080403
19,2012,18.8806,Casserres,080497
20,2012,58.968,Castellví de Rosanes,080667
21,2012,142.2199,Dosrius,080752
22,2012,100.8327,Cubelles,080749
23,2012,298.5005,Cornellà de Llobregat,080734
24,2012,299.1266,Corbera de Llobregat,080728
25,2012,3.9306,Copons,080713
26,2012,8.3473,Collsuspina,080706
27,2012,48.6337,Collbató,080692
28,2012,489.4586,Castelldefels,080569
29,2012,39.2871,Centelles,080673
30,2012,19.8179,Calldetenes,080370
31,2012,10.2452,Castellví de la Marca,080654
32,2012,25.1595,Castellterçol,080641
33,2012,14.2342,Castellolí,080636
34,2012,42.3417,Castellnou de Bages,080620
35,2012,43.9955,Castellgalí,080615
36,2012,1.3487,Castellfollit de Riubregós,080608
37,2012,3.5313,Castellfollit del Boix,080594
38,2012,223.7017,Cervelló,080689
39,2012,2.2735,Argençola,080082
40,2012,32.7121,Balenyà,080174
41,2012,18.9736,Bagà,080168
42,2012,775.6659,Badalona,080155
43,2012,28.7896,Aiguafreda,080142
44,2012,37.2536,Avinyonet del Penedès,080137
45,2012,19.216,Avinyó,080121
46,2012,19.6665,Avià,080116
47,2012,10.2406,Campins,080399
48,2012,105.844,Argentona,080095
49,2012,114.1412,Begues,080207
50,2012,82.7481,Arenys de Munt,080076
51,2012,85.1217,Arenys de Mar,080060
52,2012,170.4574,"Ametlla del Vallès, l'",080057
53,2012,8.5106,Alpens,080044
54,2012,92.9011,Alella,080039
55,2012,4.4227,Aguilar de Segarra,080023
56,2012,83.4577,Abrera,080018
57,2012,50.87,Artés,080109
58,2012,74.839,Cabrera d'Anoia,080288
59,2012,2.2521,"Espunyola, l'",080787
