,Codi,Literal,Habitatges familiars secundaris,Habitatges familiars vacants,Habitatges familiars altres,Any,Habitatges familiars principals
0,250019,Abella de la Conca,7,9,2.0,2001,62
1,080018,Abrera,597,423,21.0,2001,3123
2,250024,Àger,256,3,0.0,2001,200
3,250030,Agramunt,188,274,26.0,2001,1515
4,080023,Aguilar de Segarra,3,5,0.0,2001,74
5,170010,Agullana,126,62,3.0,2001,262
6,080142,Aiguafreda,218,232,0.0,2001,791
7,430017,Aiguamúrcia,360,65,0.0,2001,262
8,170025,Aiguaviva,7,38,0.0,2001,145
9,250387,Aitona,41,156,0.0,2001,670
10,250045,"Alamús, els",0,41,1.0,2001,223
11,250058,Alàs i Cerc,110,75,0.0,2001,141
12,250061,"Albagés, l'",70,0,4.0,2001,186
13,170031,Albanyà,9,1,4.0,2001,40
14,250077,Albatàrrec,3,93,2.0,2001,419
15,250083,Albesa,41,94,16.0,2001,499
16,250096,"Albi, l'",112,49,3.0,2001,291
17,430022,Albinyana,834,39,2.0,2001,602
18,430038,"Albiol, l'",102,6,0.0,2001,77
19,170046,Albons,150,28,1.0,2001,205
20,430043,Alcanar,2211,995,39.0,2001,2840
21,250100,Alcanó,13,24,0.0,2001,82
22,250117,Alcarràs,144,340,6.0,2001,1592
23,250122,Alcoletge,11,203,2.0,2001,597
24,430056,Alcover,238,233,6.0,2001,1365
25,439044,"Aldea, l'",125,199,6.0,2001,1251
26,430069,Aldover,41,57,0.0,2001,261
27,430075,"Aleixar, l'",13,105,3.0,2001,264
28,080039,Alella,391,206,10.0,2001,2643
29,430081,Alfara de Carles,129,1,8.0,2001,118
30,250138,Alfarràs,61,140,2.0,2001,1024
31,250143,Alfés,32,42,0.0,2001,110
32,430094,Alforja,275,125,0.0,2001,497
33,250156,Algerri,36,38,3.0,2001,171
34,250169,Alguaire,62,126,1.0,2001,962
35,250175,Alins,56,29,1.0,2001,105
36,430108,Alió,42,21,1.0,2001,135
37,250194,Almacelles,81,239,10.0,2001,1885
38,250208,Almatret,120,1,0.0,2001,183
39,250215,Almenar,76,247,1.0,2001,1171
40,430115,Almoster,57,59,0.0,2001,313
41,250220,Alòs de Balaguer,97,2,0.0,2001,67
42,170062,Alp,2041,54,0.0,2001,500
43,080044,Alpens,86,21,1.0,2001,101
44,250236,Alpicat,296,90,5.0,2001,1375
45,250241,Alt Àneu,36,0,1.0,2001,166
46,430120,Altafulla,2318,277,3.0,2001,1215
47,170078,Amer,141,161,17.0,2001,778
48,430136,"Ametlla de Mar, l'",3140,912,69.0,2001,1950
49,080057,"Ametlla del Vallès, l'",231,126,1.0,2001,1997
50,439060,"Ampolla, l'",1993,61,2.0,2001,807
51,430141,Amposta,623,1682,18.0,2001,5911
52,170084,Anglès,53,362,1.0,2001,1684
53,250273,Anglesola,8,92,0.0,2001,427
54,250292,Arbeca,179,143,1.0,2001,795
55,430167,"Arboç, l'",66,370,4.0,2001,1286
56,430154,Arbolí,54,1,0.0,2001,43
57,170097,Arbúcies,433,362,4.0,2001,1804
58,080060,Arenys de Mar,2347,429,109.0,2001,4591
59,080076,Arenys de Munt,248,597,0.0,2001,2356
60,170101,Argelaguer,44,21,0.0,2001,138
61,080082,Argençola,2,1,0.0,2001,61
62,430173,"Argentera, l'",64,8,25.0,2001,64
63,080095,Argentona,815,525,10.0,2001,3280
64,170118,"Armentera, l'",148,65,0.0,2001,293
65,430189,Arnes,0,249,0.0,2001,177
66,250313,Arres,2,1,0.0,2001,22
67,250328,Arsèguel,35,3,0.0,2001,33
68,080109,Artés,91,356,31.0,2001,1533
69,250334,Artesa de Lleida,29,58,2.0,2001,446
70,250349,Artesa de Segre,558,348,8.0,2001,1158
71,430192,Ascó,31,178,0.0,2001,606
72,250365,Aspa,35,5,0.0,2001,106
73,250371,"Avellanes i Santa Linya, les",120,48,0.0,2001,173
74,080116,Avià,106,182,0.0,2001,669
75,080121,Avinyó,4,96,0.0,2001,688
76,170123,Avinyonet de Puigventós,44,45,0.0,2001,301
77,080137,Avinyonet del Penedès,63,78,0.0,2001,424
78,080155,Badalona,812,11300,112.0,2001,71744
79,089045,Badia del Vallès,213,549,2.0,2001,5045
80,080168,Bagà,346,293,11.0,2001,776
81,250390,Baix Pallars,3,116,0.0,2001,147
82,250404,Balaguer,308,1308,4.0,2001,4717
83,080174,Balenyà,164,254,8.0,2001,1032
84,080180,Balsareny,171,247,0.0,2001,1146
85,430206,Banyeres del Penedès,263,204,2.0,2001,606
86,170157,Banyoles,712,2088,50.0,2001,7838
87,250411,Barbens,68,35,3.0,2001,251
88,430213,Barberà de la Conca,221,47,0.0,2001,173
89,082520,Barberà del Vallès,131,1069,40.0,2001,8868
90,080193,Barcelona,57719,100771,4986.0,2001,594452
91,250426,"Baronia de Rialb, la",63,30,0.0,2001,95
92,170160,Bàscara,8,73,0.0,2001,275
93,250447,Bassella,17,12,0.0,2001,80
94,430228,Batea,212,149,0.0,2001,657
95,250450,Bausen,0,4,0.0,2001,26
96,080207,Begues,623,69,1.0,2001,1541
97,170139,Begur,3142,0,1.0,2001,1322
98,250463,Belianes,188,4,4.0,2001,226
99,251706,Bellaguarda,40,35,1.0,2001,122
100,170182,Bellcaire d'Empordà,105,23,0.0,2001,203
101,250479,Bellcaire d'Urgell,66,53,0.0,2001,450
102,250485,Bell-lloc d'Urgell,16,44,0.0,2001,722
103,250498,Bellmunt d'Urgell,24,25,0.0,2001,79
104,430234,Bellmunt del Priorat,167,13,0.0,2001,134
105,080214,Bellprat,27,3,0.0,2001,29
106,250501,Bellpuig,220,259,1.0,2001,1392
107,430249,Bellvei,518,83,6.0,2001,490
108,250518,Bellver de Cerdanya,941,165,38.0,2001,649
109,250523,Bellvís,8,70,7.0,2001,780
110,250539,Benavent de Segrià,4,67,0.0,2001,342
111,430252,Benifallet,128,12,15.0,2001,273
112,430265,Benissanet,1,221,1.0,2001,379
113,080229,Berga,884,1265,37.0,2001,5618
114,170195,Besalú,113,121,0.0,2001,762
115,170209,Bescanó,142,107,0.0,2001,1145
116,170216,Beuda,1,30,0.0,2001,47
117,080235,Bigues i Riells del Fai,1194,22,0.0,2001,1980
118,250557,Biosca,33,23,0.0,2001,81
119,170221,"Bisbal d'Empordà, la",384,670,21.0,2001,2880
120,430271,"Bisbal de Falset, la",79,21,0.0,2001,81
121,430287,"Bisbal del Penedès, la",1441,171,0.0,2001,815
122,172348,Biure,65,16,0.0,2001,99
123,430290,Blancafort,87,69,0.0,2001,150
124,170237,Blanes,9356,2335,110.0,2001,11186
125,170293,Boadella i les Escaules,54,27,2.0,2001,81
126,170242,Bolvir,338,2,0.0,2001,110
127,430304,Bonastre,211,31,0.0,2001,154
128,250576,"Bòrdes, Es",50,0,1.0,2001,77
129,170255,Bordils,38,89,0.0,2001,463
130,250582,"Borges Blanques, les",97,931,4.0,2001,1831
131,430311,"Borges del Camp, les",39,183,0.0,2001,587
132,170268,Borrassà,0,14,1.0,2001,178
