,Literal,Codi,Any,Aturats,Evolucio atur,Poblacio activa,Renda
0,Abella de la Conca,250019,2012,11.9,,,
1,Abrera,080018,2012,961.2,,,16.8
2,Àger,250024,2012,12.8,,,
3,Agramunt,250030,2012,372.0,,,13.3
4,Aguilar de Segarra,080023,2012,9.1,,,
5,Agullana,170010,2012,41.0,,,
6,Aiguafreda,080142,2012,189.8,,,15.8
7,Aiguamúrcia,430017,2012,72.8,,,
8,Aiguaviva,170025,2012,30.3,,,
9,Aitona,250387,2012,158.5,,,11.2
10,"Alamús, els",250045,2012,36.6,,,
11,Alàs i Cerc,250058,2012,11.7,,,
12,"Albagés, l'",250061,2012,22.3,,,
13,Albanyà,170031,2012,10.3,,,
14,Albatàrrec,250077,2012,125.3,,,11.9
15,Albesa,250083,2012,90.6,,,12.7
16,"Albi, l'",250096,2012,62.3,,,
17,Albinyana,430022,2012,290.8,,,12.7
18,"Albiol, l'",430038,2012,22.9,,,
19,Albons,170046,2012,43.4,,,
20,Alcanar,430043,2012,655.4,,,11.4
21,Alcanó,250100,2012,5.6,,,
22,Alcarràs,250117,2012,779.1,,,11.9
23,Alcoletge,250122,2012,240.0,,,13.2
24,Alcover,430056,2012,442.8,,,13.7
25,"Aldea, l'",439044,2012,350.4,,,11.3
26,Aldover,430069,2012,59.8,,,
27,"Aleixar, l'",430075,2012,56.4,,,
28,Alella,080039,2012,485.2,,,21.2
29,Alfara de Carles,430081,2012,31.5,,,
30,Alfarràs,250138,2012,246.2,,,12.4
31,Alfés,250143,2012,11.0,,,
32,Alforja,430094,2012,171.5,,,12.3
33,Algerri,250156,2012,23.3,,,
34,Alguaire,250169,2012,247.3,,,13.9
35,Alins,250175,2012,7.8,,,
36,Alió,430108,2012,35.0,,,
37,Almacelles,250194,2012,382.6,,,12.3
38,Almatret,250208,2012,9.4,,,
39,Almenar,250215,2012,275.1,,,12.6
40,Almoster,430115,2012,55.6,,,17.7
41,Alòs de Balaguer,250220,2012,6.9,,,
42,Alp,170062,2012,64.6,,,12.9
43,Alpens,080044,2012,18.3,,,
44,Alpicat,250236,2012,321.2,,,16.5
45,Alt Àneu,250241,2012,12.3,,,
46,Altafulla,430120,2012,320.5,,,17.2
47,Amer,170078,2012,131.3,,,15.2
