,Literal,Codi,Any,Demanda,1,2,3,4,5,6 i més,Habitatges familiars secundaris,Habitatges familiars vacants,Habitatges familiars altres,Habitatges familiars principals,De lloguer,De propietat
0,Abrera,080018,2020,23.0,,,,,,,,,,,,
1,Agramunt,250030,2020,2.0,,,,,,,,,,,,
2,Agullana,170010,2020,3.0,,,,,,,,,,,,
3,Aiguafreda,080142,2020,1.0,,,,,,,,,,,,
4,Aitona,250387,2020,1.0,,,,,,,,,,,,
5,Albatàrrec,250077,2020,2.0,,,,,,,,,,,,
6,Alcanar,430043,2020,1.0,,,,,,,,,,,,
7,Alcarràs,250117,2020,10.0,,,,,,,,,,,,
8,Alcoletge,250122,2020,4.0,,,,,,,,,,,,
9,Alcover,430056,2020,1.0,,,,,,,,,,,,
10,Alella,080039,2020,23.0,,,,,,,,,,,,
11,Alfarràs,250138,2020,1.0,,,,,,,,,,,,
12,Alforja,430094,2020,1.0,,,,,,,,,,,,
13,Almacelles,250194,2020,6.0,,,,,,,,,,,,
14,Alpicat,250236,2020,4.0,,,,,,,,,,,,
15,Altafulla,430120,2020,5.0,,,,,,,,,,,,
16,"Ametlla del Vallès, l'",080057,2020,45.0,,,,,,,,,,,,
17,"Ampolla, l'",439060,2020,2.0,,,,,,,,,,,,
18,Amposta,430141,2020,34.0,,,,,,,,,,,,
19,Anglès,170084,2020,4.0,,,,,,,,,,,,
20,"Arboç, l'",430167,2020,5.0,,,,,,,,,,,,
21,Arbúcies,170097,2020,1.0,,,,,,,,,,,,
22,Arenys de Mar,080060,2020,13.0,,,,,,,,,,,,
23,Arenys de Munt,080076,2020,3.0,,,,,,,,,,,,
24,Argentona,080095,2020,8.0,,,,,,,,,,,,
25,"Armentera, l'",170118,2020,1.0,,,,,,,,,,,,
26,Artés,080109,2020,24.0,,,,,,,,,,,,
27,Ascó,430192,2020,1.0,,,,,,,,,,,,
28,Avinyó,080121,2020,8.0,,,,,,,,,,,,
29,Avinyonet de Puigventós,170123,2020,1.0,,,,,,,,,,,,
30,Badalona,080155,2020,459.0,,,,,,,,,,,,
31,Badia del Vallès,089045,2020,28.0,,,,,,,,,,,,
32,Bagà,080168,2020,1.0,,,,,,,,,,,,
33,Baix Pallars,250390,2020,3.0,,,,,,,,,,,,
34,Balaguer,250404,2020,42.0,,,,,,,,,,,,
35,Balenyà,080174,2020,1.0,,,,,,,,,,,,
36,Balsareny,080180,2020,4.0,,,,,,,,,,,,
37,Banyeres del Penedès,430206,2020,4.0,,,,,,,,,,,,
38,Banyoles,170157,2020,28.0,,,,,,,,,,,,
39,Barberà del Vallès,082520,2020,75.0,,,,,,,,,,,,
40,Barcelona,080193,2020,4710.0,,,,,,,,,,,,
41,Batea,430228,2020,2.0,,,,,,,,,,,,
42,Begues,080207,2020,30.0,,,,,,,,,,,,
43,Begur,170139,2020,4.0,,,,,,,,,,,,
44,Bellmunt d'Urgell,250498,2020,1.0,,,,,,,,,,,,
45,Bellpuig,250501,2020,8.0,,,,,,,,,,,,
46,Bellver de Cerdanya,250518,2020,4.0,,,,,,,,,,,,
47,Berga,080229,2020,32.0,,,,,,,,,,,,
48,Besalú,170195,2020,2.0,,,,,,,,,,,,
49,Bescanó,170209,2020,3.0,,,,,,,,,,,,
50,Bigues i Riells,080235,2020,20.0,,,,,,,,,,,,
51,"Bisbal del Penedès, la",430287,2020,1.0,,,,,,,,,,,,
52,"Bisbal d'Empordà, la",170221,2020,25.0,,,,,,,,,,,,
