,Any,Serveis,Literal,Codi,Solar,Zones verdes,Equipament,Connectivitat,Densitat comercial,Riscos
0,2012,8.7221,Igualada,081022,289.6733,71.1228,16.9165,144.8569,,
1,2012,0.0,Cardona,080478,38.7941,4.1436,16.3507,15.8741,,
2,2012,0.0,"Llacuna, la",081043,13.1967,0.8157,27.4038,9.6753,,
3,2012,0.0,Castellcir,080556,6.0954,0.5995,6.4467,5.0652,,
4,2012,7.121,Castellbisbal,080543,402.8976,240.6678,22.4913,137.4469,,
5,2012,0.0,Castellbell i el Vilar,080538,71.4223,47.5118,12.6628,19.274700000000003,,
6,2012,0.0,Castellar de n'Hug,080522,4.9955,1.0185,72.8906,2.7015000000000002,,
7,2012,8.2287,Castellar del Vallès,080517,289.685,130.5503,22.0428,101.00150000000001,,
8,2012,0.0,Castellar del Riu,080500,0.0,0.0,0.0,0.0,,
9,2012,0.0,Castell de l'Areny,080575,0.9704,0.1667,69.9716,0.2928,,
10,2012,0.0,Carme,080484,7.4839,0.8768,18.5936,4.9968,,
11,2012,0.0,Castellet i la Gornal,080581,73.801,25.8475,51.0553,35.944,,
12,2012,2.6438,Cardedeu,080462,106.3286,17.9106,8.1884,72.24940000000001,,
13,2012,0.0,Capolat,080459,0.0,0.0,0.0,0.0,,
14,2012,0.0,Capellades,080446,19.5586,2.6171,7.8639,12.6643,,
15,2012,2.2897,Canyelles,080431,81.9403,38.9755,20.2365,32.5177,,
16,2012,0.0,Cànoves i Samalús,080425,55.688,21.2279,36.2931,23.141399999999997,,
17,2012,0.0,Canovelles,080410,58.4505,13.4398,4.8469,35.6437,,
18,2012,0.0,Canet de Mar,080403,45.8668,7.4847,6.1241,30.6087,,
19,2012,0.0,Casserres,080497,18.8806,3.7248,20.0775,11.3112,,
20,2012,0.0,Castellví de Rosanes,080667,58.968,24.9576,33.4713,16.4533,,
21,2012,1.1482,Dosrius,080752,142.2199,54.2052,32.9119,61.808600000000006,,
22,2012,7.8112,Cubelles,080749,100.8327,22.2238,10.1704,61.9066,,
23,2012,8.3835,Cornellà de Llobregat,080734,298.5005,84.7666,7.3671,149.3425,,
24,2012,0.0,Corbera de Llobregat,080728,299.1266,129.7732,27.7932,123.2436,,
25,2012,0.0,Copons,080713,3.9306,0.3477,49.5789,1.6791,,
26,2012,0.0,Collsuspina,080706,8.3473,1.3861,58.5378,4.912100000000001,,
27,2012,0.0,Collbató,080692,48.6337,17.4362,16.5939,23.8943,,
28,2012,12.3512,Castelldefels,080569,489.4586,85.3382,21.6667,260.2407,,
29,2012,0.0,Centelles,080673,39.2871,7.0038,11.1232,26.244,,
30,2012,0.0,Calldetenes,080370,19.8179,2.747,15.1623,12.694700000000001,,
31,2012,1.1669,Castellví de la Marca,080654,10.2452,0.8395,12.2794,7.3797,,
32,2012,0.319,Castellterçol,080641,25.1595,3.7381,20.5041,16.4861,,
33,2012,0.4151,Castellolí,080636,14.2342,4.1678,30.1954,6.2896,,
34,2012,0.0,Castellnou de Bages,080620,42.3417,21.0319,45.6063,15.869299999999999,,
35,2012,0.0,Castellgalí,080615,43.9955,20.2791,31.719,17.2032,,
36,2012,0.0,Castellfollit de Riubregós,080608,1.3487,0.0959,26.7775,0.7602,,
37,2012,0.0,Castellfollit del Boix,080594,3.5313,0.2549,28.3723,2.0962,,
38,2012,0.0,Cervelló,080689,223.7017,114.3186,36.0603,70.5807,,
39,2012,0.0,Argençola,080082,2.2735,0.3881,11.3387,1.6032,,
40,2012,0.0,Balenyà,080174,32.7121,5.9275,12.3431,22.4236,,
41,2012,0.0,Bagà,080168,18.9736,4.66,20.189,9.0307,,
42,2012,0.7856,Badalona,080155,775.6659,196.4037,7.9335,380.8911,,
43,2012,0.0,Aiguafreda,080142,28.7896,5.2355,23.6779,17.493299999999998,,
44,2012,0.0,Avinyonet del Penedès,080137,37.2536,13.7574,24.0911,19.0089,,
45,2012,0.0,Avinyó,080121,19.216,1.108,23.9105,12.537700000000001,,
46,2012,0.0,Avià,080116,19.6665,6.0793,19.2369,9.2416,,
47,2012,4.1646,Campins,080399,10.2406,4.185,33.9773,2.3447,,
48,2012,0.0,Argentona,080095,105.844,32.6581,17.7837,51.0944,,
49,2012,0.0,Begues,080207,114.1412,27.0042,25.6295,64.1241,,
50,2012,0.0,Arenys de Munt,080076,82.7481,28.483,12.4699,41.4478,,
51,2012,8.0181,Arenys de Mar,080060,85.1217,19.7365,12.7784,49.432,,
52,2012,4.4675,"Ametlla del Vallès, l'",080057,170.4574,67.7523,25.8799,69.69369999999999,,
53,2012,0.0,Alpens,080044,8.5106,1.3955,81.4917,4.6377,,
54,2012,0.4779,Alella,080039,92.9011,30.8351,15.2197,44.9486,,
55,2012,0.0,Aguilar de Segarra,080023,4.4227,0.3703,30.8249,2.8564000000000003,,
56,2012,4.07,Abrera,080018,83.4577,35.5988,7.0954,39.0177,,
