Municipi,Codi_ine_6_txt,Comarca,Àmbit territorial,Any,Població,Establiments,Superfície de venda (m2),Densitat comercial (est. / 1.000 hab.),Densitat comercial (m2 / 1.000 hab.),Superfície mitjana per establiment (m2),Percentatge d'establiments dintre de TUC,Percentatge de superfície de venda dintre de TUC,Percentatge d'establiments,Percentatge de superfície de venda,Altres,Automoció i carburants,Comerç mixt,Equipament llar,Equipament persona,Lleure i cultura,Quotidià alimentari (exc. vending),Quotidià no alimentari,Superfície Altres,Superfície Automoció i carburants,Superfície Comerç mixt,Superfície Equipament llar,Superfície Equipament persona,Superfície Lleure i cultura,Superfície Quotidià alimentari (exc. vending),Superfície Quotidià no alimentari
Abella de la Conca,250019,Pallars Jussà,Alt Pirineu i Aran,2018,181,2,104,11.05,575,52,,,0.00002,0.000007,,,,,,,,,,,,,,,,
Abrera,80018,Baix Llobregat,Metropolità,2018,12334,118,24374,9.57,1976,207,513,0.1673,0.001165,0.001662,10,9,6,23,16,11,36,7,2093,3462,4881,7024,1303,808,4268,535
Àger,250024,Noguera,Ponent,2018,611,11,1510,18,2471,137,,,0.000109,0.000103,,,,,,,,,,,,,,,,
Agramunt,250030,Urgell,Ponent,2018,5393,96,16026,17.8,2972,167,,,0.000948,0.001093,,,,,,,,,,,,,,,,
Aguilar de Segarra,80023,Bages,Comarques Centrals,2018,277,31,801,111.91,2892,26,,,0.000306,0.000055,,,,,,,,,,,,,,,,
Agullana,170010,Alt Empordà,Comarques Gironines,2018,841,6,1808,7.13,2150,301,,,0.000059,0.000123,,,,,,,,,,,,,,,,
Aiguafreda,80142,Vallès Oriental,Metropolità,2018,2501,24,5436,9.6,2174,227,,,0.000237,0.000371,,,,,,,,,,,,,,,,
Aiguamúrcia,430017,Alt Camp,Camp de Tarragona,2018,893,7,586,7.84,656,84,,,0.000069,0.00004,,,,,,,,,,,,,,,,
Aiguaviva,170025,Gironès,Comarques Gironines,2018,767,9,1238,11.73,1614,138,,,0.000089,0.000084,,,,,,,,,,,,,,,,
Aitona,250387,Segrià,Ponent,2018,2545,25,2825,9.82,1110,113,,,0.000247,0.000193,,,,,,,,,,,,,,,,
"Alamús, els",250045,Segrià,Ponent,2018,796,9,2759,11.31,3466,307,,,0.000089,0.000188,,,,,,,,,,,,,,,,
Alàs i Cerc,250058,Alt Urgell,Alt Pirineu i Aran,2018,342,1,108,2.92,316,108,,,0.00001,0.000007,,,,,,,,,,,,,,,,
"Albagés, l'",250061,Garrigues,Ponent,2018,375,3,138,8,368,46,,,0.00003,0.000009,,,,,,,,,,,,,,,,
Albanyà,170031,Alt Empordà,Comarques Gironines,2018,139,1,37,7.19,266,37,,,0.00001,0.000003,,,,,,,,,,,,,,,,
Albatàrrec,250077,Segrià,Ponent,2018,2335,15,1469,6.42,629,98,,,0.000148,0.0001,,,,,,,,,,,,,,,,
Albesa,250083,Noguera,Ponent,2018,1576,7,477,4.44,303,68,,,0.000069,0.000033,,,,,,,,,,,,,,,,
"Albi, l'",250096,Garrigues,Ponent,2018,762,9,499,11.81,655,55,,,0.000089,0.000034,,,,,,,,,,,,,,,,
Albinyana,430022,Baix Penedès,Penedès,2018,2371,17,1434,7.17,605,84,,,0.000168,0.000098,,,,,,,,,,,,,,,,
"Albiol, l'",430038,Baix Camp,Camp de Tarragona,2018,464,1,79,2.16,170,79,,,0.00001,0.000005,,,,,,,,,,,,,,,,
Albons,170046,Baix Empordà,Comarques Gironines,2018,765,4,176,5.23,230,44,,,0.000039,0.000012,,,,,,,,,,,,,,,,
Alcanar,430043,Montsià,Terres de l'Ebre,2018,9402,141,16723,15,1779,119,0.8676,609,0.001392,0.00114,,,,,,,,,,,,,,,,
Alcanó,250100,Segrià,Ponent,2018,232,2,44,8.62,190,22,,,0.00002,0.000003,,,,,,,,,,,,,,,,
Alcarràs,250117,Segrià,Ponent,2018,9422,105,22477,11.14,2386,214,0.8137,0.5926,0.001037,0.001532,,,,,,,,,,,,,,,,
Alcoletge,250122,Segrià,Ponent,2018,3419,29,5330,8.48,1559,184,,,0.000286,0.000363,,,,,,,,,,,,,,,,
Alcover,430056,Alt Camp,Camp de Tarragona,2018,5108,60,10268,11.75,2010,171,,,0.000592,0.0007,,,,,,,,,,,,,,,,
"Aldea, l'",439044,Baix Ebre,Terres de l'Ebre,2018,4137,64,11995,15.47,2899,187,,,0.000632,0.000818,,,,,,,,,,,,,,,,
Aldover,430069,Baix Ebre,Terres de l'Ebre,2018,838,8,384,9.55,458,48,,,0.000079,0.000026,,,,,,,,,,,,,,,,
"Aleixar, l'",430075,Baix Camp,Camp de Tarragona,2018,864,5,304,5.79,352,61,,,0.000049,0.000021,,,,,,,,,,,,,,,,
