Any,Codi_ine_5_txt,Codi_ine_6_txt,NomMun,Comarca,AFT,Costa,Muntanya,Poblacio_padro,Superficie_ha,05_SU,05_perce_SU,05_SUC,05_perce_SUC,05_SNC,05_perce_SNC,05_SURB,05_perce_SUR,05_SUD,05_perce_SUD,05_SND,05_perce_SND,05_SNU,05_perce_SNU,06_Class_no_SNU,06_perce_Class_no_snu,07_densitat_pob_km2,08_densitat_pob_urba_Km2,09_Perce_SNC_SU,10_Perce_SUD_SU,11_Perce_SND_SU,012_Qual_SUC_AE,12_A1_SUC,12_A2_SUC,12_A3_SUC,13_Qual_SUC_R,13_R1_SUC,13_R2_SUC,13_R3_SUC,13_R4_SUC,13_R5_SUC,13_R6_SUC,14_Qual_SUC_Altres,14_M1_SUC,14_M2_SUC,14_M3_SUC,15_Qual_SUC_SISTEMES,15_SA_SUC,15_SC_SUC,15_SD_SUC,15_SE_SUC,15_SF_SUC,15_SH_SUC,15_SP_SUC,15_SS_SUC,15_ST_SUC,15_SV_SUC,15_SX0_SUC,15_SX1_SUC,15_SX2_SUC,16_QUAL_snu,16_N1_SNU,16_N2_SNU,16_N3_SNU,16_N4_SNU,17_Sol_resid_habt,18_Sol_AE_habt,19_Zverdes_habt,20_Equip_habt
2014,8151,81516,Oristà,Osona,CC,0,Zona de muntanya,557,6849.1200,26.4595,0.3863,25.0620,0.3659,1.3975,0.0204,2.6633,0.0389,1.0679,0.0156,1.5954,0.0233,6820.0018,99.5748,29.1228,0.4252,8.1331,2105.1046,5.2817,4.0361,6.0295,1.8661,1.8661,0.0000,0,12.2172,4.4006,2.9841,0.0000,0.2355,0.9056,3.6915,0.1989,0.1989,0.0000,0,10.7962,0.0000,0.0000,0.0987,2.2502,0.0000,0.0000,0.0000,0.0000,0.1579,2.8413,0.0000,2.1030,3.3450,6782.2660,60.1200,6683.2297,38.9163,0.0000,45.5915,298.4890,51.0108,40.3977
2014,8126,81265,Montgat,Maresme,MB,1,,11315,289.2900,184.6844,63.8410,184.6844,63.8410,0.0000,0.0000,23.2960,8.0529,2.2788,0.7877,21.0172,7.2651,81.3079,28.1062,207.9804,71.8938,3903.2729,6126.6671,0.0000,1.2339,11.3801,12.8015,12.2695,0.5320,0,41.4617,3.6811,4.3268,0.0000,18.0587,5.7128,9.6824,11.5620,5.2334,6.3286,0,115.6744,0.0000,0.0000,1.6897,16.5382,3.3162,0.0000,0.0000,11.9262,0.5323,36.2018,0.0000,31.7762,17.0099,30.4593,25.4280,5.0314,0.0000,0.0000,272.9023,883.8833,31.9945,14.6162
2014,8116,81167,les Masies de Roda,Osona,CC,0,,737,1619.5400,22.6920,1.4011,21.4210,1.3227,1.2710,0.0785,22.2197,1.3720,22.2197,1.3720,0.0000,0.0000,1574.6300,97.2269,44.9117,2.7731,44.6962,3247.8353,5.6012,97.9183,0.0000,6.0764,6.0764,0.0000,0,7.0610,0.4778,0.2750,0.3179,1.5733,0.4178,3.9992,0.0000,0.0000,0.0000,0,8.2990,0.0000,0.0000,0.0000,1.6267,0.0000,0.0500,0.0000,0.2875,0.0049,0.8202,0.0000,1.9890,3.5207,1254.5329,815.4914,191.4628,198.8608,48.7179,104.3763,121.2891,11.1291,22.0714
2014,8117,81173,les Masies de Voltregà,Osona,CC,0,,3186,2232.0600,99.1742,4.4432,87.4269,3.9169,11.7473,0.5263,102.7242,4.6022,102.7242,4.6022,0.0000,0.0000,2030.1589,90.9546,201.8984,9.0454,142.5374,3212.5302,11.8451,103.5796,0.0000,15.1435,15.1435,0.0000,0,26.1702,4.5699,5.1504,3.7524,0.8960,4.1553,7.6461,2.6577,0.0000,0.7024,1.955324824,43.5170,0.0000,0.0000,0.0000,9.0566,0.0000,0.1246,0.0000,0.0000,0.0000,14.2315,0.0000,6.9048,13.1995,1939.2605,1159.1642,752.8135,25.2954,1.9874,121.7418,210.3874,44.6689,28.4262
2014,8118,81189,el Masnou,Maresme,MB,1,,22742,348.5900,269.2339,77.2344,265.0477,76.0335,4.1862,1.2009,31.6898,9.0908,31.6898,9.0908,0.0000,0.0000,47.6695,13.6748,300.9236,86.3252,6683.1720,8446.9319,1.5548,11.7704,0.0000,10.1239,6.7650,3.3589,0,109.2100,20.1174,10.6381,0.0000,23.7296,13.9608,40.7641,0.0000,0.0000,0.0000,0,146.8724,0.0000,23.9467,0.2957,17.1591,5.9253,1.7748,6.8931,5.7102,0.2004,18.3541,0.0000,24.7300,40.9152,38.5901,32.3932,6.1969,0.0000,0.0000,208.2410,2246.3594,8.0706,7.5451
2014,8119,81192,Masquefa,Anoia,PE,0,,8406,1714.3300,320.1556,18.6752,319.4309,18.6330,0.7247,0.0423,78.6704,4.5890,78.6704,4.5890,0.0000,0.0000,1315.5060,76.7358,398.8261,23.2642,492.8428,2625.5981,0.2264,24.5726,0.0000,0.5798,0.5798,0.0000,0,184.4917,1.0810,5.3408,3.7824,5.1821,10.7614,158.3439,1.0320,0.3139,0.3623,0.3557874821,131.5931,0.0000,0.0000,0.0000,15.3030,1.9130,0.0000,0.0000,0.0000,1.7390,61.8216,0.0000,12.9582,39.7713,1218.4463,235.6773,982.7690,0.0000,0.0000,45.5630,14498.4024,73.5446,18.2048
2014,8120,81206,Matadepera,Vallès Occidental,MB,0,,8841,2559.7300,845.6560,33.0369,825.1702,32.2366,20.4858,0.8003,3.9645,0.1549,3.9645,0.1549,0.0000,0.0000,1710.1093,66.8082,849.6206,33.1918,348.4976,1045.4606,2.4225,0.4688,0.0000,3.3366,2.6857,0.6509,0,454.7667,6.7444,0.0000,0.0000,1.4653,14.4864,432.0705,5.3808,0.0000,5.3808,0,362.2096,0.0000,0.0000,0.0000,35.8391,0.0000,0.0000,0.0000,0.0000,4.3364,220.9332,0.0000,28.7343,72.3667,1633.1212,6.4882,185.5824,1441.0505,0.0000,19.4407,2649.7130,249.8961,40.5374
2014,8121,81213,Mataró,Maresme,MB,1,,124280,2222.4000,790.5233,35.5707,749.6255,33.7304,40.8978,1.8403,297.7266,13.3966,215.7641,9.7086,81.9625,3.6880,1134.1526,51.0327,1088.2499,48.9673,5520.3558,15721.2309,5.1735,27.2938,10.3681,66.8598,66.8598,0.0000,0,292.1372,12.4066,48.4791,122.7565,18.7506,14.8852,74.8592,2.9769,0.2183,2.7586,0,388.2111,0.0000,0.0000,1.4880,90.7062,0.0000,3.2021,0.0000,0.0000,9.9932,94.5636,0.0000,70.9460,117.3120,874.8954,472.0324,402.8630,0.0000,0.0000,425.4166,1858.8160,7.6089,7.2985
2014,8122,81228,Mediona,Alt Penedès,PE,0,,2311,4796.5300,249.7335,5.2065,249.7335,5.2065,0.0000,0.0000,15.4771,0.3227,15.4771,0.3227,0.0000,0.0000,4531.3197,94.4708,265.2105,5.5292,48.5999,925.3866,0.0000,6.1974,0.0000,13.1475,12.6486,0.4989,0,158.2568,0.9230,11.4273,0.0000,5.9979,0.0000,139.9086,0.8756,0.0000,0.0000,0.8756042145,77.5754,0.0000,0.0000,0.0000,9.2501,0.0000,2.2246,0.0000,0.2911,0.6929,25.2700,0.0000,9.7844,30.0623,4512.3949,0.0000,2714.0177,1798.3772,0.0000,14.6029,175.7751,109.3466,40.0264
2014,8123,81234,Molins de Rei,Baix Llobregat,MB,0,,25152,1581.0600,349.6276,22.1135,349.6276,22.1135,0.0000,0.0000,68.7318,4.3472,58.1998,3.6811,10.5320,0.6661,1162.6998,73.5393,418.3593,26.4607,1577.9582,7193.9409,0.0000,16.6462,3.0123,59.2845,57.0609,2.2236,0,112.6407,5.6105,31.8910,0.0000,15.5323,5.5682,54.0387,14.7666,2.7542,12.0124,0,155.3815,0.0000,0.0000,0.2399,33.7801,7.7772,0.0000,0.0000,5.2735,0.2207,34.0595,0.0000,29.9851,51.8226,101.7492,20.5896,81.1596,0.0000,0.0000,223.2940,424.2591,13.5415,13.4304
