ine5,ine6,municipiNom,comarca,provincia,serveiTerritorial,risc,nivell,altura,cens,superficie,,ine5,Codi_ine_6_txt
25001,250019,Abella de la Conca,Pallars Jussà,Lleida,Alt Pirineu i Aran,nevades,Obligat,956,170,78.21,,25001,250019
25001,250019,Abella de la Conca,Pallars Jussà,Lleida,Alt Pirineu i Aran,incendi forestal,Obligat,956,170,78.21,,8001,80018
25001,250019,Abella de la Conca,Pallars Jussà,Lleida,Alt Pirineu i Aran,sísmic,Obligat,956,170,78.21,,25002,250024
8001,80018,Abrera,Baix Llobregat,Barcelona,Barcelona,inundacions,Obligat,105,12071,19.98,,25003,250030
8001,80018,Abrera,Baix Llobregat,Barcelona,Barcelona,incendi forestal,Obligat,105,12071,19.98,,8002,80023
8001,80018,Abrera,Baix Llobregat,Barcelona,Barcelona,químic,Obligat,105,12071,19.98,,17001,170010
8001,80018,Abrera,Baix Llobregat,Barcelona,Barcelona,transport de mercaderies perilloses,Obligat,105,12071,19.98,,8014,80142
8001,80018,Abrera,Baix Llobregat,Barcelona,Barcelona,nevades,Recomanat,105,12071,19.98,,43001,430017
8001,80018,Abrera,Baix Llobregat,Barcelona,Barcelona,sísmic,Recomanat,105,12071,19.98,,17002,170025
25002,250024,Àger,Noguera,Lleida,Lleida,nevades,Obligat,642,613,161.08,,25038,250387
25002,250024,Àger,Noguera,Lleida,Lleida,inundacions,Recomanat,642,613,161.08,,25005,250058
25002,250024,Àger,Noguera,Lleida,Lleida,incendi forestal,Obligat,642,613,161.08,,17003,170031
25002,250024,Àger,Noguera,Lleida,Lleida,sísmic,Obligat,642,613,161.08,,25007,250077
25002,250024,Àger,Noguera,Lleida,Lleida,transport ferroviari passatgers,Obligat,642,613,161.08,,25008,250083
25003,250030,Agramunt,Urgell,Lleida,Lleida,inundacions,Obligat,337,5491,78.3,,43002,430022
25003,250030,Agramunt,Urgell,Lleida,Lleida,nevades,Recomanat,337,5491,78.3,,17004,170046
25003,250030,Agramunt,Urgell,Lleida,Lleida,sísmic,Recomanat,337,5491,78.3,,43004,430043
8002,80023,Aguilar de Segarra,Bages,Barcelona,Catalunya Central,aeroport,Recomanat,480,246,43.14,,25010,250100
8002,80023,Aguilar de Segarra,Bages,Barcelona,Catalunya Central,sísmic,Recomanat,480,246,43.14,,25011,250117
8002,80023,Aguilar de Segarra,Bages,Barcelona,Catalunya Central,nevades,Obligat,480,246,43.14,,25012,250122
8002,80023,Aguilar de Segarra,Bages,Barcelona,Catalunya Central,incendi forestal,Obligat,480,246,43.14,,43005,430056
17001,170010,Agullana,Alt Empordà,Girona,Girona,nevades,Recomanat,166,828,27.49,,43006,430069
17001,170010,Agullana,Alt Empordà,Girona,Girona,transport de mercaderies perilloses,Obligat,166,828,27.49,,8003,80039
17001,170010,Agullana,Alt Empordà,Girona,Girona,sísmic,Obligat,166,828,27.49,,43008,430081
17001,170010,Agullana,Alt Empordà,Girona,Girona,incendi forestal,Obligat,166,828,27.49,,25013,250138
17001,170010,Agullana,Alt Empordà,Girona,Girona,inundacions,Recomanat,166,828,27.49,,25014,250143
8014,80142,Aiguafreda,Vallès Oriental,Barcelona,Barcelona,nevades,Obligat,404,2465,8,,43009,430094
8014,80142,Aiguafreda,Vallès Oriental,Barcelona,Barcelona,transport de mercaderies perilloses,Recomanat,404,2465,8,,25015,250156
8014,80142,Aiguafreda,Vallès Oriental,Barcelona,Barcelona,inundacions,Obligat,404,2465,8,,25016,250169
8014,80142,Aiguafreda,Vallès Oriental,Barcelona,Barcelona,incendi forestal,Obligat,404,2465,8,,25017,250175
8014,80142,Aiguafreda,Vallès Oriental,Barcelona,Barcelona,sísmic,Obligat,404,2465,8,,43010,430108
43001,430017,Aiguamúrcia,Alt Camp,Tarragona,Tarragona,nevades,Recomanat,314,912,73.1,,25019,250194
43001,430017,Aiguamúrcia,Alt Camp,Tarragona,Tarragona,territori,Obligat,314,912,73.1,,25020,250208
43001,430017,Aiguamúrcia,Alt Camp,Tarragona,Tarragona,incendi forestal,Obligat,314,912,73.1,,25021,250215
43001,430017,Aiguamúrcia,Alt Camp,Tarragona,Tarragona,inundacions,Obligat,314,912,73.1,,43011,430115
43001,430017,Aiguamúrcia,Alt Camp,Tarragona,Tarragona,sísmic,Recomanat,314,912,73.1,,25022,250220
17002,170025,Aiguaviva,Gironès,Girona,Girona,sísmic,Obligat,169,775,13.97,,17006,170062
17002,170025,Aiguaviva,Gironès,Girona,Girona,nevades,Recomanat,169,775,13.97,,8004,80044
17002,170025,Aiguaviva,Gironès,Girona,Girona,aeroport,Obligat,169,775,13.97,,25023,250236
17002,170025,Aiguaviva,Gironès,Girona,Girona,incendi forestal,Obligat,169,775,13.97,,25024,250241
17002,170025,Aiguaviva,Gironès,Girona,Girona,inundacions,Recomanat,169,775,13.97,,43012,430120
17002,170025,Aiguaviva,Gironès,Girona,Girona,transport de mercaderies perilloses,Obligat,169,775,13.97,,17007,170078
25038,250387,Aitona,Segrià,Lleida,Lleida,sísmic,Recomanat,110,2456,67.3,,43014,430141
25038,250387,Aitona,Segrià,Lleida,Lleida,nuclear,Obligat,110,2456,67.3,,17008,170084
25038,250387,Aitona,Segrià,Lleida,Lleida,transport de mercaderies perilloses,Obligat,110,2456,67.3,,25027,250273
25038,250387,Aitona,Segrià,Lleida,Lleida,nevades,Recomanat,110,2456,67.3,,25029,250292
25038,250387,Aitona,Segrià,Lleida,Lleida,inundacions,Obligat,110,2456,67.3,,43015,430154
25005,250058,Alàs i Cerc,Alt Urgell,Lleida,Alt Pirineu i Aran,incendi forestal,Recomanat,768,356,57.62,,17009,170097
25005,250058,Alàs i Cerc,Alt Urgell,Lleida,Alt Pirineu i Aran,sísmic,Obligat,768,356,57.62,,8006,80060
25005,250058,Alàs i Cerc,Alt Urgell,Lleida,Alt Pirineu i Aran,nevades,Obligat,768,356,57.62,,8007,80076
25005,250058,Alàs i Cerc,Alt Urgell,Lleida,Alt Pirineu i Aran,inundacions,Recomanat,768,356,57.62,,17010,170101
17003,170031,Albanyà,Alt Empordà,Girona,Girona,nevades,Recomanat,239,149,93.34,,8008,80082
17003,170031,Albanyà,Alt Empordà,Girona,Girona,sísmic,Obligat,239,149,93.34,,8009,80095
17003,170031,Albanyà,Alt Empordà,Girona,Girona,incendi forestal,Obligat,239,149,93.34,,43018,430189
17003,170031,Albanyà,Alt Empordà,Girona,Girona,inundacions,Recomanat,239,149,93.34,,25031,250313
25007,250077,Albatàrrec,Segrià,Lleida,Lleida,transport de mercaderies perilloses,Obligat,147,2214,10.75,,25032,250328
25007,250077,Albatàrrec,Segrià,Lleida,Lleida,nevades,Recomanat,147,2214,10.75,,8010,80109
25007,250077,Albatàrrec,Segrià,Lleida,Lleida,sísmic,Recomanat,147,2214,10.75,,25033,250334
25007,250077,Albatàrrec,Segrià,Lleida,Lleida,aeroport,Recomanat,147,2214,10.75,,25034,250349
25008,250083,Albesa,Noguera,Lleida,Lleida,nevades,Recomanat,237,1624,37.46,,43019,430192
25008,250083,Albesa,Noguera,Lleida,Lleida,sísmic,Recomanat,237,1624,37.46,,25036,250365
25008,250083,Albesa,Noguera,Lleida,Lleida,inundacions,Obligat,237,1624,37.46,,8011,80116
43002,430022,Albinyana,Baix Penedès,Tarragona,Tarragona,nevades,Recomanat,198,2320,19.57,,8012,80121
43002,430022,Albinyana,Baix Penedès,Tarragona,Tarragona,transport de mercaderies perilloses,Obligat,198,2320,19.57,,17012,170123
43002,430022,Albinyana,Baix Penedès,Tarragona,Tarragona,incendi forestal,Obligat,198,2320,19.57,,8013,80137
43002,430022,Albinyana,Baix Penedès,Tarragona,Tarragona,sísmic,Recomanat,198,2320,19.57,,8015,80155
43002,430022,Albinyana,Baix Penedès,Tarragona,Tarragona,inundacions,Obligat,198,2320,19.57,,8904,89045
17004,170046,Albons,Baix Empordà,Girona,Girona,inundacions,Obligat,25,745,11.39,,8016,80168
17004,170046,Albons,Baix Empordà,Girona,Girona,sísmic,Recomanat,25,745,11.39,,25039,250390
17004,170046,Albons,Baix Empordà,Girona,Girona,nevades,Recomanat,25,745,11.39,,25040,250404
43004,430043,Alcanar,Montsià,Tarragona,Terres de l'Ebre,sísmic,Obligat,72,9603,47.1,,8017,80174
43004,430043,Alcanar,Montsià,Tarragona,Terres de l'Ebre,territori,Obligat,72,9603,47.1,,8018,80180
43004,430043,Alcanar,Montsià,Tarragona,Terres de l'Ebre,contaminació marina,Obligat,72,9603,47.1,,43020,430206
43004,430043,Alcanar,Montsià,Tarragona,Terres de l'Ebre,contaminació Ebre (Flix),Obligat,72,9603,47.1,,17015,170157
43004,430043,Alcanar,Montsià,Tarragona,Terres de l'Ebre,inundacions,Obligat,72,9603,47.1,,25041,250411
43004,430043,Alcanar,Montsià,Tarragona,Terres de l'Ebre,nevades,Recomanat,72,9603,47.1,,43021,430213
43004,430043,Alcanar,Montsià,Tarragona,Terres de l'Ebre,incendi forestal,Obligat,72,9603,47.1,,8252,82520
25010,250100,Alcanó,Segrià,Lleida,Lleida,transport de mercaderies perilloses,Recomanat,214,246,21.12,,8019,80193
25010,250100,Alcanó,Segrià,Lleida,Lleida,nuclear,Obligat,214,246,21.12,,17016,170160
25010,250100,Alcanó,Segrià,Lleida,Lleida,sísmic,Recomanat,214,246,21.12,,25044,250447
25010,250100,Alcanó,Segrià,Lleida,Lleida,inundacions,Recomanat,214,246,21.12,,43022,430228
25010,250100,Alcanó,Segrià,Lleida,Lleida,nevades,Recomanat,214,246,21.12,,25045,250450
25011,250117,Alcarràs,Segrià,Lleida,Lleida,transport de mercaderies perilloses,Obligat,137,9372,114.65,,8020,80207
25011,250117,Alcarràs,Segrià,Lleida,Lleida,sísmic,Recomanat,137,9372,114.65,,17013,170139
25011,250117,Alcarràs,Segrià,Lleida,Lleida,químic,Recomanat,137,9372,114.65,,25046,250463
25011,250117,Alcarràs,Segrià,Lleida,Lleida,nevades,Recomanat,137,9372,114.65,,25048,250485
25011,250117,Alcarràs,Segrià,Lleida,Lleida,inundacions,Obligat,137,9372,114.65,,25170,251706
25012,250122,Alcoletge,Segrià,Lleida,Lleida,transport de mercaderies perilloses,Obligat,213,3285,16.41,,17018,170182
25012,250122,Alcoletge,Segrià,Lleida,Lleida,sísmic,Recomanat,213,3285,16.41,,25047,250479
25012,250122,Alcoletge,Segrià,Lleida,Lleida,inundacions,Recomanat,213,3285,16.41,,25049,250498
25012,250122,Alcoletge,Segrià,Lleida,Lleida,nevades,Recomanat,213,3285,16.41,,43023,430234
43005,430056,Alcover,Alt Camp,Tarragona,Tarragona,transport de mercaderies perilloses,Recomanat,243,5073,46.28,,8021,80214
43005,430056,Alcover,Alt Camp,Tarragona,Tarragona,nevades,Recomanat,243,5073,46.28,,25050,250501
43005,430056,Alcover,Alt Camp,Tarragona,Tarragona,incendi forestal,Obligat,243,5073,46.28,,43024,430249
43005,430056,Alcover,Alt Camp,Tarragona,Tarragona,inundacions,Obligat,243,5073,46.28,,25051,250518
43005,430056,Alcover,Alt Camp,Tarragona,Tarragona,sísmic,Recomanat,243,5073,46.28,,25052,250523
43005,430056,Alcover,Alt Camp,Tarragona,Tarragona,químic,Obligat,243,5073,46.28,,25053,250539
43006,430069,Aldover,Baix Ebre,Tarragona,Terres de l'Ebre,sísmic,Recomanat,14,918,20.26,,43025,430252
43006,430069,Aldover,Baix Ebre,Tarragona,Terres de l'Ebre,inundacions,Obligat,14,918,20.26,,43026,430265
43006,430069,Aldover,Baix Ebre,Tarragona,Terres de l'Ebre,nevades,Recomanat,14,918,20.26,,8022,80229
43006,430069,Aldover,Baix Ebre,Tarragona,Terres de l'Ebre,contaminació Ebre (Flix),Recomanat,14,918,20.26,,17019,170195
43006,430069,Aldover,Baix Ebre,Tarragona,Terres de l'Ebre,incendi forestal,Obligat,14,918,20.26,,17020,170209
8003,80039,Alella,Maresme,Barcelona,Barcelona,incendi forestal,Obligat,90,9660,9.68,,17021,170216
8003,80039,Alella,Maresme,Barcelona,Barcelona,territori,Obligat,90,9660,9.68,,8023,80235
8003,80039,Alella,Maresme,Barcelona,Barcelona,sísmic,Obligat,90,9660,9.68,,25055,250557
8003,80039,Alella,Maresme,Barcelona,Barcelona,nevades,Recomanat,90,9660,9.68,,17234,172348
8003,80039,Alella,Maresme,Barcelona,Barcelona,inundacions,Obligat,90,9660,9.68,,43029,430290
