Any,Codi_ine_5_txt,Codi_ine_6_txt,NomMun,Comarca,AFT,Costa,Muntanya,Poblacio_padro,Superficie_ha,05_SU,05_perce_SU,05_SUC,05_perce_SUC,05_SNC,05_perce_SNC,05_SURB,05_perce_SUR,05_SUD,05_perce_SUD,05_SND,05_perce_SND,05_SNU,05_perce_SNU,06_Class_no_SNU,06_perce_Class_no_snu,07_densitat_pob_km2,08_densitat_pob_urba_Km2,09_Perce_SNC_SU,10_Perce_SUD_SU,11_Perce_SND_SU,012_Qual_SUC_AE,12_A1_SUC,12_A2_SUC,12_A3_SUC,13_Qual_SUC_R,13_R1_SUC,13_R2_SUC,13_R3_SUC,13_R4_SUC,13_R5_SUC,13_R6_SUC,14_Qual_SUC_Altres,14_M1_SUC,14_M2_SUC,14_M3_SUC,15_Qual_SUC_SISTEMES,15_SA_SUC,15_SC_SUC,15_SD_SUC,15_SE_SUC,15_SF_SUC,15_SH_SUC,15_SP_SUC,15_SS_SUC,15_ST_SUC,15_SV_SUC,15_SX0_SUC,15_SX1_SUC,15_SX2_SUC,16_QUAL_snu,16_N1_SNU,16_N2_SNU,16_N3_SNU,16_N4_SNU,17_Sol_resid_habt,18_Sol_AE_habt,19_Zverdes_habt,20_Equip_habt
2013,17042,170427,Capmany,Alt Empordà,CG,0,,608,2639.8600,29.8932,1.1324,29.8932,1.1324,0.0000,0.0000,6.8320,0.2588,6.8320,0.2588,0.0000,0.0000,2603.1344,98.6088,36.7252,1.3912,23.0315,2033.9056,0.0000,22.8545,0.0000,3.3475,3.3475,0.0000,0,15.1950,7.3581,7.7625,0.0000,0.0000,0.0000,0.0744,0.9982,0.0000,0.9982,0,10.3765,0.0000,0.0000,0.0000,2.6259,0.0000,0.3752,0.0000,0.0000,0.0000,1.5590,0.0000,2.1020,3.7144,2583.3956,2180.8162,257.3336,0.0000,145.2458,40.0132,181.6305,25.6408,43.1885
2013,17043,170433,Queralbs,Ripollès,CG,0,Zona de muntanya,185,9344.5800,11.8540,0.1269,10.7219,0.1147,1.1321,0.0121,2.1167,0.0227,2.1167,0.0227,0.0000,0.0000,9330.6072,99.8505,13.9707,0.1495,1.9793,1560.6549,9.5503,17.8568,0.0000,0.0496,0.0000,0.0496,0,6.5890,4.7782,0.2760,0.0000,0.1356,0.8243,0.5748,0.1852,0.0000,0.1852,0,3.9054,0.0000,0.0000,0.0227,0.2582,0.0000,0.0000,0.0000,0.0000,0.0276,0.7133,0.0000,1.1054,1.7783,9274.3014,0.0000,1456.1923,7712.2239,105.8852,28.0771,3732.2965,38.5550,13.9569
2013,17044,170448,Cassà de la Selva,Gironès,CG,0,,9899,4484.7900,229.4047,5.1152,200.3454,4.4672,29.0594,0.6480,159.9591,3.5667,59.8290,1.3340,100.1301,2.2327,4095.4280,91.3181,389.3639,8.6819,220.6687,4315.0808,12.6673,26.0801,43.6478,45.9914,44.8935,1.0979,0,89.9427,4.9845,49.8219,0.9392,2.5165,10.1149,21.5658,2.3580,0.0000,1.8373,0.5207352913,62.2131,0.0000,0.0000,0.0000,8.5855,0.0000,3.1661,0.0000,0.0000,0.0000,11.4017,0.0000,14.6814,24.3784,3995.4694,1165.0711,2830.3983,0.0000,0.0000,110.0589,215.2360,11.5181,8.6731
2013,17046,170464,Castellfollit de la Roca,Garrotxa,CG,0,Zona de muntanya,1025,72.5900,16.5420,22.7886,16.5420,22.7886,0.0000,0.0000,4.9776,6.8572,4.9776,6.8572,0.0000,0.0000,51.0694,70.3542,21.5196,29.6458,1415.0783,6196.3436,0.0000,30.0906,0.0000,0.4559,0.4559,0.0000,0,9.1954,0.9485,4.3704,1.9971,0.8950,0.0000,0.9844,0.2325,0.0000,0.2325,0,6.6709,0.0000,0.0000,0.0000,2.0387,0.0000,0.0000,0.0000,0.0000,0.1064,0.8636,0.0000,1.0457,2.6164,42.3632,0.0000,0.0000,42.3632,0.0000,111.4690,2248.4367,8.4256,19.8900
2013,17047,170470,Castelló d'Empúries,Alt Empordà,CG,1,,11910,4181.5400,559.2075,13.3732,559.2075,13.3732,0.0000,0.0000,107.8179,2.5784,101.5794,2.4292,6.2385,0.1492,3514.5168,84.0483,667.0254,15.9517,281.9211,2129.7996,0.0000,18.1649,1.1156,52.0466,1.3810,50.6656,0,272.8820,0.0000,11.4900,14.8552,23.4235,11.4897,211.6237,43.9801,10.5666,1.9898,31.42373622,192.2220,0.0000,22.8510,0.0000,18.8143,0.0000,0.3673,1.4767,0.0000,3.3079,49.7335,0.0000,33.8530,60.3416,3313.9620,674.6199,0.0000,2603.0642,36.2779,43.6452,228.8333,41.7578,15.7971
2013,17048,170486,Castell-Platja d'Aro,Baix Empordà,CG,1,,10765,2171.9400,790.0284,36.3743,778.4977,35.8434,11.5307,0.5309,90.6142,4.1720,74.0555,3.4096,16.5587,0.7624,1291.2999,59.4537,880.6426,40.5463,496.7166,1362.6092,1.4595,9.3738,2.0960,62.0286,7.3325,54.6961,0,394.9560,0.1363,9.5763,7.9725,94.1511,8.4319,274.6879,10.6193,0.0000,10.6193,0,311.5166,0.0000,0.6830,0.0000,39.3230,0.0000,6.3661,0.0000,0.0000,1.4546,113.4749,0.0000,44.2218,105.9931,1070.0387,632.9766,224.1787,138.2933,74.5901,27.2562,173.5491,105.4110,36.5286
2013,17041,170412,Cantallops,Alt Empordà,CG,0,,335,1961.5300,22.6268,1.1535,19.3072,0.9843,3.3197,0.1692,5.1810,0.2641,5.1810,0.2641,0.0000,0.0000,1933.7257,98.5823,27.8078,1.4177,17.0785,1480.5425,14.6714,22.8974,0.0000,0.0000,0.0000,0.0000,0,10.4791,1.9505,2.7771,0.0000,0.0000,1.5056,4.2459,1.4535,0.6410,0.8125,0,7.3900,0.0000,0.0000,0.0000,0.7405,0.0000,0.6071,0.0000,0.0000,0.0593,1.1150,0.0000,1.0778,3.7902,1908.0557,1533.5923,83.2155,291.2478,0.0000,31.9683,0.0000,33.2848,22.1055
2013,17050,170502,Cervià de Ter,Gironès,CG,0,,909,991.0500,59.4165,5.9953,52.4554,5.2929,6.9610,0.7024,18.5495,1.8717,18.5495,1.8717,0.0000,0.0000,913.0828,92.1330,77.9660,7.8670,91.8420,1529.8792,11.7157,31.2195,0.0000,3.1308,0.0000,3.1308,0,27.7153,7.1059,4.6820,0.0000,0.0000,0.0000,15.9274,5.1690,0.0000,5.1690,0,16.4822,0.0000,0.0000,0.0000,2.6256,0.0000,0.0000,0.0000,0.0000,0.0936,5.1254,0.0000,4.6540,3.9835,822.8642,293.8911,523.1257,5.8474,0.0000,32.7978,290.3406,56.3853,28.8848
2013,17037,170372,Campelles,Ripollès,CG,0,Zona de muntanya,137,1869.7700,33.2803,1.7799,32.2876,1.7268,0.9926,0.0531,7.9245,0.4238,7.9245,0.4238,0.0000,0.0000,1828.5640,97.7963,41.2047,2.2037,7.3490,411.6555,2.9826,23.8114,0.0000,1.6168,1.4773,0.1395,0,21.6426,2.9795,3.5778,0.0000,0.0993,0.2667,14.7193,0.0000,0.0000,0.0000,0,9.0502,0.0000,0.0000,0.0000,1.0838,0.0000,0.0000,0.0000,0.0000,0.1392,1.6217,0.0000,3.1052,3.1002,1807.2764,0.0000,1417.5229,388.8836,0.8699,6.3301,84.7378,118.3758,79.1110
2013,17049,170499,Celrà,Gironès,CG,0,,5028,1962.4200,96.6141,4.9232,94.9583,4.8388,1.6558,0.0844,297.1133,15.1401,274.4663,13.9861,22.6470,1.1540,1568.6976,79.9367,393.7273,20.0633,257.4780,5204.2098,1.7138,284.0851,23.4407,0.4104,0.0000,0.4104,0,44.3278,6.1202,4.9656,12.8568,2.0594,0.0000,18.3257,5.9996,0.0000,4.0712,1.928401547,39.0889,0.0000,0.0000,0.0000,9.0907,5.2074,0.4574,0.0000,0.0000,1.2897,8.6930,0.0000,8.9717,10.5865,1546.2059,87.9626,1458.2433,0.0000,0.0000,113.4278,12251.6363,17.2891,18.0801
2013,17040,170405,Canet d'Adri,Gironès,CG,0,,627,4462.0900,27.7503,0.6219,27.7503,0.6219,0.0000,0.0000,4.9681,0.1113,4.9681,0.1113,0.0000,0.0000,4429.3765,99.2667,32.7184,0.7333,14.0990,2259.4337,0.0000,17.9027,0.0000,0.0000,0.0000,0.0000,0,10.4920,0.0000,0.8786,0.0000,0.0000,0.0000,9.6133,13.3931,13.3931,0.0000,0,3.8871,0.0000,0.0000,0.0000,0.3718,0.0000,0.0000,0.0000,0.0000,0.0000,0.3077,0.0000,0.8204,2.3873,4214.3715,2129.8660,0.0000,2031.1165,53.3890,59.7601,0.0000,4.9071,5.9291
2013,17051,170519,Cistella,Alt Empordà,CG,0,,292,2563.9700,16.8028,0.6553,16.8028,0.6553,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2547.1653,99.3447,16.8028,0.6553,11.4270,1737.8051,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,9.7045,0.7340,2.1375,0.0000,0.0000,0.0000,6.8330,0.9399,0.0000,0.2853,0.65466635,6.1718,0.0000,0.0000,0.0000,1.7192,0.0000,0.0000,0.0000,0.0000,0.0196,2.1844,0.0000,1.1170,1.1315,2536.0174,610.2703,1925.7471,0.0000,0.0000,30.0892,0.0000,74.8087,58.8784
2013,17038,170388,Campllong,Gironès,CG,0,,515,848.5800,51.0461,6.0155,51.0461,6.0155,0.0000,0.0000,29.1304,3.4328,29.1304,3.4328,0.0000,0.0000,768.4037,90.5517,80.1765,9.4483,59.9769,1008.8921,0.0000,57.0669,0.0000,25.3335,21.7868,3.5467,0,8.1238,0.8099,0.0000,0.0000,0.0000,0.1073,7.2066,0.5478,0.0000,0.5478,0,17.0816,0.0000,0.0000,0.0000,3.7137,0.0000,0.2962,0.0000,0.0000,0.0965,5.3924,0.0000,2.6029,4.9799,726.0812,0.0000,726.0812,0.0000,0.0000,63.3941,20.3288,104.7069,72.1106
2013,17071,170715,Fontcoberta,Pla de l'Estany,CG,0,,1439,1707.7800,44.4585,2.6033,44.4585,2.6033,0.0000,0.0000,20.0086,1.1716,20.0086,1.1716,0.0000,0.0000,1643.3117,96.2251,64.4670,3.7749,83.2197,3236.7290,0.0000,45.0051,0.0000,5.5982,5.5982,0.0000,0,26.1070,0.0000,3.7516,0.0000,0.0000,0.0000,22.3554,0.0000,0.0000,0.0000,0,12.7885,0.0000,0.0000,0.0000,1.9089,0.0000,0.0000,0.0000,0.0000,0.0000,2.0407,0.0000,3.6337,5.2052,1628.1695,1512.9916,115.1779,0.0000,0.0000,55.1193,257.0464,14.1815,13.2653
2013,17036,170366,Campdevànol,Ripollès,CG,0,Zona de muntanya,3422,3262.8700,63.5687,1.9482,55.0306,1.6866,8.5382,0.2617,22.8490,0.7003,16.1176,0.4940,6.7314,0.2063,3176.4509,97.3515,86.4177,2.6485,104.8999,5383.1508,13.4314,25.3545,10.5892,9.7954,9.7954,0.0000,0,18.4132,0.6852,10.2318,0.0000,1.6602,3.0235,2.8125,3.3185,0.0000,0.0000,3.318464687,23.5411,0.0000,0.0000,0.0000,3.4062,0.0000,0.0164,0.0000,0.5682,0.0000,5.3736,0.0000,4.9539,9.2228,3143.8919,585.3420,2553.3106,0.0000,5.2393,185.8446,349.3470,15.7031,9.9537
2013,17035,170353,Camós,Pla de l'Estany,CG,0,,692,1556.5600,26.8476,1.7248,26.8476,1.7248,0.0000,0.0000,9.6546,0.6203,9.6546,0.6203,0.0000,0.0000,1520.0557,97.6549,36.5022,2.3451,44.5219,2577.5133,0.0000,35.9609,0.0000,0.0000,0.0000,0.0000,0,15.5653,1.3113,0.0000,0.0000,0.0000,0.0000,14.2541,2.3958,2.3958,0.0000,0,8.9077,0.0000,0.0000,0.0000,1.7870,0.0000,0.0585,0.0000,0.0000,0.0000,1.7929,0.0000,3.1153,2.1541,1344.3481,1334.7368,1.1295,0.0000,8.4818,44.4578,0.0000,25.9083,25.8231
