Any,Codi_ine_5_txt,Codi_ine_6_txt,NomMun,Comarca,AFT,Costa,Muntanya,Poblacio_padro,Superficie_ha,05_SU,05_perce_SU,05_SUC,05_perce_SUC,05_SNC,05_perce_SNC,05_SURB,05_perce_SUR,05_SUD,05_perce_SUD,05_SND,05_perce_SND,05_SNU,05_perce_SNU,06_Class_no_SNU,06_perce_Class_no_snu,07_densitat_pob_km2,08_densitat_pob_urba_Km2,09_Perce_SNC_SU,10_Perce_SUD_SU,11_Perce_SND_SU,012_Qual_SUC_AE,12_A1_SUC,12_A2_SUC,12_A3_SUC,13_Qual_SUC_R,13_R1_SUC,13_R2_SUC,13_R3_SUC,13_R4_SUC,13_R5_SUC,13_R6_SUC,14_Qual_SUC_Altres,14_M1_SUC,14_M2_SUC,14_M3_SUC,15_Qual_SUC_SISTEMES,15_SA_SUC,15_SC_SUC,15_SD_SUC,15_SE_SUC,15_SF_SUC,15_SH_SUC,15_SP_SUC,15_SS_SUC,15_ST_SUC,15_SV_SUC,15_SX0_SUC,15_SX1_SUC,15_SX2_SUC,16_QUAL_snu,16_N1_SNU,16_N2_SNU,16_N3_SNU,16_N4_SNU,17_Sol_resid_habt,18_Sol_AE_habt,19_Zverdes_habt,20_Equip_habt
2016,8271,82711,Sobremunt,Osona,CC,0,Zona de muntanya,83,1350.7400,5.9970,0.4440,5.9970,0.4440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1344.7423,99.5560,5.9970,0.4440,6.0175,1384.0179,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,4.4124,0.4771,0.4001,0.0000,0.0000,0.0000,3.5352,0.0000,0.0000,0.0000,0,1.5888,0.0000,0.0000,0.0000,0.3468,0.0000,0.0276,0.0000,0.0000,0.0014,0.3440,0.0000,0.2866,0.5824,1320.2371,166.9914,0.0000,1153.2457,0.0000,18.8108,0.0000,41.4423,41.7810
2016,8283,82830,Tona,Osona,CC,0,Zona de muntanya,7951,1654.7300,212.7168,12.8551,209.9000,12.6848,2.8167,0.1702,35.9145,2.1704,35.9145,2.1704,0.0000,0.0000,1406.0990,84.9745,248.6313,15.0255,480.5851,3737.8344,1.3242,16.8837,0.0000,23.0624,16.6176,6.4448,0,99.8421,11.3253,9.3799,0.0000,4.0801,11.6797,63.3771,2.1350,0.8667,1.2684,0,85.0073,0.0000,0.0000,0.0000,18.5786,0.0000,0.0000,0.0000,0.0266,0.1076,18.1515,0.0000,17.7983,30.3446,1371.3901,167.0252,1060.6873,143.6776,0.0000,79.6357,344.7605,22.8292,23.3664
2016,8282,82824,Tiana,Maresme,MB,0,,8553,797.7000,145.8261,18.2808,144.4790,18.1119,1.3471,0.1689,19.4029,2.4324,6.2462,0.7830,13.1568,1.6493,632.4711,79.2868,165.2290,20.7132,1082.2086,5865.2069,0.9238,4.2833,9.0222,0.0000,0.0000,0.0000,0,67.2035,3.7003,0.0000,0.0000,28.6177,2.9437,31.9418,12.9882,0.0271,12.9611,0,64.3896,0.0000,0.0000,0.4775,12.4865,0.0000,0.0000,0.0000,2.2295,0.0000,17.2864,0.0000,12.1205,19.7893,246.8335,174.7900,71.6437,0.0000,0.3998,127.2701,0.0000,20.2109,14.5989
2016,8281,82819,Teià,Maresme,MB,0,,6254,669.3900,175.0927,26.1570,157.6621,23.5530,17.4306,2.6039,27.2346,4.0686,27.2346,4.0686,0.0000,0.0000,467.0652,69.7745,202.3273,30.2255,925.6928,3571.8216,9.9551,15.5544,0.0000,3.4444,3.4213,0.0231,0,88.0274,11.5195,0.0000,0.0000,22.5091,20.3808,33.6180,0.0000,0.0000,0.0000,0,66.3042,0.0000,0.0000,0.0000,25.3793,0.0000,0.5236,0.0000,0.0000,0.1259,16.6822,0.0000,8.7302,14.8630,443.2071,67.2542,375.9529,0.0000,0.0000,71.0461,1815.7252,26.6744,40.5810
2016,8280,82802,Tavertet,Osona,CC,0,Zona de muntanya,112,3276.6100,10.8934,0.3325,10.2020,0.3114,0.6914,0.0211,3.5972,0.1098,3.5972,0.1098,0.0000,0.0000,3262.1162,99.5578,14.4906,0.4422,3.4471,1028.1440,6.3467,33.0215,0.0000,0.0000,0.0000,0.0000,0,6.1995,2.3522,0.0000,0.0000,0.0000,1.2978,2.5495,0.0000,0.0000,0.0000,0,4.0102,0.0000,0.0000,0.0000,1.0911,0.0000,0.0000,0.0000,0.9019,0.0000,0.2475,0.0000,0.9321,0.8376,3231.7619,32.0674,2145.0588,1054.6357,0.0000,18.0661,0.0000,22.0997,97.4191
2016,8279,82798,Terrassa,Vallès Occidental,MB,0,,215121,6987.4000,2273.8004,32.5415,2094.9490,29.9818,178.8513,2.5596,333.3072,4.7701,333.3072,4.7701,0.0000,0.0000,4380.2885,62.6884,2607.1075,37.3116,3065.0412,9460.8570,7.8657,14.6586,0.0000,313.0982,251.0320,62.0662,0,704.7750,33.4855,299.6824,80.6721,33.4996,3.6472,253.7882,65.1712,65.1712,0.0000,0,1008.8311,0.0000,0.0000,0.0000,213.0999,4.4057,34.7484,0.0000,5.0078,3.1252,269.3425,0.0000,163.7672,319.7403,4109.9514,683.2992,808.7257,2617.9265,0.0000,305.2336,687.0721,12.5205,9.9060
2016,8278,82785,Taradell,Osona,CC,0,,6321,2651.8600,237.2471,8.9464,232.5402,8.7689,4.7069,0.1775,54.6749,2.0618,53.7691,2.0276,0.9058,0.0342,2359.9376,88.9918,291.9220,11.0082,238.7517,2664.3111,1.9840,22.6638,0.3818,18.1708,18.1708,0.0000,0,127.6436,10.4380,14.9205,0.0000,2.2954,5.3146,94.6751,7.2953,0.0000,7.2953,0,79.5968,0.0000,0.0000,0.0698,11.3666,0.0000,0.0000,0.0000,0.0055,0.7722,24.6939,0.0000,18.7865,23.9023,2260.5245,87.6549,696.1707,1466.3777,10.3213,49.5207,347.8659,39.0665,17.9822
2016,8277,82779,Talamanca,Bages,CC,0,Zona de muntanya,186,2927.6200,23.7681,0.8119,23.6946,0.8093,0.0735,0.0025,16.2320,0.5544,16.2320,0.5544,0.0000,0.0000,2887.6245,98.6337,40.0001,1.3663,6.3191,782.5622,0.3091,68.2932,0.0000,0.0000,0.0000,0.0000,0,13.5995,3.3940,0.0000,0.0000,0.0000,0.0000,10.2055,0.0000,0.0000,0.0000,0,10.1099,0.0000,0.0000,0.0000,2.8946,0.0000,0.0000,0.0000,0.0000,0.0000,2.6103,0.0000,1.9882,2.6167,2847.9620,0.0000,2777.0514,0.0000,70.9106,13.6770,0.0000,140.3407,155.6251
2016,8276,82763,Tagamanent,Vallès Oriental,MB,0,Zona de muntanya,316,4347.0600,30.5440,0.7026,30.5440,0.7026,0.0000,0.0000,1.5943,0.0367,1.5943,0.0367,0.0000,0.0000,4314.9217,99.2607,32.1383,0.7393,7.2914,1034.5723,0.0000,5.2196,0.0000,2.6691,2.6691,0.0000,0,18.8055,0.0000,0.0000,0.0000,0.0000,1.2119,17.5936,0.1224,0.0000,0.1224,0,8.9688,0.0000,0.0000,0.0000,0.3859,0.0000,0.0000,0.0000,0.0000,0.4795,3.6179,0.0000,0.0000,4.4854,4279.9927,390.7881,1.7585,3887.4461,0.0000,16.8036,118.3939,114.4920,12.2110
2016,8275,82750,Tavèrnoles,Osona,CC,0,Zona de muntanya,318,1887.8400,30.5430,1.6179,30.5430,1.6179,0.0000,0.0000,17.2099,0.9116,14.6876,0.7780,2.5223,0.1336,1840.0916,97.4705,47.7529,2.5295,16.9462,1041.1535,0.0000,48.0881,8.2582,1.7557,0.2198,1.5359,0,19.2748,0.4125,0.0000,0.0000,0.0000,0.0000,18.8623,1.0307,0.0000,1.0307,0,8.5040,0.0000,0.0000,0.0000,0.6115,0.0000,0.0000,0.0000,0.0000,0.1456,2.3689,0.0000,0.6070,4.7709,1790.5919,0.0000,657.4951,1133.0967,0.0000,16.4982,181.1246,74.4946,19.2296
