Any,Codi_ine_5_txt,Codi_ine_6_txt,NomMun,Comarca,AFT,Costa,Muntanya,Poblacio_padro,Superficie_ha,05_SU,05_perce_SU,05_SUC,05_perce_SUC,05_SNC,05_perce_SNC,05_SURB,05_perce_SUR,05_SUD,05_perce_SUD,05_SND,05_perce_SND,05_SNU,05_perce_SNU,06_Class_no_SNU,06_perce_Class_no_snu,07_densitat_pob_km2,08_densitat_pob_urba_Km2,09_Perce_SNC_SU,10_Perce_SUD_SU,11_Perce_SND_SU,012_Qual_SUC_AE,12_A1_SUC,12_A2_SUC,12_A3_SUC,13_Qual_SUC_R,13_R1_SUC,13_R2_SUC,13_R3_SUC,13_R4_SUC,13_R5_SUC,13_R6_SUC,14_Qual_SUC_Altres,14_M1_SUC,14_M2_SUC,14_M3_SUC,15_Qual_SUC_SISTEMES,15_SA_SUC,15_SC_SUC,15_SD_SUC,15_SE_SUC,15_SF_SUC,15_SH_SUC,15_SP_SUC,15_SS_SUC,15_ST_SUC,15_SV_SUC,15_SX0_SUC,15_SX1_SUC,15_SX2_SUC,16_QUAL_snu,16_N1_SNU,16_N2_SNU,16_N3_SNU,16_N4_SNU,17_Sol_resid_habt,18_Sol_AE_habt,19_Zverdes_habt,20_Equip_habt
2020,8001,80018,Abrera,Baix Llobregat,MB,0,,12538,1994.6900,262.5691,13.1634,243.3522,12.2000,19.2168,0.9634,376.8896,18.8947,376.8896,18.8947,0.0000,0.0000,1355.2279,67.9419,639.4587,32.0581,628.8827,4775.1245,7.3188,143.5392,0.0000,81.2095,77.1395,4.0700,0,78.1599,3.9925,3.0374,0.0000,1.4836,1.1153,68.5311,0.2809,0.0000,0.2809,0,83.8462,0.0000,0.0000,0.0000,8.4223,0.0000,0.0000,0.0000,0.4189,0.0000,35.9782,0.0000,10.3124,28.7144,1129.1305,497.0186,622.0906,0.0000,10.0213,160.4147,154.3907,28.6953,6.7174
2020,8006,80060,Arenys de Mar,Maresme,MB,1,,15941,649.1600,274.3753,42.2665,272.7524,42.0165,1.6229,0.2500,60.3569,9.2978,51.9942,8.0095,8.3627,1.2882,314.4229,48.4357,334.7321,51.5643,2362.6804,5809.9258,0.5915,18.9500,3.0479,22.4704,13.8512,8.6192,0,100.7880,18.7890,6.2077,0.0000,11.0237,9.4110,55.3565,0.0000,0.0000,0.0000,0,143.6826,0.0000,19.0641,0.2987,21.5263,6.0203,1.7636,21.4994,0.5012,0.4495,33.0080,0.0000,16.2256,29.3463,229.8781,0.0000,229.8781,0.0000,0.0000,158.1637,709.4218,20.7063,13.5038
2020,8005,80057,l'Ametlla del Vallès,Vallès Oriental,MB,0,,8646,1438.5100,494.3307,34.3642,464.9938,32.3248,29.3369,2.0394,92.2984,6.4163,80.7220,5.6115,11.5764,0.8048,851.8768,59.2196,586.6291,40.7804,607.0177,1749.0314,5.9347,16.3295,2.3418,13.7252,9.2577,4.4675,0,278.5705,3.0580,1.4739,0.0000,1.7002,11.2872,261.0512,2.2092,0.2250,1.9842,0,170.8169,0.0000,0.0000,0.0000,21.3591,0.0000,0.0000,0.0000,7.7537,4.1926,67.5495,0.0000,20.8761,49.0858,816.6905,528.2927,287.6800,0.0000,0.7178,31.0370,629.9348,78.1281,24.7040
2020,8004,80044,Alpens,Osona,CC,0,Zona de muntanya,261,1377.8800,26.0217,1.8885,26.0217,1.8885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1351.8605,98.1115,26.0217,1.8885,18.9169,1003.0093,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,17.2972,3.1276,0.0000,1.0523,1.1043,0.0000,12.0129,0.0000,0.0000,0.0000,0,8.7418,0.0000,0.0000,0.0000,2.5917,0.0000,0.0000,0.0000,0.0000,0.0000,1.4799,0.0000,1.9457,2.7245,1346.4702,3.9005,1342.5697,0.0000,0.0000,15.0892,0.0000,56.6996,99.3005
2020,8002,80023,Aguilar de Segarra,Bages,CC,0,Zona de muntanya,282,4321.9800,15.3909,0.3561,8.1906,0.1895,7.2004,0.1666,1.5170,0.0351,1.5170,0.0351,0.0000,0.0000,4305.0745,99.6088,16.9080,0.3912,6.5098,1832.2461,46.7833,9.8567,0.0000,0.0000,0.0000,0.0000,0,3.8295,1.5611,0.6793,0.0000,0.0000,0.0000,1.5891,0.3860,0.0000,0.3860,0,3.9790,0.0000,0.0000,0.0000,0.7079,0.0000,0.1351,0.0000,0.2904,0.0000,0.3703,0.0000,2.2068,0.2686,4170.5300,7.3018,3390.2524,769.7864,3.1894,73.6391,0.0000,13.1321,25.1030
2020,8003,80039,Alella,Maresme,MB,0,,9904,962.7000,313.6385,32.5790,302.9146,31.4651,10.7239,1.1139,20.3577,2.1146,20.3577,2.1146,0.0000,0.0000,628.7054,65.3064,333.9962,34.6936,1033.3140,3157.7758,3.4192,6.4908,0.0000,10.2401,2.0615,8.1786,0,190.6183,6.1271,2.1891,0.0000,8.2542,3.7994,170.2484,0.3527,0.0000,0.0000,0.3527413366,101.9199,0.0000,0.0000,0.0895,10.2173,0.0000,3.5313,0.0000,0.5535,1.4912,28.7226,0.0000,15.3472,41.9674,556.0192,110.6589,235.2108,210.1495,0.0000,51.9572,967.1779,29.0010,10.3164
2020,8210,82107,Sant Feliu de Codines,Vallès Oriental,MB,0,Zona de muntanya,6363,1483.5100,142.9011,9.6327,138.4716,9.3341,4.4296,0.2986,116.1893,7.8321,116.1893,7.8321,0.0000,0.0000,1224.4161,82.5353,259.0904,17.4647,424.2548,4452.7286,3.0997,81.3074,0.0000,4.6639,4.6639,0.0000,0,86.6265,0.0000,28.8158,0.0000,0.0000,0.3093,57.5014,0.0000,0.0000,0.0000,0,47.2756,0.0000,0.0000,0.0000,8.4521,0.0000,0.0000,0.0000,1.5525,0.0943,9.5360,0.0000,8.5520,19.0886,1110.1280,208.1460,860.2493,0.0000,41.7326,73.4533,1364.3023,14.9866,13.2832
2020,8239,82397,Sant Quirze Safaja,Moianès,CC,0,Zona de muntanya,631,2590.0500,150.3066,5.8032,149.2320,5.7617,1.0746,0.0415,16.9653,0.6550,7.0619,0.2727,9.9034,0.3824,2422.7743,93.5417,167.2718,6.4583,24.0750,419.8087,0.7149,4.6983,6.5888,3.6724,0.0000,3.6724,0,97.0759,0.4860,0.0000,0.0000,1.5854,0.0000,95.0044,0.0266,0.0000,0.0266,0,48.5583,0.0000,0.0000,0.0000,6.4073,0.0000,0.0000,0.0000,3.7867,0.5124,22.2549,0.0000,2.6704,12.9265,2392.6865,0.0000,1593.3332,799.3533,0.0000,6.5001,171.8206,352.6926,101.5419
2020,8218,82188,Sant Joan de Vilatorrada,Bages,CC,0,,10998,1642.4600,115.6056,7.0386,115.6056,7.0386,0.0000,0.0000,90.4448,5.5067,90.4448,5.5067,0.0000,0.0000,1436.4061,87.4547,206.0504,12.5453,669.8913,9513.3808,0.0000,78.2357,0.0000,14.4816,13.2738,1.2078,0,43.4038,1.6592,1.5463,24.9359,2.5376,8.5115,4.2134,0.0000,0.0000,0.0000,0,57.7597,0.0000,0.0000,0.0000,14.3411,0.0247,0.4619,0.0000,0.1054,0.2349,13.9465,0.0000,10.6866,17.9834,1349.0002,0.0000,1349.0002,0.0000,0.0000,253.3878,759.4460,12.6809,13.0398
2020,8217,82172,Sant Joan Despí,Baix Llobregat,MB,0,,34267,617.8400,313.2175,50.6953,274.8324,44.4826,38.3852,6.2128,83.7299,13.5520,41.3181,6.6875,42.4117,6.8645,220.8954,35.7527,396.9474,64.2473,5554.3934,10940.3193,12.2551,13.1915,13.5407,49.3675,42.7995,6.5680,0,57.4606,0.2639,18.0361,0.0000,35.1454,3.1353,0.8798,5.3085,0.0000,5.3085,0,156.0302,0.0000,0.0000,1.0249,33.1480,6.8439,0.0000,0.0000,5.8713,0.3282,42.4804,0.0000,32.9488,40.2286,115.4055,0.0000,115.4055,0.0000,0.0000,596.3568,694.1200,12.3969,9.6734
